,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2015,Yoshiaki Bando,nan,Hiroshi Gitchang Okuno,nan,AAAI Workshop - Computational Sustainability,Recognition of In-Field Frog Chorusing Using Bayesian Nonparametric Microphone Array Processing.,7,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10133,https://dblp.org/rec/conf/aaai/BandoOAAIYO15
1,2015,Juan M. Barrios,nan,Isabel Trejo,nan,AAAI Workshop - Computational Sustainability,Modeling Ecological Integrity with Bayesian Belief Networks.,7,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10101,https://dblp.org/rec/conf/aaai/BarriosSGMMPT15
2,2015,Thomas Capelle,nan,Brian J. Morton,nan,AAAI Workshop - Computational Sustainability,Formulating LUTI Calibration as an Optimisation Problem - Estimation of Tranus Shadow Price and Substitution Parameters.,4,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/9625,https://dblp.org/rec/conf/aaai/CapelleSVM15
3,2015,Charalampos Chelmis,nan,Viktor K. Prasanna,"University of Southern California, Los Angeles, USA",AAAI Workshop - Computational Sustainability,Estimating Reduced Consumption for Dynamic Demand Response.,5,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10066,https://dblp.org/rec/conf/aaai/ChelmisASFP15
4,2015,Rundong Du,nan,Haesun Park,"Georgia Institute of Technology, Atlanta GA, USA",AAAI Workshop - Computational Sustainability,Toward Social Media Opinion Mining for Sustainability Research.,6,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10146,https://dblp.org/rec/conf/aaai/DuLPKCP15
5,2015,Kirstin Early,nan,J. Zico Kolter,"MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, USA",AAAI Workshop - Computational Sustainability,An Additive Autoregressive Hidden Markov Model for Energy Disaggregation.,2,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10198,https://dblp.org/rec/conf/aaai/EarlyK15
6,2015,Abbas Ehsanfar,nan,Babak Heydari,nan,AAAI Workshop - Computational Sustainability,Interactive Multi-Consumer Power Cooperatives with Learning and Axiomatic Cost and Risk Disaggregation.,2,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10200,https://dblp.org/rec/conf/aaai/EhsanfarH15
7,2015,Murat A. Erdogdu,nan,Andrea Montanari,nan,AAAI Workshop - Computational Sustainability,Privacy-Utility Trade-Off for Time-Series with Application to Smart-Meter Data.,3,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10193,https://dblp.org/rec/conf/aaai/ErdogduFM15
8,2015,Jiarui Gan,nan,Bo An 0001,"Nanyang Technological University, Singapore",AAAI Workshop - Computational Sustainability,Game Theoretic Considerations for Optimizing Efficiency of Taxi Systems.,2,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10070,https://dblp.org/rec/conf/aaai/GanA15
9,2015,Ian Gemp,nan,Bo Liu 0006,"Auburn University, AL, USA",AAAI Workshop - Computational Sustainability,Solving Large Sustainable Supply Chain Networks Using Variational Inequalities.,3,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10122,https://dblp.org/rec/conf/aaai/GempM015
10,2015,Siamak Safarzadegan Gilan,nan,Bistra Dilkina,"Georgia Tech, USA",AAAI Workshop - Computational Sustainability,Sustainable Building Design - A Challenge at the Intersection of Machine Learning and Design Optimization.,2,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10203,https://dblp.org/rec/conf/aaai/GilanD15
11,2015,Ashok K. Goel 0001,"Georgia Institute of Technology, Design & Intelligence Lab, Atlanta, GA, USA",Ashok K. Goel 0001,"Georgia Institute of Technology, Design & Intelligence Lab, Atlanta, GA, USA",AAAI Workshop - Computational Sustainability,Biologically Inspired Design - A New Paradigm for AI Research on Computational Sustainability?,1,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10205,https://dblp.org/rec/conf/aaai/Goel15
12,2015,Justin Heinermann,nan,Oliver Kramer,"University of Oldenburg, Department of Computing Science",AAAI Workshop - Computational Sustainability,On Heterogeneous Machine Learning Ensembles for Wind Power Prediction.,2,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10081,https://dblp.org/rec/conf/aaai/HeinermannK15
13,2015,Nahid Jafari,nan,Jeffrey Hepinstall-Cymerman,nan,AAAI Workshop - Computational Sustainability,A Solution Alternative to Achieve Parcel Connectivity in the Dynamic Reserve Design Problem.,3,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10165,https://dblp.org/rec/conf/aaai/JafariMH15
14,2015,Nitin Jain,nan,Bistra Dilkina,"Georgia Tech, USA",AAAI Workshop - Computational Sustainability,Coarse Models for Bird Migrations Using Clustering and Non-Stationary Markov Chains.,2,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10209,https://dblp.org/rec/conf/aaai/JainD15
15,2015,Xiaoyue Jiang,nan,Geoffrey G. Parker 0001,"Dartmouth College, Thayer School, Hanover, NH, USA",AAAI Workshop - Computational Sustainability,Flexibility Meets Variability - A Multiagent Constraint Based Approach for Incorporating Renewables into the Power Grid.,4,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10065,https://dblp.org/rec/conf/aaai/JiangMVP15
16,2015,Debarun Kar,nan,Arlette van Wissen,nan,AAAI Workshop - Computational Sustainability,Effectiveness of Probability Perception Modeling and Defender Strategy Generation Algorithms in Repeated Stackelberg Games - An Initial Report.,6,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10145,https://dblp.org/rec/conf/aaai/KarFFSTW15
17,2015,Sicong Liu,nan,Gerardo Chowell-Puente,nan,AAAI Workshop - Computational Sustainability,NOTES2 - Networks-of-Traces for Epidemic Spread Simulations.,5,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10170,https://dblp.org/rec/conf/aaai/LiuGCSC15
18,2015,Obaid Malik,nan,Alex Rogers,"University of Southampton, UK",AAAI Workshop - Computational Sustainability,A Noise Scaled Semi Parametric Gaussian Process Model for Real Time Water Network Leak Detection in the Presence of Heteroscedasticity.,3,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10180,https://dblp.org/rec/conf/aaai/MalikGR15
19,2015,Leandro Soriano Marcolino,nan,Milind Tambe,University of Southern California,AAAI Workshop - Computational Sustainability,Agents Vote for the Environment - Designing Energy-Efficient Architecture.,7,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10154,https://dblp.org/rec/conf/aaai/MarcolinoGKPPTT15
20,2015,Travis Moore,nan,Weng-Keen Wong,nan,AAAI Workshop - Computational Sustainability,Discovering Hotspots and Coldspots of Species Richness in eBird Data.,2,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10181,https://dblp.org/rec/conf/aaai/MooreW15
21,2015,Emmanuel Prados,nan,Constantin Ilasca,nan,AAAI Workshop - Computational Sustainability,A Benchmarking Tool for the International Climate Negotiations.,3,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10071,https://dblp.org/rec/conf/aaai/PradosCI15
22,2015,Raúl Sierra-Alcocer,nan,Juan M. Barrios,nan,AAAI Workshop - Computational Sustainability,Automatic Land Use and Land Cover Classification Using RapidEye Imagery in Mexico.,3,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10099,https://dblp.org/rec/conf/aaai/Sierra-AlcocerZ15
23,2015,Divya Singhvi,nan,Dawn B. Woodard,nan,AAAI Workshop - Computational Sustainability,Predicting Bike Usage for New York City's Bike Sharing System.,7,http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10115,https://dblp.org/rec/conf/aaai/SinghviSFHOSW15
