,first-author-affiliation,last-author-affiliation,title
0," Department of Computer Science, School of Information Science and Technology, Sun Yat-Sen University, Guangzhou, Guangdong, PR China"," Department of Management Sciences, City University of Hong Kong, Tat Chee Ave, Kowloon Tong, Hong Kong",The tree representation of feasible solutions for the TSP with pickup and delivery and LIFO loading
1, Kyushu University, Nagoya Institute of Technology,Coalition structure generation based on distributed constraint optimization
2," Information systems Engineering, IE, Technion, Haifa, Israel"," Information systems Engineering, IE, Technion, Haifa, Israel",A proof-producing CSP solver
3," Department of Computer Science, University of British Columbia, Vancouver, B.C., Canada"," Department of Computer Science, University of British Columbia, Vancouver, B.C., Canada",Hydra: automatically configuring algorithms for portfolio-based selection
4," College of Computer Science and Technology, Jilin University, Changchun, P. R. China and College of Computer, Northeast Normal University, Changchun, P. R. China"," College of Computer Science and Technology, Jilin University, Changchun, P. R. China",New worst-case upper bound for #2-SAT and #3-SAT with the number of clauses as the parameter
5," Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong"," Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong",Clickthrough log analysis by collaborative ranking
6," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong",Transfer learning in collaborative filtering for sparsity reduction
7," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Clearwater Bay, Kowloon, Hong Kong, China"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Clearwater Bay, Kowloon, Hong Kong, China",Collaborative filtering meets mobile recommendation: a user-centered approach
8," Faculty of Computer Science, Free University of Bozen-Bolzano, Italy"," Department of Computer Science and Information Systems, Birkbeck College London, UK",Past and future of DL-lite
9," School of Computing & Mathematics, University of Western Sydney"," School of Computing & Mathematics, University of Western Sydney",Ordered completion for first-order logic programs on finite structures
10," Dept. of Computer Science, RWTH Aachen, Aachen, Germany"," Dept. of Computer Science, RWTH Aachen, Aachen, Germany",Reasoning about imperfect information games in the epistemic situation calculus
11," Universität Bremen, Bremen, Germany"," CRIL-CNRS, Université d'Artois, Lens, France",Knowledge compilation in the modal logic S5
12," Computer Science Department, Ben-Gurion University, Israel"," Faculty of Industrial Engineering and Management, Technion-Israel Inst. of Technology",Decomposed utility functions and graphical models for reasoning about preferences
13," University of Leipzig, Department of Computer Science, Leipzig, Germany"," Vienna University of Technology, Institute of Information Systems, Vienna, Austria",Representing preferences among sets
14," KRDB Research Centre, Free University of Bozen-Bolzano, Italy"," Dip. di Informatica e Sistemistica, SAPIENZA Università di Roma, Italy",Node selection query languages for trees
15," Department of Computer Science, South China Normal University, China"," School of Computing and Mathematics, University of Western Sydney, Australia",First-order indefinability of answer set programs on finite structures
16," Dept. of Computer Science, New York University"," Dept. of Computer Science, New York University",Ontologies and representations of matter
17," Dipartimento di Informatica e Sistemistica, SAPIENZA Università di Roma, Roma, Italy"," School of Computer Science and IT, RMIT University, Melbourne, Australia",Two-player game structures for generalized planning and agent composition
18," Institute of Information Systems, Vienna University of Technology, Vienna, Austria"," Institute of Information Systems, Vienna University of Technology, Vienna, Austria",Space efficient evaluation of ASP programs with bounded predicate arities
19," School of Computing, Informatics and Decision Systems Engineering, Arizona State University, Tempe, AZ"," School of Computing, Informatics and Decision Systems Engineering, Arizona State University, Tempe, AZ",Situation calculus as answer set programming
20," Artificial Intelligence Group, School of Computer Science, The Australian National University, Canberra, ACT 0200, Australia"," Canberra Research Laboratory, National ICT Australia",In defense of large qualitative calculi
21," Centre for Quantum Computation and Intelligent Systems (QCIS), Faculty of Eng. and Information Techn., Univ. of Technology, Sydney, Australia and State Key Laboratory of Intelligent Techn. and Systems, TNLIST, Dept. of Computer Science and Techn., Tsinghua Univ., Beijing, China"," Centre for Quantum Computation and Intelligent Systems (QCIS), Faculty of Engineering and Information Technology, University of Technology, Sydney, Australia",Topological relations between convex regions
22," Department of Computer Science, Sun Yat-sen University, Guangzhou, China"," Department of Computer Science, Sun Yat-sen University, Guangzhou, China",Automated program debugging via multiple predicate switching
23," School of Electronics, Electrical Engineering and Computer Science, Queen's University Belfast, Belfast, UK"," CRIL-CNRS, UMR 8188, Faculté Jean Perrin, Université d'Artois, Lens, France",A belief revision framework for revising epistemic states with partial epistemic states
24," School of Electronics, Electrical Engineering and Computer Science, Queen's University Belfast, Belfast, UK"," Department of Computer Science, University College London, Gower Street, London, UK",Inducing probability distributions from knowledge bases with (in)dependence relations
25," Computer Science Department, University of California, Los Angeles, CA"," Computer Science Department, University of California, Los Angeles, CA",A lower bound on the size of decomposable negation normal form
26," Department of Computing Science, University of Aberdeen, Aberdeen, UK"," Department of Computing Science, University of Aberdeen, Aberdeen, UK",Soundness preserving approximation for TBox reasoning
27," Department of Computer Science, Iowa State University, Ames, IA"," Department of Computer Science, Iowa State University, Ames, IA",Dominance testing via model checking
28," Ghent University, Dept. of Applied Mathematics and Computer Science, Gent, Belgium"," Toulouse University, Université Paul Sabatier, IRIT, CNRS, Toulouse Cedex 09, France",An inconsistency-tolerant approach to information merging based on proposition relaxation
29," School of ICT, Griffith University, Nathan, Australia"," School of ICT, Griffith University, Nathan, Australia",A new approach to knowledge base revision in DL-lite
