,first-author-affiliation,last-author-affiliation,title
0," National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China"," National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China",Improving semi-supervised support vector machines through unlabeled instances selection
1," National Lab of Pattern Recognition, Institute of Automation, Chinese Academy of Science"," National Lab of Pattern Recognition, Institute of Automation, Chinese Academy of Science",Size adaptive selection of most informative features
2," Department of Computing, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong, P.R. China"," Department of Computing, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong, P.R. China",Ordinal regression via manifold learning
3," Department of Computer and Information Science, University of Oregon, Eugene, OR"," Department of Computer and Information Science, University of Oregon, Eugene, OR",Mean field inference in dependency networks: an empirical study
4," Institute of Computer Science and Technology, Peking University, Beijing, China"," Institute of Computer Science and Technology, Peking University, Beijing, China",Latent semantic learning by efficient sparse coding with hypergraph regularization
5," The University of Texas at Arlington, Arlington, Texas"," The University of Texas at Arlington, Arlington, Texas",Linear discriminant analysis: new formulations and overfit analysis
6," The University of Texas at Arlington, Arlington, Texas"," The University of Texas at Arlington, Arlington, Texas",Multi-level cluster indicator decompositions of matrices and tensors
7, Shanghai Jiao Tong University, Shanghai Jiao Tong University,Sparse group restricted boltzmann machines
8," Department of Computer Science & Engineering, Texas A&M University, College Station, TX"," Department of Computer Science & Engineering, Texas A&M University, College Station, TX",Scaling up reinforcement learning through targeted exploration
9," Instituto Superior Técnico/INESC-ID, TagusPark, Edifício IST, Porto Salvo, Portugal"," Instituto Superior Técnico/INESC-ID, TagusPark, Edifício IST, Porto Salvo, Portugal",Differential eligibility vectors for advantage updating and gradient methods
10," Knowledge Dicovery Department, Fraunhofer IAIS, Augustin, Germany"," Knowledge Dicovery Department, Fraunhofer IAIS, Augustin, Germany",Markov logic sets: towards lifted information retrieval using pagerank and label propagation
11, NICTA and Australian National University, NICTA and Australian National University,Efficiently learning a distance metric for large margin nearest neighbor classification
12," Department of Computer Science, Duke University, Durham, NC"," Department of Computer Science, Duke University, Durham, NC",Non-parametric approximate linear programming for MDPs
13," Computer Science and Engineering, University of Michigan"," Department of Psychology, University of Michigan",Optimal rewards versus leaf-evaluation heuristics in planning agents
14," Department of Computer Science, Aberystwyth University, Aberystwyth, Wales, UK"," Department of Computer Science, Aberystwyth University, Aberystwyth, Wales, UK",A generalised solution to the out-of-sample extension problem in manifold learning
15," Peking University, Beijing, China", Microsoft Research Asia,Collaborative users' brand preference mining across multiple domains from implicit feedbacks
16," Nature Inspired Computation and Applications Laboratory (NICAL), School of Computer Science and Technology, University of Science and Technology of China, Hefei, China"," Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China",Towards maximizing the area under the ROC curve for multi-class classification problems
17," IBM Research - Tokyo, Kanagawa, Japan"," Tohoku University, Sendai, Japan",Fast newton-CG method for batch learning of conditional random fields
18," Health Informatics Group, IBM T. J. Watson Research Center"," Health Informatics Group, IBM T. J. Watson Research Center",Automatic group sparse coding
19, IBM T. J. Watson Research Center, IBM T. J. Watson Research Center,Towards evolutionary nonnegative matrix factorization
20," Department of Computer Science and Engineering, University of Texas at Arlington, Arlington, Texas"," Department of Computer Science and Engineering, University of Texas at Arlington, Arlington, Texas",Learning instance specific distance for multi-instance classification
21," Computer Science Department, Stanford University, Stanford, CA"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Clearwater Bay, Kowloon, Hong Kong",Transfer learning by structural analogy
22," College of Computer Science and Technology, Zhejiang University, China"," School of Information Systems, Singapore Management University, Singapore",Efficient subspace segmentation via quadratic programming
23," Department of Mathematics and Systems Science, National University of Defense Technology, Changsha, China and National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China"," National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China",Localized K-flats
24, University of Rochester, Ecole Polytechnique de Montreal,Heterogeneous transfer learning with RBMs
25," MOE-Microsoft Key Laboratory of Statistics, and Information Technology, Peking University"," Computer Science and Engineering, Michigan State University",Multi-task learning in square integrable space
26," Dept. of Computer Science, Purdue University, West Lafayette, IN"," Depts. of Computer Science and Statistics, Purdue University, West Lafayette, IN",Sparse matrix-variate t process blockmodels
27," Department of Computer Science, Tokyo Institute of Technology", Japan Science and Technology Agency,Direct density-ratio estimation with dimensionality reduction via hetero-distributional subspace analysis
28," School of Information Technology & Electrical Engineering, The University of Queensland"," School of Information Technology & Electrical Engineering, The University of Queensland",Nonnegative spectral clustering with discriminative regularization
29," Department of Computer Science, Purdue University, West Lafayette, IN"," Machine Learning Group, IBM T.J. Watson Research Center, Yorktown Heights, NY",Transfer latent semantic learning: microblog mining with less supervision
