,first-author-affiliation,last-author-affiliation,title
0," University of Southern California, Los Angeles, CA", U.S. Coast Guard Research Development Center and Atlantic Area,Robust protection of fisheries with COmPASS
1," Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology"," Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology",Optimizing a start-stop controller using policy search
2," School of Computer & Information Engineering, INHA University, Nam-Gu, Incheon, Korea"," Department of Computer Science, University of Southern California, Los Angeles, CA",A unified framework for augmented reality and knowledge-based systems in maintaining aircraft
3," Stottler Henke Associates, Inc., San Mateo, California"," Honda R&D Americas, Inc., Raymond, OH",A schedule optimization tool for destructive and non-destructive vehicle tests
4," Department of Computer Science and Engineering, Arizona State University, Tempe AZ"," Department of Computer Science and Engineering, Arizona State University, Tempe AZ",AI-MIX: using automated planning to steer human workers towards better crowdsourced plans
5," AI & NL Research, Nuance Communications, Sunnyvale, CA"," Creative Development, Nuance Communications, Sunnyvale, CA",A speech-driven second screen application for TV program discovery
6," Department of EECS, Oregon State University"," Cornell Lab of Ornithology, Cornell University",Clustering species accumulation curves to identify skill levels of citizen scientists participating in the eBird project
7," Department of Computer Science, Stanford University, Stanford, California"," Department of Computer Science, Stanford University, Stanford, California",StrokeBank: automating personalized chinese handwriting generation
8," Department of Electrical and Computer Engineering, Texas Tech University"," Department of Industrial Engineering, Texas Tech University",DOROTHY: enhancing bidirectional communication between a 3D programming interface and mobile robots
9," Canisius College Departments of Physics, Buffalo, NY"," Canisius College Departments of Computer Science, Buffalo, NY",Shallow blue: lego-based embodied AI as a platform for cross-curricular project based learning
10," Rose-Hulman Institute of Technology, Terre Haute, IN"," Rose-Hulman Institute of Technology, Terre Haute, IN",Teaching with Watson
11," Dept of Physics, Canisius College, Buffalo, NY"," Dept of Physics, Canisius College, Buffalo, NY",Jim: a platform for affective AI in an interdisciplinary setting
12," Arizona State University, Department of Computer Science & Engineering, Tempe, AZ"," Arizona State University, Department of Computer Science & Engineering, Tempe, AZ",Easychair as a pedagogical tool engaging graduate students in the reviewing process
13, Gettysburg College, The University of Southern Mississippi,Model AI assignments 2014
14," University of Kentucky, Department of Computer Science, Lexington, Kentucky"," University of Kentucky, Department of Computer Science, Lexington, Kentucky",Making CP-nets (more) useful
15," School of Engineering and Applied Sciences, Harvard University"," School of Engineering and Applied Sciences, Harvard University",Information sharing for care coordination
16," Department of Electrical and Computer Engineering, Air Force Institute of Technology, Wright-Patterson AFB, OH"," Department of Electrical and Computer Engineering, Air Force Institute of Technology, Wright-Patterson AFB, OH",The effect of similarity between human and machine action choices on adaptive automation performance
17, Worcester Polytechnic Institute, Worcester Polytechnic Institute,Solving semantic problems using contexts extracted from knowledge graphs
18, Vrije Universiteit Brussel, Vrije Universiteit Brussel,Reinforcement learning on multiple correlated signals
19," Department of Electrical Engineering and Computer Science, Northwestern University"," Department of Electrical Engineering and Computer Science, Northwestern University",Analogy tutor: a tutoring system for promoting conceptual learning via comparison
20," David R. Cheriton School of Computer Science, University of Waterloo, Waterloo, ON, Canada"," David R. Cheriton School of Computer Science, University of Waterloo, Waterloo, ON, Canada","Imputation, social choice, and partial preferences"
21," Dept of Computer Science & Eng., Univ. of Minnesota, Minneapolis, MN"," Dept of Computer Science & Eng., Univ. of Minnesota, Minneapolis, MN",Robot team exploration with communication restrictions
22," Department of Computer Science, North Carolina State University, Raleigh, NC"," Department of Computer Science, North Carolina State University, Raleigh, NC",The semantic interpretation of trust in multiagent interactions
23," Department of Computer Science, University of Western Ontario, London, Ontario, Canada"," Department of Computer Science, University of Western Ontario, London, Ontario, Canada",Modeling argumentation and explanation in the socialweb
24," University of Colorado, Colorado Springs, CO"," University of Colorado, Colorado Springs, CO",Automatically creating multilingual lexical resources
25," School of Computer Science, University of Massachusetts, Amherst, MA"," School of Computer Science, University of Massachusetts, Amherst, MA",Probabilistic planning with reduced models
26, University of Kentucky, University of Kentucky,Roles and teams hedonic games
27," Department of Computer Science, Ben Gurion University of The Negev, Beer-Sheva, Israel"," Department of Computer Science, Ben Gurion University of The Negev, Beer-Sheva, Israel",Compilation based approaches to probabilistic planning: thesis summary
28," Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology"," Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology",Living and searching in the world: object-based state estimation for mobile robots
29," School of Computer Science, University of Massachusetts Amherst"," School of Computer Science, University of Massachusetts Amherst",Optimizing and learning diffusion behaviors in complex network
