,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Weiwei Kong,Georgia Institute of Technology,Li Zhang,Google,Rankmax: An Adaptive Projection Alternative to the Softmax Function
1,Zhibin Li,University of Technology Sydney,Qiang Wu,University of Technology Sydney,Field-wise Learning for Multi-field Categorical Data
2,Sung Woo Park,Chung-Ang University,Junseok Kwon,"Chung-Ang Univ., Korea",Deep Diffusion-Invariant Wasserstein Distributional Classification
3,Nimit Sohoni,Stanford University,Christopher Ré,Stanford,No Subclass Left Behind: Fine-Grained Robustness in Coarse-Grained Classification Problems
4,Shenfei Pei,Northwestern Polytechnical University,Xuelong Li,Northwestern Polytechnical University,Efficient Clustering Based On A Unified View Of K-means And Ratio-cut
5,Seyed  Esmaeili,"University of Maryland, College Park",John Dickerson,University of Maryland,Probabilistic Fair Clustering
6,Binbin Jin,University of Science and Technology of China,Enhong Chen,University of Science and Technology of China,Sampling-Decomposable Generative Adversarial Recommender
7,Long Chen,Nanjing University,Hanghang Tong,University of Illinois at Urbana-Champaign,Trading Personalization for Accuracy: Data Debugging in Collaborative Filtering
8,Hexuan Liu,University of Washington,Ping Li,Baidu Research USA,Ratio Trace Formulation of Wasserstein Discriminant Analysis
9,Yingjie Wang,Huazhong Agricultural University,Yanhong Chen, Chinese Academy of Sciences,Multi-task Additive Models for Robust Estimation and Automatic Structure Discovery
10,Xu Yang,Xidian University,Wei Liu,Tencent AI Lab,Adversarial Learning for Robust Deep Clustering
11,Da Xu,Walmart Labs,Kannan Achan,Walmart Labs,Adversarial Counterfactual Learning and Evaluation for Recommender System
12,Qianqian Ma,Boston University,Alex Olshevsky,Boston University,Adversarial Crowdsourcing Through Robust Rank-One Matrix Completion
13,Zhongqi Yue,Nanyang Technological University,Xian-Sheng Hua,"Damo Academy, Alibaba Group",Interventional Few-Shot Learning
14,Jiaming Song,Stanford University,Stefano Ermon,Stanford,Multi-label Contrastive Predictive Coding
15,Jiuxiang Gu,Adobe Research,Tong Sun Sun,Adobe Research,Self-Supervised Relationship Probing
16,Ching-Yao Chuang,MIT,Stefanie Jegelka,MIT,Debiased Contrastive Learning
17,Taylan Cemgil,DeepMind,Pushmeet Kohli,DeepMind,The Autoencoding Variational Autoencoder
18,Yaodong Yu,"University of California, Berkeley",Yi Ma,UC Berkeley,Learning Diverse and Discriminative Representations via the Principle of Maximal Coding Rate Reduction
19,Qizhe Xie,"CMU, Google Brain",Quoc V Le,Google,Unsupervised Data Augmentation for Consistency Training
20,Uchenna Akujuobi,KAUST and Sony AI,Xiangliang Zhang,""" King Abdullah University of Science and Technology, Saudi Arabia""",Temporal Positive-unlabeled Learning for Biomedical Hypothesis Generation via Risk Estimation
21,Yannis Kalantidis,NAVER LABS Europe,Diane Larlus,NAVER LABS Europe,Hard Negative Mixing for Contrastive Learning
22,Yue Cao,Microsoft Research,Han Hu,Microsoft Research Asia,Parametric Instance Classification for Unsupervised Visual Feature learning
23,Jinsung Yoon,Google,Mihaela van der Schaar,University of Cambridge,VIME: Extending the Success of Self- and Semi-supervised Learning to Tabular Domain
24,Feng Wang,Tsinghua University,Sun Fuchun,Tsinghua university,Unsupervised Representation Learning by Invariance Propagation
25,Qi Cai,University of Science and Technology of China,Tao Mei,AI Research of JD.com,Joint Contrastive Learning with Infinite Possibilities
26,Pantelis Elinas,CSIRO's Data61,Louis Tiao,University of Sydney,Variational Inference for Graph Convolutional Networks in the Absence  of Graph Data and Adversarial Settings
27,Yukuan Yang,Tsinghua University,Guoqi Li,Tsinghua University,Restoring Negative Information in Few-Shot Object Detection
28,Zunlei Feng,Zhejiang University,Mingli Song,Zhejiang University,One-sample Guided Object Representation Disassembling
29,Youngsung Kim,Samsung Advanced Institute of Technology,Sung Ju Hwang,"KAIST, AITRICS",Few-shot Visual Reasoning with Meta-Analogical Contrastive Learning
30,Yinuo Guo,Peking University,Dongmei Zhang,Microsoft Research,Hierarchical Poset Decoding for Compositional Generalization in Language
31,Ehsan Hosseini-Asl,Salesforce Research,Richard Socher,Salesforce,A Simple Language Model for Task-Oriented Dialogue
32,Ashutosh Adhikari,University of Waterloo,Will Hamilton,McGill,Learning Dynamic Belief Graphs to Generalize on Text-Based Games
33,Yipeng Kang,Tsinghua University,Gerard  de Melo,Hasso Plattner Institute,Incorporating Pragmatic Reasoning Communication into Emergent Language
