,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Ali Shojaie,University of Washington,George Michailidis,University of Michigan,Joint Affinity Groups Poster Session
1,Andrew McCallum,UMass Amherst,Sameer Singh,"University of California, Irvine",Rankmax: An Adaptive Projection Alternative to the Softmax Function
2,Yee Whye Teh,"University of Oxford, DeepMind",DILAN Gorur,DeepMind,Field-wise Learning for Multi-field Categorical Data
3,Daniel Cavagnaro,Cal State Fullerton,Jay Myung,Ohio State University,Deep Diffusion-Invariant Wasserstein Distributional Classification
4,Alexander Ihler,UC Irvine,Padhraic Smyth,"University of California, Irvine",No Subclass Left Behind: Fine-Grained Robustness in Coarse-Grained Classification Problems
5,Bryan C Russell,U Washington,Andrew Zisserman,DeepMind & University of Oxford,Efficient Clustering Based On A Unified View Of K-means And Ratio-cut
6,Arkadas Ozakin,Georgia Institute of Technology,Alexander Gray,Skytree Inc. and Georgia Tech,Probabilistic Fair Clustering
7,Nino Shervashidze,"INRIA, Laboratoire d'Informatique de l'ENS",Karsten Borgwardt,ETH Zurich,Sampling-Decomposable Generative Adversarial Recommender
8,Ruben Coen-Cagli,Albert Einstein College of Medicine,Odelia Schwartz,Albert Einstein College of Medicine,Trading Personalization for Accuracy: Data Debugging in Collaborative Filtering
9,Elad Hazan,Princeton University,Nimrod Megiddo,IBM Almaden Research Center,Ratio Trace Formulation of Wasserstein Discriminant Analysis
10,Zenglin Xu,University of Electronic Science & Technology of China,Zhirong Yang,Aalto University,Coresets for Regressions with Panel Data
11,Matthias Seeger,Amazon,Matthias Seeger,Amazon,Adversarial Learning for Robust Deep Clustering
12,Gideon S Mann,Google Inc.,Dan Walker,None,Adversarial Counterfactual Learning and Evaluation for Recommender System
13,Barry W Chai,Stanford,Fei-Fei Li,Princeton University,Adversarial Crowdsourcing Through Robust Rank-One Matrix Completion
14,Bryan C Russell,U Washington,Andrew Zisserman,DeepMind & University of Oxford,Interventional Few-Shot Learning
15,Theodore Perkins,Ottawa Hospital Research Institute,Theodore Perkins,Ottawa Hospital Research Institute,Neural Methods for Point-wise Dependency Estimation
16,Emily Fox,"University of Washington, Apple",Alan S Willsky,Massachusetts Institute of Technology,Multi-label Contrastive Predictive Coding
17,Menachem Fromer,Hebrew University,Amir Globerson,"Tel Aviv University, Google",Self-Supervised Relationship Probing
18,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Debiased Contrastive Learning
19,George Konidaris,Duke University,Andrew G Barto,University of Massachusetts,The Autoencoding Variational Autoencoder
20,Joseph Schlecht,University of Arizona,Kobus Barnard,University of Arizona,Learning Diverse and Discriminative Representations via the Principle of Maximal Coding Rate Reduction
21,James Bergstra,Kindred,Yoshua Bengio,University of Montreal,Unsupervised Data Augmentation for Consistency Training
22,Joao V Graca,L2F INESC-ID Lisboa,Fernando Pereira,Google,Temporal Positive-unlabeled Learning for Biomedical Hypothesis Generation via Risk Estimation
23,Feng Zhou,Carnegie Mellon University,Fernando D De la Torre,Carnegie Mellon University,Hard Negative Mixing for Contrastive Learning
24,Kwang In Kim,Saarland University,Matthias Hein,University of Tübingen,Parametric Instance Classification for Unsupervised Visual Feature learning
25,Matthew B Blaschko,KU Leuven,Andreas Bartels,Centre for Integrative Neuroscience,VIME: Extending the Success of Self- and Semi-supervised Learning to Tabular Domain
26,Tao Hu,"JFRC, HHMI",Dmitri B Chklovskii,HHMI,Unsupervised Representation Learning by Invariance Propagation
27,Vivek Farias,Massachusetts Institute of Technology,Devavrat Shah,Massachusetts Institute of Technology,Joint Contrastive Learning with Infinite Possibilities
28,Zhen James Xiang,Princeton University,Peter J Ramadge,Princeton,Variational Inference for Graph Convolutional Networks in the Absence  of Graph Data and Adversarial Settings
29,Samory Kpotufe,Princeton University,Samory Kpotufe,Princeton University,Restoring Negative Information in Few-Shot Object Detection
30,Theodore Perkins,Ottawa Hospital Research Institute,Theodore Perkins,Ottawa Hospital Research Institute,One-sample Guided Object Representation Disassembling
31,Sebastian Gerwinn,MPI for Biological Cybernetics & University of Tübingen,Matthias Bethge,University Tübingen,Few-shot Visual Reasoning with Meta-Analogical Contrastive Learning
32,Robert E Tillman,Carnegie Mellon University,Peter Spirtes,Carnegie Mellon University,Latent Dynamic Factor Analysis of High-Dimensional Neural Recordings
33,Hanna Wallach,Microsoft,Andrew McCallum,UMass Amherst,"Heavy-tailed Representations, Text Polarity Classification & Data Augmentation"
34,Yee Whye Teh,"University of Oxford, DeepMind",DILAN Gorur,DeepMind,Hierarchical Poset Decoding for Compositional Generalization in Language
35,Jean-Pascal Pfister,Cambridge University,Mate Lengyel,University of Cambridge,Strongly Incremental Constituency Parsing with Graph Neural Networks
36,Vijay Desai,None,Ciamac C Moallemi,Columbia University,A Simple Language Model for Task-Oriented Dialogue
37,Hamid R Maei,Stanford University,Rich Sutton,"DeepMind, U Alberta",Learning Dynamic Belief Graphs to Generalize on Text-Based Games
38,Shuai Huang,Arizona State University,Jieping Ye,Arizona State University,Incorporating Pragmatic Reasoning Communication into Emergent Language
39,Robert Legenstein,Graz University of Technology,Wolfgang Maass,Graz University of Technology,Learning Strategic Network Emergence Games
40,Le Song,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Fighting Copycat Agents in Behavioral Cloning from Observation Histories
41,Zhihua Zhang,Shanghai Jiao Tong University,guang dai,zju,Attention-Gated Brain Propagation: How the brain can implement reward-based error backpropagation
42,Shuheng Zhou,ETH Zurich,Shuheng Zhou,ETH Zurich,Can the Brain Do Backpropagation? --- Exact Implementation of Backpropagation in Predictive Coding Networks
43,Wolf Vanpaemel,KULeuven,Wolf Vanpaemel,KULeuven,Demixed shared component analysis of neural population data from multiple brain areas
44,Charles Kemp,Carnegie Mellon University,Charles Kemp,Carnegie Mellon University,Neural encoding with visual attention
45,Andrew Guillory,University of Washington,Jeff A Bilmes,"University of Washington, Seattle",On Numerosity of Deep Neural Networks
46,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Compact task representations as a normative model for higher-order brain activity
47,Wu-Jun Li,Nanjing University,Zhihua Zhang,Shanghai Jiao Tong University,Using noise to probe recurrent neural network structure and prune synapses
48,Peter Sollich,King's College London,Camille Coti,INRIA Saclay-Île de France,An Imitation from Observation Approach to Transfer Learning with Dynamics Mismatch
49,Mladen Kolar,University of Chicago,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Language Models are Few-Shot Learners
50,Xiao-Ming Wu,Columbia University,Shuo-Yen Robert Li,None,Incorporating BERT into Parallel Sequence Decoding with Adapters
51,Novi Quadrianto,University of Sussex and HSE,Dale Schuurmans,Google Brain & University of Alberta,CogLTX: Applying BERT to Long Texts
52,Andrew McCallum,UMass Amherst,Sameer Singh,"University of California, Irvine",MPNet: Masked and Permuted Pre-training for Language Understanding
53,Joseph Schlecht,University of Arizona,Kobus Barnard,University of Arizona,MiniLM: Deep Self-Attention Distillation for Task-Agnostic Compression of Pre-Trained Transformers
54,Bharath Sriperumbudur,The Pennsylvania State University,Gert Lanckriet,U.C. San Diego,Towards Neural Programming Interfaces
55,Boaz Nadler,Weizmann Institute of Science,Xueyuan Zhou,None,Language Through a Prism: A Spectral Approach for Multiscale Language Representations
56,Shobha Venkataraman,AT&T Labs -- Research,Oliver Spatscheck,None,ColdGANs: Taming Language GANs with Cautious Sampling Strategies
57,Chunxiao Zhou,NIH (National Institutes of Health),Yongmei Michelle Wang,None,ConvBERT: Improving BERT with Span-based Dynamic Convolution
58,Roger Luo,Snap Inc.,Vittorio Ferrari,University of Edinburgh,Investigating Gender Bias in Language Models Using Causal Mediation Analysis
59,Sebastian Gerwinn,MPI for Biological Cybernetics & University of Tübingen,Matthias Bethge,University Tübingen,Cross-lingual Retrieval for Iterative Self-Supervised Training
60,Stefan Klampfl,Graz University of Technology,Wolfgang Maass,Graz University of Technology,DynaBERT: Dynamic BERT with Adaptive Width and Depth
61,Erik Sudderth,Brown University,Erik Sudderth,Brown University,Pre-training via Paraphrasing
62,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Dialog without Dialog Data: Learning Visual Dialog Agents from VQA Data
63,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Funnel-Transformer: Filtering out Sequential Redundancy for Efficient Language Processing
64,Katherine Heller,Duke,Nick Chater,None,Big Bird: Transformers for Longer Sequences
65,Yusuke Fujiwara,ATR,Yukiyasu Kamitani,None,Self-Supervised Generative Adversarial Compression
66,Daniel Cavagnaro,Cal State Fullerton,Jay Myung,Ohio State University,The Generalized Lasso with Nonlinear Observations and Generative Priors
67,M. Pawan Kumar,Stanford University,Daphne Koller,insitro, Robust compressed sensing using generative models 
68,Yang Wang,University of Manitoba,Greg Mori,Borealis AI,"Knowledge Distillation in Wide Neural Networks: Risk Bound, Data Efficiency and Imperfect Teacher"
69,Hamid R Maei,Stanford University,Rich Sutton,"DeepMind, U Alberta",Fourier Spectrum Discrepancies in Deep Network Generated Images
70,Rob Nowak,Wisconsin,Rob Nowak,Wisconsin,Minimax Optimal Nonparametric Estimation of Heterogeneous Treatment Effects
71,Jonathan Huang,google.com,Carlos Guestrin,University of Washington,Towards a Combinatorial Characterization of Bounded-Memory Learning
72,Jake Bouvrie,Massachusetts Institute of Technology,Tomaso Poggio,MIT,The Power of Comparisons for Actively Learning Linear Classifiers
73,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Estimating decision tree learnability with polylogarithmic sample complexity
74,Brian Kulis,UC Berkeley,Trevor Darrell,UC Berkeley,Provably Efficient Neural Estimation of Structural Equation Models: An Adversarial Approach
75,Yiming Ying,State University of New York at Albany,Mark A Girolami,University of Glasgow,Matrix Inference and Estimation in Multi-Layer Models
76,Ofer Dekel,Microsoft Research,Ofer Dekel,Microsoft Research,Election Coding for Distributed Learning: Protecting SignSGD against Byzantine Attacks
77,Vijay Desai,None,Ciamac C Moallemi,Columbia University,Limits on Testing Structural Changes in Ising Models
78,Le Song,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,A Robust Functional EM Algorithm for Incomplete Panel Count Data
79,Jonathan W Pillow,UT Austin,Jonathan W Pillow,UT Austin,Weston-Watkins Hinge Loss and Ordered Partitions
80,James Bergstra,Kindred,Yoshua Bengio,University of Montreal,On the Equivalence between Online and Private Learnability beyond Binary Classification
81,Youngmin Cho,"University of California, San Diego",Lawrence Saul,UC San Diego,Breaking the Sample Size Barrier in Model-Based Reinforcement Learning with a Generative Model
82,Barry W Chai,Stanford,Fei-Fei Li,Princeton University,A Finite-Time Analysis of Two Time-Scale Actor-Critic Methods
83,Yoshinobu Kawahara,Osaka University / RIKEN,Jeff A Bilmes,"University of Washington, Seattle",Reinforcement Learning for Control with Multiple Frequencies
84,Katherine Heller,Duke,Nick Chater,None,Bridging Imagination and Reality for Model-Based Deep Reinforcement Learning
85,Kwang In Kim,Saarland University,Matthias Hein,University of Tübingen,First Order Constrained Optimization in Policy Space
86,Jonathan Chang,Facebook,David Blei,Columbia University,DisCor: Corrective Feedback in Reinforcement Learning via Distribution Correction
87,Chong Wang,ByteDance Inc.,David Blei,Columbia University,Natural Policy Gradient Primal-Dual Method for Constrained Markov Decision Processes
88,Hamed Pirsiavash,University of California Irvine,Charless Fowlkes,UC Irvine,MOPO: Model-based Offline Policy Optimization
89,Jonathan Huang,google.com,Carlos Guestrin,University of Washington,Trust the Model When It Is Confident: Masked Model-based Actor-Critic
90,Le Song,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Pipeline PSRO: A Scalable Approach for Finding Approximate Nash Equilibria in Large Games
91,Raman Arora,Johns Hopkins University,Raman Arora,Johns Hopkins University,Model-Based Multi-Agent RL in Zero-Sum Markov Games with Near-Optimal Sample Complexity
