,first-author,first-author-affiliation,last-author,last-author-affiliation,title
19,Shahin Jabbari,University of Pennsylvania,Aaron Roth,University of Pennsylvania,Fairness in Reinforcement Learning
20,Alp Kucukelbir,Columbia University,David Blei,Columbia University,Evaluating Bayesian Models with Posterior Dispersion Indices
21,Sharan Vaswani,University of British Columbia,Mark Schmidt,University of British Columbia,Model-Independent Online Learning for Influence Maximization
22,Ian Yen,Carnegie Mellon University,Pradeep Ravikumar,Carnegie Mellon University,Latent Feature Lasso
23,Ashish Kumar,Microsoft Research,Manik Varma,Microsoft Research,Resource-efficient Machine Learning in 2 KB RAM for the Internet of Things
24,Avanti Shrikumar,Stanford University,Anshul Kundaje,Stanford University,Learning Important Features Through Propagating Activation Differences
25,Lars Mescheder,MPI Tübingen,Andreas Geiger,MPI Tübingen,Adversarial Variational Bayes: Unifying Variational Autoencoders and Generative Adversarial Networks
26,Yichen Chen,Princeton University,Hao Yin,Stanford University,Strong NP-Hardness for Sparse Optimization with Concave Penalty Functions
27,Samuele Tosatto,Politecnico di Milano,Marcello Restelli,Politecnico di Milano,Boosted Fitted Q-Iteration
28,Isabel Valera,University of Cambridge,Zoubin Ghahramani,University of Cambridge & Uber,Automatic Discovery of the Statistical Types of Variables in a Dataset
29,Masrour Zoghi,Independent Researcher,Zheng Wen,Adobe Research,Online Learning to Rank in Stochastic Click Models
30,Zhehui Chen,Georgia Institute of Technology,Tuo Zhao,Georgia Institute of Technology,Online Partial Least Square Optimization: Dropping Convexity for Better Efficiency and Scalability
31,Teng Zhang,Nanjing University,Zhi-Hua Zhou,Nanjing University,Multi-Class Optimal Margin Distribution Machine
32,Seiya Tokui,Preferred Networks / The University of Tokyo,Issei Sato,University of Tokyo / RIKEN,Evaluating the Variance of Likelihood-Ratio Gradient Estimators
33,Urs M Bergmann,Zalando Research,Roland Vollgraf,Zalando Research,Learning Texture Manifolds with the Periodic Spatial GAN
34,Yi Xu,The University of Iowa,Tianbao Yang,The University of Iowa,Stochastic Convex Optimization: Faster Local Growth Implies Faster Global Convergence
35,Ian Osband,Deepmind,Benjamin Van Roy,Stanford University,Why is Posterior Sampling Better than Optimism for Reinforcement Learning?
36,Andres Masegosa,University of Almeria,Anders Madsen,Hugin Expert A/S,Bayesian Models of Data Streams with Hierarchical Power Priors
37,Reinhard Heckel,UC Berkeley,Kannan Ramchandran,UC Berkeley,The Sample Complexity of Online One-Class Collaborative Filtering
38,Lifang He,University of Illinios at Chicago/Shenzhen University,Ann Ragin,Northwestern University,Kernelized Support Tensor Machines
