,first-author,first-author-affiliation,last-author,last-author-affiliation,title
39,Siamak Ravanbakhsh,Carnegie Mellon University,Barnabás Póczos,CMU,Equivariance Through Parameter-Sharing
40,Sanjeev Arora,Princeton University,Yi Zhang,Princeton University,Generalization and Equilibrium in Generative Adversarial Nets (GANs)
41,Li Shen,"School of Mathematics, South China University of Technology",Shiqian Ma,The Chinese University of Hong Kong,GSOS: Gauss-Seidel Operator Splitting Algorithm for Multi-Term Nonsmooth Convex Composite Optimization
42,Joshua Achiam,UC Berkeley,Pieter Abbeel,OpenAI / UC Berkeley,Constrained Policy Optimization
43,Arun SUGGALA,Carnegie Mellon University,Pradeep Ravikumar,Carnegie Mellon University,Ordinal Graphical Models: A Tale of Two Approaches
44,Elad Hazan,Princeton University,Cyril Zhang,Princeton University,Efficient Regret Minimization in Non-Convex Games
45,Dan Feldman,The University of Haifa,Daniela Rus,MIT CSAIL,Coresets for Vector Summarization with Applications to Network Graphs
46,Kai Zhong,University of Texas at Austin,Inderjit Dhillon,UT Austin & Amazon,Recovery Guarantees for One-hidden-layer Neural Networks
47,Yingce Xia,University of Science and Technology of China,Tie-Yan Liu,Microsoft,Dual Supervised Learning
48,Joao Henriques,University of Oxford,Andrea Vedaldi,University of Oxford,Warped Convolutions: Efficient Invariance to Spatial Transformations
49,Youssef Mroueh,IBM T.J Watson Research Center,Vaibhava Goel,IBM,McGan: Mean and Covariance Feature Matching GAN
50,Stephen Tu,UC Berkeley,Benjamin Recht,Berkeley,Breaking Locality Accelerates Block Gauss-Seidel
51,Tuomas Haarnoja,UC Berkeley,Sergey Levine,Berkeley,Reinforcement Learning with Deep Energy-Based Policies
52,Hongyu Yang,Massachusetts Institute of Technology,Margo Seltzer,Harvard University,Scalable Bayesian Rule Lists
53,Yichi Zhou,Tsinghua University,Jun Zhu,Tsinghua University,Identify the Nash Equilibrium in Static Games with Random Payoffs
54,Zilong Tan,Duke University,Sayan Mukherjee,Duke University,Partitioned Tensor Factorizations for Learning Mixed Membership Models
55,Shaked Shammah,"Hebrew University, Jerusalem",Ohad Shamir,Weizmann Institute of Science,Failures of Gradient-Based Deep Learning
56,ROI Livni,Princeton,Amir Globerson,Tel Aviv University,Learning Infinite Layer Networks without the Kernel Trick
57,Renata Khasanova,Ecole Polytechnique Federale de Lausanne (EPFL),Pascal Frossard,EPFL,Graph-based Isometry Invariant Representation Learning
58,Augustus Odena,Google Brain,Jon Shlens,Google Brain,Conditional Image Synthesis with Auxiliary Classifier GANs
