,first-author,first-author-affiliation,last-author,last-author-affiliation,title
79,Tammo Rukat,University of Oxford,Christopher Yau,University of Birmingham,Bayesian Boolean Matrix Factorisation
80,Daniele Calandriello,INRIA Lille,Michal Valko,Inria Lille - Nord Europe,Second-Order Kernel Online Convex Optimization with Adaptive Sketching
81,Sebastian Mair,Leuphana University Lüneburg,Ulf Brefeld,Leuphana University,Frame-based Data Factorizations
82,Liang Zhao,The City University of New York,Bo Yuan,"City College of New York, CUNY",Theoretical Properties for Neural Networks with Weight Matrices of Low Displacement Rank
83,Pang Wei Koh,Stanford University,Percy Liang,Stanford University,Understanding Black-box Predictions via Influence Functions
84,Mingsheng Long,Tsinghua University,Michael Jordan,UC Berkeley,Deep Transfer Learning with Joint Adaptation Networks
85,Shengjia Zhao,Stanford University,Stefano Ermon,Stanford University,Learning Hierarchical Features from Deep Generative Models
86,Mingyi Hong,Iowa State University,Ming-Min Zhao,Zhejiang University,Prox-PDA: The Proximal Primal-Dual Algorithm for Fast Distributed Nonconvex Optimization and Learning Over Networks
87,Deepak Pathak,UC Berkeley,Prof. Darrell,University of California at Berkeley,Curiosity-driven Exploration by Self-supervised Prediction
88,Stephen Bach,Stanford University,Christopher Re,Stanford,Learning the Structure of Generative Models without Labeled Data
89,Bangrui Chen,Cornell University,Peter I Frazier,Cornell University,Dueling Bandits with Weak Regret
90,Yeshwanth Cherapanamjeri,Microsoft Research,Kartik Gupta,Microsoft Research,Nearly Optimal Robust Matrix Completion
91,Alon Brutzkus,Tel Aviv University,Amir Globerson,Tel Aviv University,Globally Optimal Gradient Descent for a ConvNet with Gaussian Inputs
92,Chenzi Zhang,HKU,Hubert Chan,University of Hong Kong,Re-revisiting Learning on Hypergraphs: Confidence Interval and Subgradient Method
93,Tsendsuren Munkhdalai,University of Massachusetts,Hong Yu,University of Massachusetts,Meta Networks
94,Rui Shu,Stanford University,Mohammad Ghavamzadeh,Adobe Research & INRIA,Bottleneck Conditional Density Estimation
95,Jialei Wang,University of Chicago,Lin Xiao,Microsoft Research,Exploiting Strong Convexity from Data with Primal-Dual First-Order Algorithms
96,James MacGlashan,Cogitai,Michael L. Littman,Brown University,Interactive Learning from Policy-Dependent Human Feedback
97,Eugene Belilovsky,CentraleSupelec,Matthew B Blaschko,KU Leuven,Learning to Discover Sparse Graphical Models
98,Claudio Gentile,Universita dell'Insubria,Evans Etrue Howard,University of Insubria,On Context-Dependent Clustering of Bandits
