,first-author,first-author-affiliation,last-author,last-author-affiliation,title
119,Weiyang Liu,Georgia Tech,Le Song,Georgia Institute of Technology,Iterative Machine Teaching
120,Corinna Cortes,Google Research,Scott Yang,Courant Institute,AdaNet: Adaptive Structural Learning of Artificial Neural Networks
121,Tom Goldstein,University of Maryland,Christoph Studer,Cornell University,Convex Phase Retrieval without Lifting via PhaseMax
122,Irina Higgins,DeepMind,Alexander Lerchner,DeepMind,DARLA: Improving Zero-Shot Transfer in Reinforcement Learning
123,Arthur Choi,UCLA,Adnan Darwiche,UCLA,On Relaxing Determinism in Arithmetic Circuits
124,Jiecao (Jack) Chen,Indiana University Bloomington,Yuan Zhou,Indiana University Bloomington,Adaptive Multiple-Arm Identification
125,Masaaki Imaizumi,Institute of Statistical Mathematics,Kohei Hayashi,AIST / RIKEN,Tensor Decomposition with Smoothness
126,Alex Graves,DeepMind,koray kavukcuoglu,DeepMind,Automated Curriculum Learning for Neural Networks
127,Pranav Shyam,R. V. College of Engineering & Indian Institute of Science,Ambedkar Dukkipati,Indian Institute of Science,Attentive Recurrent Comparators
128,Colin Dawson,Oberlin College,Clayton T. Morrison,University of Arizona,An Infinite Hidden Markov Model With Similarity-Biased Transitions
129,Shali Jiang,Washington University in St. Louis,Roman Garnett,Washington University in St. Louis,Efficient Nonmyopic Active Search
130,Kuniaki Saito,The University of Tokyo,Tatsuya Harada,The Univ. of Tokyo / RIKEN,Asymmetric Tri-training for Unsupervised Domain Adaptation
131,Hao Hu,University of Central Florida,Guo-Jun Qi,University of Central Florida,State-Frequency Memory Recurrent Neural Networks
132,Zi Wang,MIT,Pushmeet Kohli,Microsoft Research,Batched High-dimensional Bayesian Optimization via Structural Kernel Learning
133,John Lipor,University of Michigan,Laura Balzano,University of Michigan,Leveraging Union of Subspace Structure to Improve Constrained Clustering
134,PENGFEI WEI,"Nanyang Technological University, Singapore",CHI GOH,,Source-Target Similarity Modelings for Multi-Source Transfer Gaussian Process Regression
135,Daniel Neil,Institute of Neuroinformatics,Shih-Chii Liu,Institute of Neuroinformatics,Delta Networks for Optimized Recurrent Network Computation
136,Geng Ji,Brown University,Erik Sudderth,"University of California, Irvine",From Patches to Images: A Nonparametric Generative Model
137,Kamalika Chaudhuri,University of California at San Diego,Nagarajan Natarajan,Microsoft Research,Active Heteroscedastic Regression
138,Anastasia Pentina,IST Austria,Christoph H. Lampert,IST Austria,Multi-task Learning with Labeled and Unlabeled Tasks
