179,Erik Lindgren,University of Texas at Austin,Adam Klivans,University of Texas at Austin,Exact MAP Inference by Avoiding Fractional Vertices
180,He Zhao,"FIT, Monash University",Wray Buntine,Monash University,Leveraging Node Attributes for Incomplete Relational Data
181,Andreas Loukas,EPFL,Andreas Loukas,EPFL,How Close Are the Eigenvectors of the Sample and Actual Covariance Matrices?
182,Olivier Bachem,ETH Zurich,Andreas Krause,ETH Zurich,Distributed and Provably Good Seedings for k-Means in Constant Rounds
183,Ping Luo,The Chinese University of Hong Kong,Ping Luo,The Chinese University of Hong Kong,Learning Deep Architectures via Generalized Whitened Neural Networks
184,Eugene Vorontsov,MILA,Samuel Kadoury,Ecole Polytechnique de Montreal,On orthogonality and learning RNNs with long term dependencies
185,Guanghui ,George,Daniel Zink,,Conditional Accelerated Lazy Stochastic Gradient Descent
186,Simon Du,Carnegie Mellon University,Dengyong Zhou,Microsoft Research,Stochastic Variance Reduction Methods for Policy Evaluation
187,Kevin Winner,"University of Massachusetts, Amherst",Daniel Sheldon,University of Massachusetts Amherst,Exact Inference for Integer Latent-Variable Models
188,Juho Lee,POSTECH,Seungjin Choi,POSTECH,Bayesian inference on random simple graphs with power law degree distributions
189,Zeyuan Allen-Zhu,Microsoft Research / Princeton / IAS,Yuanzhi Li,Princeton University,Faster Principal Component Regression and Stable Matrix Chebyshev Approximation
190,Silvio Lattanzi,Google,Sergei Vassilvitskii,Google,Consistent k-Clustering
191,Friedemann Zenke,Stanford,Surya Ganguli,Stanford,Continual Learning Through Synaptic Intelligence
192,Li Jing,Massachusetts Institute of Technology,Marin Solja\v{c}i\'{c},MIT,Tunable Efficient Unitary Neural Networks (EUNN) and their application to RNNs
193,Lam Nguyen,Lehigh University,Martin Takac,Lehigh University,SARAH: A Novel Method for Machine Learning Problems Using Stochastic Recursive Gradient
194,Yu-Xiang Wang,Carnegie Mellon University / Amazon AWS,Miro Dudik,Microsoft Research,Optimal and Adaptive Off-policy Evaluation in Contextual Bandits
195,Arturs Backurs,MIT,Christos Tzamos,MIT,Improving Viterbi is Hard: Better Runtimes Imply Faster Clique Algorithms
196,Hanxiao Liu,CMU/Google DeepMind,Yiming Yang,Carnegie Mellon University,Analogical Inference for Multi-relational Embeddings
197,Borja de Balle Pigem,Amazon Research Cambridge,Odalric Maillard,,Spectral Learning from a Single Trajectory under Finite-State Policies
198,Bo Yang,University of Minnesota,Mingyi Hong,Iowa State University,Towards K-means-friendly Spaces: Simultaneous Deep Learning and Clustering
