359,Christos Louizos,University of Amsterdam,Max Welling,University of Amsterdam,Multiplicative Normalizing Flows for Variational Bayesian Neural Networks
360,Yishu Miao,University of Oxford,Philip Blunsom,Oxford University and DeepMind,Discovering Discrete Latent Topics with Neural Variational Inference
361,Yatao Bian,ETH Zurich,Sebastian Tschiatschek,ETH,Guarantees for Greedy Maximization of Non-submodular Functions with Applications
362,Junhyuk Oh,University of Michigan,Pushmeet Kohli,Microsoft Research,Zero-Shot Task Generalization with Multi-Task Deep Reinforcement Learning
363,Vu Dinh,Fred Hutchinson Cancer Center,Erick Matsen,Fred Hutchinson Cancer Center,Probabilistic Path Hamiltonian Monte Carlo
364,Massil Achab,Ecole Polytechnique,Jean-François Muzy,Université de Corse,Uncovering Causality from Multivariate Hawkes Integrated Cumulants
365,Lingxiao Wang,University of Virginia,Quanquan Gu,University of Virginia,Robust Gaussian Graphical Model Estimation with Arbitrary Corruption
366,Ben Rubinstein,University​ of Melbourne,Francesco Aldà,Ruhr-Universität Bochum,Pain-Free Random Differential Privacy with Sensitivity Sampling
367,Hongteng Xu,Georgia Institute of Technology,Hongyuan Zha,Georgia Institute of Technology,Learning Hawkes Processes from Short Doubly-Censored Event Sequences
368,Dmitry Molchanov,Skoltech,Dmitry Vetrov,HSE,Variational Dropout Sparsifies Deep Neural Networks
369,Zhiting Hu,Carnegie Mellon University,Eric Xing,Carnegie Mellon University,Toward Controlled Generation of Text
370,Ilija Bogunovic,EPFL,Volkan Cevher,EPFL,Robust Submodular Maximization: A Non-Uniform Partitioning Approach
371,Jakob Foerster,University of Oxford,Shimon Whiteson,University of Oxford,Stabilising Experience Replay for Deep Multi-Agent Reinforcement Learning
372,Yizhe Zhang,Duke university,Lawrence Carin,Duke,Stochastic Gradient Monomial Gamma Sampler
373,Murat Kocaoglu,University of Texas at Austin,Sriram Vishwanath,,Cost-Optimal Learning of Causal Graphs
374,Greg Ongie,University of Michigan,Robert Nowak,University of Wisconsion-Madison,Algebraic Variety Models for High-Rank Matrix Completion
375,Nina Balcan,Carnegie Mellon University,Hongyang Zhang,Carnegie Mellon University,Differentially Private Clustering in High-Dimensional Euclidean Spaces
376,Souhaib Ben Taieb,Monash University,Rob Hyndman,Monash University,Coherent probabilistic forecasts for hierarchical time series
377,Christopher Beckham,MILA,Christopher Pal,MILA,Unimodal Probability Distributions for Deep Ordinal Classification
378,Yizhe Zhang,Duke university,Lawrence Carin,Duke,Adversarial Feature Matching for Text Generation
