,first-author,first-author-affiliation,last-author,last-author-affiliation,title
379,Serban A Stan,Yale,Amin Karbasi,Yale,Probabilistic Submodular Maximization in Sub-Linear Time
380,David Silver,Google DeepMind,Thomas Degris,DeepMind,The Predictron:  End-To-End Learning and Planning
381,Yi-An Ma,University of Washington,Emily Fox,University of Washington,Stochastic Gradient MCMC Methods for Hidden Markov Models
382,Bryant Chen,IBM Research,Elias Bareinboim,Purdue,Identification and Model Testing in Linear Structural Equation Models using Auxiliary Variables
383,Rongda Zhu,Facebook,Quanquan Gu,University of Virginia,High-Dimensional Variance-Reduced Stochastic Gradient Expectation-Maximization Algorithm
384,Kazuya Kakizaki,University of Tsukuba / NEC,Jun Sakuma,University of Tsukuba / RIKEN AIP,Differentially Private Chi-squared Test by Unit Circle Mechanism
385,Marco Cuturi,ENSAE / CREST,Mathieu Blondel,NTT,Soft-DTW: a Differentiable Loss Function for Time-Series
386,Miltos Allamanis,Microsoft Research,Charles Sutton,University of Edinburgh,Learning Continuous Semantic Representations of Symbolic Expressions
387,RAJIV KHANNA,UT Austin,Sahand Negahban,YALE,On Approximation Guarantees for Greedy Low Rank Optimization
388,Oron Anschel,Technion,Nahum Shimkin,Technion,Averaged-DQN: Variance Reduction and Stabilization for Deep Reinforcement Learning
389,Yulai Cong,Xidian University,Mingyuan Zhou,University of Texas at Austin,Deep Latent Dirichlet Allocation with Topic-Layer-Adaptive Stochastic Gradient Riemannian MCMC
390,Uri Shalit,NYU,David Sontag,Massachusetts Institute of Technology,Estimating individual treatment effect: generalization bounds and algorithms
391,Kai Zheng,Peking University,Liwei Wang,Peking University,"Collect at Once, Use Effectively: Making Non-interactive Locally Private Learning Possible"
392,Yichen Wang,Gatech,Le Song,Georgia Institute of Technology,Variational Policy for Guiding Point Processes
393,Chris Donahue,"University of California, San Diego",Julian McAuley,UCSD,Dance Dance Convolution
394,Yann Dauphin,Facebook AI Research,David Grangier,Facebook,Language Modeling with Gated Convolutional Networks
395,Baharan Mirzasoleiman,ETH Zurich,Andreas Krause,ETH Zurich,"Deletion-Robust Submodular Maximization: Data Summarization with ""the Right to be Forgotten"""
396,Sasha Vezhnevets,DeepMind,koray kavukcuoglu,DeepMind,FeUdal Networks for Hierarchical Reinforcement Learning
397,Erik Daxberger,Ludwig-Maximilians-Universität München,Bryan Kian Hsiang Low,National University of Singapore,Distributed Batch Gaussian Process Optimization
398,Nathan Kallus,Cornell University,Nathan Kallus,Cornell University,Recursive Partitioning for Personalization using Observational Data
