59,Hoai An Le Thi,"Theoretical and Applied Computer Science Laboratory, University of Lorraine",Bach Tran,University of Lorraine,Stochastic DCA for the Large-sum of Non-convex Functions Problem and its Application to Group Variable Selection in Classification
60,Nikhil Mishra,UC Berkeley,Igor Mordatch,OpenAI,Prediction and Control with Temporal Segment Models
61,John C Urschel,Massachusetts Institute of Technology,Victor-Emmanuel Brunel,Massachusetts Institute of Technology,Learning Determinantal Point Processes with Moments and Cycles
62,Zeyuan Allen-Zhu,Microsoft Research / Princeton / IAS,Yuanzhi Li,Princeton University,Follow the Compressed Leader: Faster Online Learning of Eigenvectors and Faster MMWU
63,Xueyu Mao,University of Texas at Austin,Deepayan Chakrabarti,"University of Texas, Austin",On Mixed Memberships and Symmetric Nonnegative Matrix Factorizations
64,Charbel Sakr,University of Illinois at Urbana-Champaign,Naresh Shanbhag,University of Illinois,Analytical Guarantees on Numerical Precision of Deep Neural Networks
65,Haim Avron,Tel Aviv University,Amir Zandieh,EPFL,Random Fourier Features for Kernel Ridge Regression: Approximation Bounds and Statistical Guarantees
66,Tao Lei,MIT CSAIL,Tommi Jaakkola,MIT,Deriving Neural Architectures from Sequence and Graph Kernels
67,Taeksoo Kim,SK T-Brain,Jiwon Kim,SK T-Brain,Learning to Discover Cross-Domain Relations with Generative Adversarial Networks
68,Junqi Tang,the University of Edinburgh,Mike E Davies,University of Edinburgh,Gradient Projection Iterative Sketch for Large-Scale Constrained Least-Squares
69,Kavosh Asadi,Brown University,Michael L. Littman,Brown University,An Alternative Softmax Operator for Reinforcement Learning
70,Yarin Gal,University of Cambridge,Zoubin Ghahramani,University of Cambridge & Uber,Deep Bayesian Active Learning with Image Data
71,Sayak Ray Chowdhury,Indian Institute of Science,Aditya Gopalan,Indian Institute of Science,On Kernelized Multi-armed Bandits
72,Jiali Mei,EDF R&D & Université Paris-Sud,Georges Hébrail,EDF Lab Paris-Saclay,Nonnegative Matrix Factorization for Time Series Recovery From a Few Temporal Aggregates
73,Shuai Zheng,Hong Kong University of Science and Technology,James Kwok,Hong Kong University of Science and Technology,Follow the Moving Leader in Deep Learning
74,Hal Daumé,University of Maryland,Paul Mineiro,Microsoft,Logarithmic Time One-Against-Some
75,Piotr Bojanowski,Facebook,Armand Joulin,Facebook,Unsupervised Learning by Predicting Noise
76,Martin Arjovsky,New York University,Léon Bottou,Facebook,Wasserstein Generative Adversarial Networks
77,Cem Aksoylar,,Venkatesh Saligrama,Boston University,Connected Subgraph Detection with Mirror Descent on SDPs
78,Mehrdad Farajtabar,Georgia Tech,Hongyuan Zha,Georgia Institute of Technology,Fake News Mitigation via Point Process Based Intervention
