99,Yuanzhi Li,Princeton University,Yingyu Liang,Princeton University,Provable Alternating Gradient Descent for Non-negative Matrix Factorization with Strong Correlations
100,Yuchen Zhang,Stanford,Martin Wainwright,University of California at Berkeley,Convexified Convolutional Neural Networks
101,Fan Ma,Xian Jiaotong University,Xuanyi Dong,University of Technology Sydney,Self-Paced Co-training
102,Juyong Kim,Seoul National University,Sung Ju Hwang,UNIST / AItrics,SplitNet: Learning to Semantically Split Deep Networks for Parameter Reduction and Model Parallelization
103,Matthew Hoffman,Google Research,Matthew Hoffman,Google Research,Learning Deep Latent Gaussian Models with Markov Chain Monte Carlo
104,Qi Lei,University of Texas at Austin,Pradeep Ravikumar,Carnegie Mellon University,Doubly Greedy Primal-Dual Coordinate Descent for Sparse Empirical Risk Minimization
105,Nir Baram,Technion - Israel Institute of Technology,Shie Mannor,Technion,End-to-End Differentiable Adversarial Imitation Learning
106,Tian Gao,IBM Research,Murray Campbell,IBM,Local-to-Global Bayesian Network Structure Learning
107,Lihong Li,Microsoft Research,Dengyong Zhou,Microsoft Research,Provably Optimal Algorithms for Generalized Linear Contextual Bandits
108,Rong Ge,Duke University,Yi Zheng,Duke University,No Spurious Local Minima in Nonconvex Low Rank Problems: A Unified Geometric Analysis
109,Maithra Raghu,Google Brain / Cornell University,Jascha Sohl-Dickstein,Google Brain,On the Expressive Power of Deep Neural Networks
110,Tomoya Sakai,The University of Tokyo / RIKEN,Masashi Sugiyama,RIKEN / The University of Tokyo,Semi-Supervised Classification Based on Classification from Positive and Unlabeled Data
111,Chelsea Finn,UC Berkeley,Sergey Levine,Berkeley,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks
112,Liping Liu,Columbia University,David Blei,Columbia University,Zero-Inflated Exponential Family Embeddings
113,Tianbao Yang,The University of Iowa,Lijun Zhang,Nanjing University,A Richer Theory of Convex Constrained Optimization with Reduced Projections and Improved Rates
114,Sammie Katt,Northeastern University,Chris Amato,Northeastern University,Learning in POMDPs with Monte Carlo Tree Search
115,XIUYAN NI,"THE GRADUATE CENTER, CUNY",Chao Chen,City University of New York (CUNY),Composing Tree Graphical Models with Persistent Homology Features for Clustering Mixed-Type Data
116,Wen Sun,Carnegie Mellon University,Ashish Kapoor,Microsoft Research,Safety-Aware Algorithms for Adversarial Contextual Bandit
117,Mostafa Rahmani,University of Central Florida,George Atia,University of Central Florida,"Coherence Pursuit: Fast, Simple, and Robust Subspace Recovery"
118,Itay Safran,Weizmann Institute of Science,Ohad Shamir,Weizmann Institute of Science,Depth-Width Tradeoffs in Approximating Natural Functions With Neural Networks
