259,Jonas Mueller,MIT,Tommi Jaakkola,MIT,Sequence to Better Sequence: Continuous Revision of Combinatorial Structures
260,Zeyuan Allen-Zhu,Microsoft Research / Princeton / IAS,Zeyuan Allen-Zhu,Microsoft Research / Princeton / IAS,Natasha: Faster Non-Convex Stochastic Optimization Via Strongly Non-Convex Parameter
261,Noam Brown,Carnegie Mellon University,Tuomas Sandholm,Carnegie Mellon University,Reduced Space and Faster Convergence in Imperfect-Information Games via Pruning
262,Matej Balog,University of Cambridge,Adrian Weller,University of Cambridge,Lost Relatives of the Gumbel Trick
263,Jacob Devlin,Microsoft Research,Pushmeet Kohli,Microsoft Research,RobustFill: Neural Program Learning under Noisy I/O
264,Jialei Wang,University of Chicago,Tong Zhang,HKUST,Efficient Distributed Learning with Sparsity
265,Shashank Singh,Carnegie Mellon University,Barnabás Póczos,CMU,Nonparanormal Information Estimation
266,Tasha Nagamine,Columbia University,Nima Mesgarani,Columbia University,Visualizing and Understanding Multilayer Perceptron Models: A Case Study in Speech Processing
267,Yinchong Yang,"Ludwig-Maximilians-Universität München, Siemens AG",Volker Tresp,University of Munich,Tensor-Train Recurrent Neural Networks for Video Classification
268,Yair Carmon,Stanford University,Aaron Sidford,Stanford,“Convex Until Proven Guilty”: Dimension-Free Acceleration of Gradient Descent on Non-Convex Functions
269,David Balduzzi,Victoria University Wellington,David Balduzzi,Victoria University Wellington,Strongly-Typed Agents are Guaranteed to Interact Safely
270,Guangyong Chen,The Chinese University of Hong Kong,Pheng Ann Heng,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",Learning to Aggregate Ordinal Labels by Maximizing Separating Width
271,Matko Bošnjak,University College London,Sebastian Riedel,UCL,Programming with a Differentiable Forth Interpreter
272,Mostafa Rahmani,University of Central Florida,George Atia,University of Central Florida,Innovation Pursuit: A New Approach to the Subspace Clustering Problem
273,Jayadev Acharya,Cornell University,Ananda Suresh,Google,A Unified Maximum Likelihood Approach for Estimating Symmetric Properties of Discrete Distributions
274,Mukund Sundararajan,Google Inc.,Qiqi Yan,Google Inc.,Axiomatic Attribution for Deep Networks
275,Chong Wang,Microsoft Research,Li Deng,Citadel,Sequence Modeling via Segmentations
276,Qunwei Li,Syracuse University,Pramod K Varshney,Syracuse University,Convergence Analysis of Proximal Gradient with Momentum for Nonconvex Optimization
277,Hoang Le,Caltech,Patrick Lucey,STATS LLC.,Coordinated Multi-Agent Imitation Learning
278,Pengtao Xie,Carnegie Mellon University,Eric Xing,Carnegie Mellon University,Uncorrelation and Evenness: a New Diversity-Promoting Regularizer
