419,David Belanger,Google Brain,Andrew McCallum,UMass Amherst,End-to-End Learning for Structured Prediction Energy Networks
420,Justin Gilmer,Google Brain,George Dahl,Google Brain,Neural Message Passing for Quantum Chemistry
421,Matt J. Kusner,Alan Turing Institute,Jose Miguel Hernandez-Lobato,University of Cambridge,Grammar Variational Autoencoder
422,Matthew J Staib,MIT,Stefanie Jegelka,MIT,Robust Budget Allocation via Continuous Submodular Functions
423,Irwan Bello,Google Brain,Quoc Le,Google Brain,Neural Optimizer Search using Reinforcement Learning
424,Hao Peng,Purdue University,Alan Qi,Ant Financial,Asynchronous Distributed Variational Gaussian Processes for Regression
425,Andrew Forney,UCLA,Elias Bareinboim,Purdue,Counterfactual Data-Fusion for Online Reinforcement Learners
426,Esteban Real,Google Inc.,Alex Kurakin,Google Brain,Large-Scale Evolution of Image Classifiers
427,Yueming LYU,city university of hong kong,Yueming LYU,city university of hong kong,Spherical Structured Feature Maps for Kernel Approximation
428,Xi-Zhu Wu,Nanjing University,Zhi-Hua Zhou,Nanjing University,A Unified View of Multi-Label Performance Measures
429,Jonathan Tompson,Google Brain,Ken Perlin,New York University,Accelerating Eulerian Fluid Simulation With Convolutional Networks
430,Jonathan Eckstein,Rutgers University,Ai Kagawa,Rutgers Univeristy,Rule-Enhanced Penalized Regression by Column Generation using Rectangular Maximum Agreement
431,Santu Rana,Deakin University,Svetha Venkatesh,Deakin University,High Dimensional Bayesian Optimization with Elastic Gaussian Process
432,Dino Oglic,University of Bonn,Thomas Gaertner,The University of Nottingham,Nyström Method with Kernel K-means++ Samples as Landmarks
433,Vikas Jain,Indian Institute of Technology Kanpur,Piyush Rai,IIT Kanpur,Scalable Generative Models for Multi-label Learning with Missing Labels
