19,Eric Wong,Carnegie Mellon University,Zico Kolter,Carnegie Mellon University / Bosch Center for AI,Provable Defenses against Adversarial Examples via the Convex Outer Adversarial Polytope
20,Erik Talvitie,Franklin & Marshall College,Erik Talvitie,Franklin & Marshall College,Learning the Reward Function for a Misspecified Model
21,kyowoon Lee,UNIST,Seong-Whan Lee,Korea University,Deep Reinforcement Learning in Continuous Action Spaces: a Case Study in the Game of Simulated Curling
22,Mingda Qiao,"IIIS, Tsinghua University",Mingda Qiao,"IIIS, Tsinghua University",Do Outliers Ruin Collaboration?
23,Wenlong Mou,UC Berkeley,Liwei Wang,Peking University,"Dropout Training, Data-dependent Regularization, and Generalization Bounds"
24,IEMS Xingyu Wang,"IEMS, Northwestern University",Diego Klabjan,Northwestern University,Competitive Multi-agent Inverse Reinforcement Learning with Sub-optimal Demonstrations
25,Christos Kaplanis,Imperial College London,Claudia Clopath,Imperial College London,Continual Reinforcement Learning with Complex Synapses
26,Guillaume Pouliot,University of Chicago,Guillaume Pouliot,University of Chicago,Equivalence of Multicategory SVM and Simplex Cone SVM: Fast Computations and Statistical Theory
27,Heinrich Jiang,Google,Samory Kpotufe,Princeton University,Quickshift++: Provably Good Initializations for Sample-Based Mean Shift
28,Dimitris Kalimeris,Harvard University,Udi Weinsberg,Facebook,Learning Diffusion using Hyperparameters
29,Flavio Chierichetti,Sapienza University,Andrew Tomkins,Google,Learning a Mixture of Two Multinomial Logits
30,Matthäus Kleindessner,Rutgers University,Pranjal Awasthi,Rutgers University,Crowdsourcing with Arbitrary Adversaries
31,David Inouye,Carnegie Mellon University,Pradeep Ravikumar,Carnegie Mellon University,Deep Density Destructors
32,Abhinav Verma,Rice University,Swarat Chaudhuri,Rice University,Programmatically Interpretable Reinforcement Learning
33,Krzysztof Choromanski,Google Brain Robotics,Adrian Weller,"University of Cambridge, Alan Turing Institute",Structured Evolution with Compact Architectures for Scalable Policy Optimization
34,Yunlong Jiao,University of Oxford,JP Vert,ENS Paris,The Weighted Kendall and High-order Kernels for Permutations
35,Moein Falahatgar,UC San Diego,Vaishakh Ravindrakumar,UC San Diego,"The Limits of Maxing, Ranking, and Preference Learning"
36,Wesley Tansey,Columbia University,Raul Rabadan,Columbia University Medical Center,Black Box FDR
37,Mao Ye,PURDUE UNIVERSITY,Yan Sun,Purdue University,Variable Selection via Penalized Neural Network: a Drop-Out-One Loss Approach
38,Aravindan Vijayaraghavan,Northwestern University,Pranjal Awasthi,Rutgers University,Clustering Semi-Random Mixtures of Gaussians
