,first-author,first-author-affiliation,last-author,last-author-affiliation,title
59,Or Sheffet,University of Alberta,Or Sheffet,University of Alberta,Locally Private Hypothesis Testing
60,Tuomas Haarnoja,UC Berkeley,Sergey Levine,Berkeley,Latent Space Policies for Hierarchical Reinforcement Learning
61,Mehrdad Farajtabar,Georgia Tech,Mohammad Ghavamzadeh,Facebook AI Research,More Robust Doubly Robust Off-policy Evaluation
62,Jianbo Chen,"University of California, Berkeley",Michael Jordan,UC Berkeley,Learning to Explain: An Information-Theoretic Perspective on Model Interpretation
63,Wenhan Luo,Tencent AI Lab,Yizhou Wang,Peking University,End-to-end Active Object Tracking via Reinforcement Learning
64,Rizal Fathony,University of Illinois at Chicago,Brian Ziebart,University of Illinois at Chicago,Efficient and Consistent Adversarial Bipartite Matching
65,Vlad Niculae,Cornell University,Claire Cardie,Cornell University,SparseMAP: Differentiable Sparse Structured Inference
66,Luca Franceschi,Istituto Italiano di Tecnologia - University College London,Massimiliano Pontil,University College London,Bilevel Programming for Hyperparameter Optimization and Meta-Learning
67,Ron Amit,Technion – Israel Institute of Technology,Ron Meir,Technion Israeli Institute of Technology,Meta-Learning by Adjusting Priors Based on Extended PAC-Bayes Theory
68,Robert Ganian,TU Wien,Stefan Szeider,TU Wien,Parameterized Algorithms for the Matrix Completion Problem
69,Praneeth Narayanamurthy,Iowa State University,Namrata Vaswani,Iowa State University,Nearly Optimal Robust Subspace Tracking
70,Zeyuan Allen-Zhu,Microsoft Research AI,Zeyuan Allen-Zhu,Microsoft Research AI,Katyusha X: Simple Momentum Method for Stochastic Sum-of-Nonconvex Optimization
71,Jeremy Bernstein,Caltech,Anima Anandkumar,Amazon AI & Caltech,signSGD: Compressed Optimisation for Non-Convex Problems
72,Anish Athalye,MIT CSAIL,Kevin Kwok,LabSix,Synthesizing Robust Adversarial Examples
73,Matthew Mirman,ETH Zürich,Martin Vechev,ETH Zurich,Differentiable Abstract Interpretation for Provably Robust Neural Networks
74,Jianfei Chen,Tsinghua University,Le Song,Georgia Institute of Technology,Stochastic Training of Graph Convolutional Networks with Variance Reduction
75,Thomas Kipf,University of Amsterdam,Richard Zemel,Vector Institute,Neural Relational Inference for Interacting Systems
76,Lars Mescheder,MPI Tübingen,Sebastian Nowozin,Microsoft Research,Which Training Methods for GANs do actually Converge?
77,Giambattista Parascandolo,Max Planck Institute for Intelligent Systems and ETH Zurich,Bernhard Schölkopf,"MPI for Intelligent Systems Tübingen, Germany",Learning Independent Causal Mechanisms
78,Junpei Komiyama,U-Tokyo,Hajime Shimao,Purdue University,Nonconvex Optimization for Regression with Fairness Constraints
