,first-author,first-author-affiliation,last-author,last-author-affiliation,title
99,Octavian-Eugen Ganea,ETH Zurich,Thomas Hofmann,ETH Zurich,Hyperbolic Entailment Cones for Learning Hierarchical Embeddings
100,Marco Fraccaro,Technical University of Denmark,Fabio Viola,DeepMind,Generative Temporal Models with Spatial Memory for Partially Observed Environments
101,Jakob Foerster,Facebook AI Research,Shimon Whiteson,University of Oxford,DiCE: The Infinitely Differentiable Monte Carlo Estimator
102,Kyle Helfrich,University of Kentucky,Qiang Ye,University of Kentucky,Orthogonal Recurrent Neural Networks with Scaled Cayley Transform
103,Stephen Tu,UC Berkeley,Benjamin Recht,Berkeley,Least-Squares Temporal Difference Learning for the Linear Quadratic Regulator
104,Yuanxiang Gao,University of Toronto,Baochun Li,University of Toronto,Spotlight: Optimizing Device Placement for Training Deep Neural Networks
105,Aravind Srinivas,UC Berkeley,Chelsea Finn,"Stanford, Google, UC Berkeley",Universal Planning Networks: Learning Generalizable Representations for Visuomotor Control
106,Maria Dimakopoulou,Stanford,Benjamin Van Roy,Stanford University,Coordinated Exploration in Concurrent Reinforcement Learning
107,Akifumi Okuno,Kyoto University / RIKEN AIP,Hidetoshi Shimodaira,Kyoto University / RIKEN AIP,A probabilistic framework for multi-view feature learning with many-to-many associations via neural networks
108,Hanjun Dai,Georgia Tech,Le Song,Georgia Institute of Technology,Learning Steady-States of Iterative Algorithms over Graphs
109,Anish Athalye,MIT CSAIL,David Wagner,UC Berkeley,Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples
110,L. Elisa Celis,Yale,Nisheeth Vishnoi,EPFL,Fair and Diverse DPP-Based Data Summarization
111,Suman Ravuri,DeepMind,Oriol Vinyals,DeepMind,Learning Implicit Generative Models with the Method of Learned Moments
112,Chenyang Tao,Duke University,Lawrence Carin,Duke,Chi-square Generative Adversarial Network
113,Teodor Vanislavov Marinov,Johns Hopkins University,Raman Arora,Johns Hopkins University,Streaming Principal Component Analysis in Noisy Setting
114,Jan-Hendrik Lange,Max Planck Institute for Informatics,Bjoern Andres,MPI for Informatics,Partial Optimality and Fast Lower Bounds for Weighted Correlation Clustering
115,Lam Nguyen,Lehigh University & IBM T.J. Watson Research Center,Martin Takac,Lehigh University,SGD and Hogwild! Convergence Without the Bounded Gradients Assumption
116,Pavel Dvurechenskii,Weierstrass Institute for Applied Analysis and Stochastics,Alexey Kroshnin,Institute for Information Transmission Problems,Computational Optimal Transport: Complexity by Accelerated Gradient Descent Is Better Than by Sinkhorn's Algorithm
117,Zachary Charles,University of Wisconsin-Madison,Dimitris Papailiopoulos,ECE at University of Wisconsin-Madison,Stability and Generalization of Learning Algorithms that Converge to Global Optima
118,Junhong Lin,EPFL,Volkan Cevher,EPFL,Optimal Rates of Sketched-regularized Algorithms for Least-Squares Regression over Hilbert Spaces
