119,Noam Shazeer,Google,Mitchell Stern,UC Berkeley,Adafactor: Adaptive Learning Rates with Sublinear Memory Cost
120,Jack Rae,DeepMind,Tim Lillicrap,Google DeepMind,Fast Parametric Learning with Activation Memorization
121,Felix Draxler,Heidelberg University,Fred Hamprecht,Heidelberg Collaboratory for Image Processing,Essentially No Barriers in Neural Network Energy Landscape
122,Thomas Laurent,Loyola Marymount University,James von Brecht,CSULB,Deep Linear Networks with Arbitrary Loss: All Local Minima Are Global
123,Haitao Liu,Rolls-Royce@NTU Corp Lab,Yew Soon ONG,Nanyang Technological University,Generalized Robust Bayesian Committee Machine for Large-scale Gaussian Process Regression
124,Xiaoyue Xi,Imperial College London,Mark Girolami,Imperial College London,Bayesian Quadrature for Multiple Related Integrals
125,Haiguang Wen,Purdue University,Zhongming Liu,Purdue University,Deep Predictive Coding Network for Object Recognition
126,Tatsunori Taniai,RIKEN AIP,Takanori Maehara,RIKEN AIP,Neural Inverse Rendering for General Reflectance Photometric Stereo
127,Steve Mussmann,Stanford University,Percy Liang,Stanford University,On the Relationship between Data Efficiency and Error for Uncertainty Sampling
128,Yewen Pu,MIT,Leslie Kaelbling,(organization),Selecting Representative Examples for Program Synthesis
129,Marta Garnelo,DeepMind,S. M. Ali Eslami,DeepMind,Conditional Neural Processes
130,Nevan Wichers,Google,Honglak Lee,Google Brain,Hierarchical Long-term Video Prediction without Supervision
131,Jonathan Uesato,DeepMind,Aäron van den Oord,Google Deepmind,Adversarial Risk and the Dangers of Evaluating Against Weak Attacks
132,Shibani Santurkar,MIT,Aleksander Madry,MIT,A Classification-Based Study of Covariate Shift in GAN Distributions
133,Lisa Lee,Carnegie Mellon University,Russ Salakhutdinov,Carnegie Mellen University,Gated Path Planning Networks
134,Carlos Florensa,UC Berkeley,Pieter Abbeel,OpenAI / UC Berkeley,Automatic Goal Generation for Reinforcement Learning Agents
135,Guilherme Franca,Johns Hopkins University,Rene Vidal,Johns Hopkins University,ADMM and Accelerated ADMM as Continuous Dynamical Systems
136,Bin Hu,University of Wisconsin-Madison,Laurent Lessard,University of Wisconsin-Madison,Dissipativity Theory for Accelerating Stochastic Variance Reduction: A Unified Analysis of SVRG and Katyusha Using Semidefinite Programs
137,Davide Bacciu,University of Pisa,Alessio Micheli,Universita di Pisa,Contextual Graph Markov Model: A Deep and Generative Approach to Graph Processing
138,Max Nickel,Facebook AI Research,Douwe Kiela,Facebook AI Research,Learning Continuous Hierarchies in the Lorentz Model of Hyperbolic Geometry
