,first-author,first-author-affiliation,last-author,last-author-affiliation,title
199,Simon Olofsson,Imperial College London,Ruth Misener,Imperial College London,Design of Experiments for Model Discrimination Hybridising Analytical and Data-Driven Approaches
200,Sergey Ivanov,Criteo,Evgeny Burnaev,Skoltech,Anonymous Walk Embeddings
201,Robert Bamler,UC Irvine,Stephan Mandt,UC Irvine,Improving Optimization in Models With Continuous Symmetry Breaking
202,Ciwan Ceylan,RWTH,Michael Gutmann,University of Edinburgh,Conditional Noise-Contrastive Estimation of Unnormalised Models
203,Timothee Lacroix,Facebook,Guillaume Obozinski,Ecole des Ponts - ParisTech,Canonical Tensor Decomposition for Knowledge Base Completion
204,Siyuan Ma,The Ohio State University,Mikhail Belkin,Ohio State University,The Power of Interpolation:  Understanding the Effectiveness of SGD in Modern Over-parametrized Learning
205,Kaiwen Zhou,The Chinese University of Hong Kong,James Cheng,CUHK,A Simple Stochastic Variance Reduced Algorithm with Fast Convergence Rates
206,Hadi Daneshmand,ETH Zurich,Thomas Hofmann,ETH Zurich,Escaping Saddles with Stochastic Gradients
207,Hanlin Tang,University of Rochester,Ji Liu,University of Rochester,$D^2$: Decentralized Training over Decentralized Data
208,Neil Rabinowitz,DeepMind,Matthew Botvinick,DeepMind,Machine Theory of Mind
209,Sam Ritter,DeepMind,Matthew Botvinick,DeepMind,"Been There, Done That: Meta-Learning with Episodic Recall"
210,Bin Gu,University of Pittsburgh,Heng Huang,University of Pittsburgh,Faster Derivative-Free Stochastic Algorithm for Shared Memory Machines
211,Sinong Wang,The Ohio State University,Ness Shroff,The Ohio State University,Coded Sparse Matrix Multiplication
212,Francisco Ruiz,University of Cambridge / Columbia University,David Blei,Columbia University,Augment and Reduce: Stochastic Inference for Large Categorical Distributions
213,Oleg Arenz,TU Darmstadt,Mingjun Zhong,University of Lincoln,Efficient Gradient-Free Variational Inference using Policy Search
214,Alex Alemi,Google,Kevin Murphy,Google Brain,Fixing a Broken ELBO
215,Liqun Chen,Duke University,Lawrence Carin,Duke,Variational Inference and Model Selection with Generalized Evidence Bounds
216,ALEXANDROS GEORGOGIANNIS,TECHNICAL UNIVERSITY OF CRETE,ALEXANDROS GEORGOGIANNIS,TECHNICAL UNIVERSITY OF CRETE,The Generalization Error of Dictionary Learning with Moreau Envelopes
217,Jiashun Jin,Carnegie Mellon University,Shengming Luo,CMU,Network Global Testing by Counting Graphlets
218,Richard Zhang,"University of California, Berkeley",Somayeh Sojoudi,"University of California, Berkeley",Large-Scale Sparse Inverse Covariance Estimation via Thresholding and Max-Det Matrix Completion
