,first-author,first-author-affiliation,last-author,last-author-affiliation,title
259,Ofir Nachum,Google Brain,Dale Schuurmans,University of Alberta,Smoothed Action Value Functions for Learning Gaussian Policies
260,RJ Skerry-Ryan,"Google, Inc.",Rif Saurous,,Towards End-to-End Prosody Transfer for Expressive Speech Synthesis with Tacotron
261,Yuxuan Wang,Google,Rif Saurous,,"Style Tokens: Unsupervised Style Modeling, Control and Transfer in End-to-End Speech Synthesis"
262,Ahmed M. Alaa,UCLA,Mihaela van der Schaar,UCLA,AutoPrognosis: Automated Clinical Prognostic Modeling via Bayesian Optimization with Structured Kernel Learning
263,Amartya Sanyal,University of Oxford,Varun Kanade,University of Oxford,TAPAS: Tricks to Accelerate (encrypted) Prediction As a Service
264,Di Chen,Cornell University,Carla Gomes,Cornell University,End-to-End Learning for the Deep Multivariate Probit Model
265,Arthur Mensch,Inria Parietal,Mathieu Blondel,NTT,Differentiable Dynamic Programming for Structured Prediction and Attention
266,Junhong Lin,EPFL,Volkan Cevher,EPFL,Optimal Distributed Learning with Multi-pass Stochastic Gradient Methods
267,Dong Yin,UC Berkeley,Peter Bartlett,UC Berkeley,Byzantine-Robust Distributed Learning: Towards Optimal Statistical Rates
268,LIWEI WU,"University of California, Davis",University of California James Sharpnack,"University of California, Davis",SQL-Rank: A Listwise Approach to Collaborative Ranking
269,Minhao Cheng,UC Davis,Cho-Jui Hsieh,"University of California, Davis",Extreme Learning to Rank via Low Rank Assumption
270,Hanjun Dai,Georgia Tech,Le Song,Georgia Institute of Technology,Adversarial Attack on Graph Structured Data
271,Xi Wu,Google,Somesh Jha,"University of Wisconsin, Madison",Reinforcing Adversarial Robustness using Model Confidence Induced by Adversarial Training
272,Louis Filstroff,"CNRS, Toulouse",Cedric Fevotte,CNRS,Closed-form Marginal Likelihood in Gamma-Poisson Matrix Factorization
273,Ariel Jaffe,Weizmann Institute of Science,Yuval Kluger,Yale School of Medicine,Learning Binary Latent Variable Models: A Tensor Eigenpair Approach
274,Siwei Wang,Tsinghua University,Wei Chen,Microsoft,Thompson Sampling for Combinatorial Semi-Bandits
275,Ehsan Asadi Kangarshahi,University of Cambridge,Volkan Cevher,EPFL,Let’s be Honest: An Optimal No-Regret Framework for Zero-Sum Games
276,Hae Beom Lee,UNIST,Sung Ju Hwang,KAIST,Deep Asymmetric Multi-task Feature Learning
277,Ashwin Kalyan,Georgia Tech,Dhruv Batra,Georgia Institute of Technology / Facebook AI Research,Learn from Your Neighbor: Learning Multi-modal Mappings from Sparse Annotations
278,Dilin Wang,UT Austin,Qiang Liu,UT Austin,Stein Variational Message Passing for Continuous Graphical Models
