319,Lionel Martin,EPFL,Pierre Vandergheynst,École polytechnique fédérale de Lausanne,Fast Approximate Spectral Clustering for Dynamic Networks
320,Simon Du,Carnegie Mellon University,Barnabás Póczos,CMU,Gradient Descent Learns One-hidden-layer CNN: Don't be Afraid of Spurious Local Minima
321,Quynh Nguyen,Saarland University,Matthias Hein,University of Tuebingen,Neural Networks Should Be Wide Enough to Learn Disconnected Decision Regions
322,Wenruo Bai,University of Washington,Jeff Bilmes,UW,Greed is Still Good: Maximizing Monotone Submodular+Supermodular (BP) Functions
323,Andrew Ilyas,Massachusetts Institute of Technology,Jessy Lin,MIT,Black-box Adversarial Attacks with Limited Queries and Information
324,Abhishek Bansal,IBM Research,Chiru Bhattacharyya,Indian Institute of Science,Using Inherent Structures to design Lean 2-layer RBMs
325,Patrick Schwab,ETH Zurich,Walter Karlen,ETH Zurich,Not to Cry Wolf: Distantly Supervised Multitask Learning in Critical Care
326,Amy Zhang,Facebook AI Research,Facebook Rob Fergus,"Facebook AI Research, NYU",Composable Planning with Attributes
327,Adam Santoro,DeepMind,Tim Lillicrap,Google DeepMind,Measuring abstract reasoning in neural networks
328,Lin Chen,Yale University,Amin Karbasi,Yale,Projection-Free Online Optimization with Stochastic Gradient: From Convexity to Submodularity
329,Dongwoo Kim,The Australian National University,Christian Walder,"Data61, the Australian National University",Self-Bounded Prediction Suffix Tree via Approximate String Matching
330,Lu Jiang,Google,Li Fei-Fei,Stanford University & Google,MentorNet: Learning Data-Driven Curriculum for Very Deep Neural Networks on Corrupted Labels
331,Daphna Weinshall,"Hebrew University of Jerusalem, Israel",Dan Amir,Hebrew University of Jerusalem,Curriculum Learning by Transfer Learning: Theory and Experiments with Deep Networks
332,Rie Johnson,RJ Research Consulting,Tong Zhang,Tecent AI Lab,Composite Functional Gradient Learning of Generative  Adversarial Models
333,Danny Karmon,Bar Ilan University,Yoav Goldberg,Bar Ilan University,LaVAN: Localized and Visible Adversarial Noise
334,Eric Balkanski,Harvard,Yaron Singer,Harvard,Approximation Guarantees for Adaptive Sampling
335,Andrew Cotter,Google AI,Jeff Bilmes,UW,Constrained Interacting Submodular Groupings
336,Nathan Kallus,Cornell University,Angela Zhou,Cornell University,Residual Unfairness in Fair Machine Learning from Prejudiced Data
337,Liang Tong,Vanderbilt University,Yevgeniy Vorobeychik,Vanderbilt University,Adversarial Regression with Multiple Learners
338,Fred Sala,Stanford,Christopher Re,Stanford,Representation Tradeoffs for Hyperbolic Embeddings
