419,Duhyeon Bang,Yonsei univ.,Hyunjung Shim,Yonsei University,Improved Training of Generative Adversarial Networks Using Representative Features
420,Jonatas Wehrmann,Pontifícia Universidade Catolica do Rio Grande do Sul - PUCRS,Rodrigo Barros,PUCRS,Hierarchical Multi-Label Classification Networks
421,Suraj Srinivas,Idiap,Francois Fleuret,Idiap research institute,Knowledge Transfer with Jacobian Matching
422,Weiyang Liu,Georgia Tech,Le Song,Georgia Institute of Technology,Towards Black-box Iterative Machine Teaching
423,Borja de Balle Pigem,Amazon Research,Yu-Xiang Wang,UC Santa Barbara,Improving the Gaussian Mechanism for Differential Privacy: Analytical Calibration and Optimal Denoising
424,Andrea Tirinzoni,Politecnico di Milano,Marcello Restelli,Politecnico di Milano,Importance Weighted Transfer of Samples in Reinforcement Learning
425,Yonathan Efroni,Technion,Shie Mannor,Technion,Beyond the One-Step Greedy Approach in Reinforcement Learning
426,Mark McLeod,University of Oxford,Michael A Osborne,U Oxford,"Optimization, fast and slow: optimally switching between local and Bayesian optimization"
427,Wenlong Lyu,Fudan University,Xuan Zeng,Fudan University,Batch Bayesian Optimization via Multi-objective Acquisition Ensemble for Automated Analog Circuit Design
428,Qiang Sun,University of Toronto,Tong Zhang,Tecent AI Lab,Graphical Nonconvex Optimization via an Adaptive Convex Relaxation
429,Junjie Ma,Columbia University,Arian Maleki,Columbia,Approximate message passing for amplitude based optimization
430,Lydia T. Liu,University of California Berkeley,University of California Moritz Hardt,"University of California, Berkeley",Delayed Impact of Fair Machine Learning
431,Mehdi S. M. Sajjadi,Max Planck Institute for Intelligent Systems,Bernhard Schölkopf,"MPI for Intelligent Systems Tübingen, Germany",Tempered Adversarial Networks
432,Robin Ru,University of Oxford,Diego Granziol,Oxford,Fast Information-theoretic Bayesian Optimisation
433,Jonathan Scarlett,National University of Singapore,Jonathan Scarlett,National University of Singapore,Tight Regret Bounds for Bayesian Optimization in One Dimension
434,Niki Parmar,Google,Dustin Tran,Google,Image Transformer
435,Lorenz Müller,ETH Zurich and University of Zurich,Giacomo Indiveri,University of Zurich,Kernelized Synaptic Weight Matrices
436,Celestine Mendler-Dünner,IBM Research,Martin Jaggi,EPFL,A Distributed Second-Order Algorithm You Can Trust
437,Michael Cohen,,Orecchia Lorenzo,Boston,On Acceleration with Noise-Corrupted Gradients
438,Netanel Raviv,California Institute of Technology,Itzhak Tamo,Tel-Aviv University,Gradient Coding from Cyclic MDS Codes and Expander Graphs
