,first-author,first-author-affiliation,last-author,last-author-affiliation,title
439,Haihao Lu,MIT,Vahab Mirrokni,Google Research,Accelerating Greedy Coordinate Descent Methods
440,Boris Sharchilev,Yandex,Maarten de Rijke,University of Amsterdam,Finding Influential Training Samples for Gradient Boosted Decision Trees
441,Ehsan Imani,University of Alberta,Martha White,University of Alberta,Improving Regression Performance with Distributional Losses
442,Tabish Rashid,University of Oxford,Shimon Whiteson,University of Oxford,QMIX: Monotonic Value Function Factorisation for Deep Multi-Agent Reinforcement Learning
443,Jilles Dibangoye,INRIA,Olivier Buffet,INRIA,Learning to Act in Decentralized Partially Observable MDPs
444,Clarice Poon,University of Cambridge,Carola-Bibiane Schönlieb,University of Cambridge,Local Convergence Properties of SAGA/Prox-SVRG and Acceleration
445,Wilson Ye Chen,University of Technology Sydney,Chris J Oates,Newcastle University,Stein Points
446,Ti John,PROWLER.io,James Hensman,PROWLER.io,Large-Scale Cox Process Inference using Variational Fourier Features
447,Zaiyi Chen,University of Science and Technology of China,Tianbao Yang,The University of Iowa,SADAGRAD: Strongly Adaptive Stochastic Gradient Methods
448,Mingyi Hong,University of Minnesota,Jason Lee,University of Southern California,Gradient Primal-Dual Algorithm Converges to Second-Order Stationary Solution for  Nonconvex Distributed Optimization Over Networks
449,Raghu Bollapragada,Northwestern University,Ping Tak Tang,Intel Corporation,A Progressive Batching L-BFGS Method for Machine Learning
450,Xiaojie Jin,National University of Singapore,Shuicheng Yan,Qihoo/360,WSNet: Compact and Efficient Networks Through Weight Sampling
451,Gintare Karolina Dziugaite,University of Cambridge,Daniel Roy,Univ of Toronto | Toronto,Entropy-SGD optimizes the prior of a PAC-Bayes bound: Generalization properties of Entropy-SGD and data-dependent priors
452,Tim Pearce,University of Cambridge / The Alan Turing Institute,Andy Neely,,"High-Quality Prediction Intervals for Deep Learning: A Distribution-Free, Ensembled Approach"
453,Thodoris Lykouris,Cornell University,Sergei Vassilvitskii,Google,Competitive Caching with Machine Learned Advice
454,Matthew Streeter,Google,Matthew Streeter,Google,Approximation Algorithms for Cascading Prediction Models
455,Ilias Zadik,MIT,Vasilis Syrgkanis,Microsoft Research,Orthogonal Machine Learning: Power and Limitations
456,Akihiro Yabe,NEC Corporation,Ken-ichi Kawarabayashi,National Institute of Informatics,Causal Bandits with Propagating Inference
457,Wojciech Czarnecki,DeepMind,Razvan Pascanu,DeepMind,Mix & Match - Agent Curricula for Reinforcement Learning
458,Brendan O'Donoghue,DeepMind,Vlad Mnih,Google Deepmind,The Uncertainty Bellman Equation and Exploration
