479,Manolis Tsakiris,Johns Hopkins University,Rene Vidal,Johns Hopkins University,Theoretical Analysis of Sparse Subspace Clustering with Missing Entries
480,Steve Huntsman,BAE Systems FAST Labs,Steve Huntsman,BAE Systems FAST Labs,Topological mixture estimation
481,Francesco Locatello,MPI - ETH,Martin Jaggi,EPFL,On Matching Pursuit and Coordinate Descent
482,Thomas Kerdreux,INRIA,Alex d'Aspremont,"CNRS, Ecole Normale Superieure",Frank-Wolfe with Subsampling Oracle
483,Yangchen Pan,University of Alberta,Daniel Nikovski,Mitsubishi Electric Research Labs,Reinforcement Learning with Function-Valued Action Spaces for Partial Differential Equation Control
484,Matthew Fellows,University of Oxford,Shimon Whiteson,University of Oxford,Fourier Policy Gradients
485,Fabian Pedregosa,UC Berkeley,Gauthier Gidel,MILA,Adaptive Three Operator Splitting
486,Alp Yurtsever,EPFL,Volkan Cevher,EPFL,A Conditional Gradient Framework for Composite Convex Minimization with Applications to Semidefinite Programming
487,Shaoan Xie,Sun Yat-sen University,Chuan Chen,Sun Yat-sen University,Learning Semantic Representations for Unsupervised Domain Adaptation
488,David Madras,University of Toronto,Richard Zemel,Vector Institute,Learning Adversarially Fair and Transferable Representations
489,Itay Safran,Weizmann Institute of Science,Ohad Shamir,Weizmann Institute of Science,Spurious Local Minima are Common in Two-Layer ReLU Neural Networks
490,Yeonwoo Jeong,Seoul National University,Hyun Oh Song,Seoul National University,Efficient end-to-end learning for quantizable representations
491,Charu Sharma,Indian Institute of Technology Hyderabad,Manu Kaul,IIT Hyderabad,Solving Partial Assignment Problems using Random Clique Complexes
492,Siyuan Qi,UCLA,Song-Chun Zhu,UCLA,Generalized Earley Parser: Bridging Symbolic Grammars and Sequence Data for Future Prediction
493,Koulik Khamaru,University Of California Berkeley,Martin Wainwright,University of California at Berkeley,Convergence guarantees for a class of non-convex and   non-smooth optimization problems
494,XUDONG LI,Princeton Univerisity,Anru Zhang,University of Wisconsin-Madison,Estimation of Markov Chain via Rank-constrained Likelihood
495,Dmitrii Ostrovskii,INRIA,Zaid Harchaoui,University of Washington,Efficient First-Order Algorithms for Adaptive Signal Denoising
496,Pan Xu,"University of California, Los Angeles",Quanquan Gu,UCLA,Continuous and Discrete-time Accelerated Stochastic Mirror Descent for Strongly Convex Functions
497,Adji Bousso Dieng,Columbia University,David Blei,Columbia University,Noisin: Unbiased Regularization for Recurrent Neural Networks
498,Zhengping Che,University of Southern California,Yan Liu,University of Southern California,Hierarchical Deep Generative Models for Multi-Rate Multivariate Time Series
