,first-author,first-author-affiliation,last-author,last-author-affiliation,title
499,Yingzhen Li,Microsoft Research Cambridge,Stephan Mandt,UC Irvine,Disentangled Sequential Autoencoder
500,Emily Denton,New York University,Rob Fergus,Facebook / NYU,Stochastic Video Generation with a Learned Prior
501,Mohamed Ishmael Belghazi,MILA,Aaron Courville,University of Montreal,Mutual Information Neural Estimation
502,Jake Zhao,NYU / Facebook AI Research,Yann LeCun,New York University,Adversarially Regularized Autoencoders
503,RUIYI (ROY) ZHANG,Duke University,Lawrence Carin,Duke,Policy Optimization as Wasserstein Gradient Flows
504,Junhyuk Oh,University of Michigan,Honglak Lee,Google / U. Michigan,Self-Imitation Learning
505,Andreas Loukas,EPFL,Pierre Vandergheynst,École polytechnique fédérale de Lausanne,Spectrally Approximating Large Graphs with Smaller Graphs
506,Zhenyu Liao,"L2S, CentraleSupelec",Romain Couillet,CentralSupélec,On the Spectrum of Random Features Maps of High Dimensional Data
507,Hongteng Xu,"InfiniaML, Inc.",Hongyuan Zha,Georgia Institute of Technology,Learning Registered Point Processes from Idiosyncratic Observations
508,Aonan Zhang,Columbia University,John Paisley,Columbia University,Deep Bayesian Nonparametric Tracking
509,Sat Chatterjee,Two Sigma Investments,Sat Chatterjee,Two Sigma Investments,Learning and Memorization
510,Maximilian Ilse,University of Amsterdam,Max Welling,University of Amsterdam,Attention-based Deep Multiple Instance Learning
511,Han Bao,The University of Tokyo / RIKEN,Masashi Sugiyama,RIKEN / The University of Tokyo,Classification from Pairwise Similarity and Unlabeled Data
512,Yizhen Wang,UCSD,Kamalika Chaudhuri,University of California at San Diego,Analyzing the Robustness of Nearest Neighbors to Adversarial Examples
513,Poorya Mianjy,Johns Hopkins University,Rene Vidal,Johns Hopkins University,On the Implicit Bias of Dropout
514,Qingyun Sun,Stanford University,stephen boyd,stanford university,Convolutional Imputation of Matrix Networks
515,Zachary Lipton,Carnegie Mellon University,Alexander Smola,Amazon,Detecting and Correcting for Label Shift with Black Box Predictors
516,Pengtao Xie,Carnegie Mellon University,Eric Xing,Petuum Inc. and CMU,Orthogonality-Promoting Distance Metric Learning: Convex Relaxation and Theoretical Analysis
517,Siavash Haghiri,University of Tübingen,Ulrike von Luxburg,University of Tübingen,Comparison-Based Random Forests
518,Robin Vogel,Télécom ParisTech,Stéphan Clémençon,Télécom ParisTech,A Probabilistic Theory of Supervised Similarity Learning for Pointwise ROC Curve Optimization
