,first-author,first-author-affiliation,last-author,last-author-affiliation,title
519,Jing Wang,Cornell University,Ping Li,Rugters University,Provable Variable Selection for Streaming Features
520,Keith Levin,University of Michigan,Carey Priebe,Johns Hopkins University,Out-of-sample extension of graph adjacency spectral embedding
521,Yao Ma,Boston University,Venkatesh Saligrama,Boston University,Gradient Descent for Sparse Rank-One Matrix Completion for Crowd-Sourced Aggregation of Sparsely Interacting Workers
522,Xiao Zhang,University of Virginia,Quanquan Gu,UCLA,Fast and Sample Efficient Inductive Matrix Completion via Multi-Phase Procrustes Flow
523,Qiang Qiu,Duke University,Guillermo Sapiro,Duke University,DCFNet: Deep Neural Network with Decomposed Convolutional Filters
524,Quynh Nguyen,Saarland University,Matthias Hein,University of Tuebingen,Optimization Landscape and Expressivity of Deep CNNs
525,Trefor Evans,University of Toronto,Prasanth B Nair,University of Toronto,Scalable Gaussian Processes with Grid-Structured Eigenfunctions (GP-GRIEF)
526,Daniel Sheldon,University of Massachusetts Amherst,Debora Sujono,University of Massachusetts Amherst,Learning in Integer Latent Variable Models with Nested Automatic Differentiation
527,Judy Hoffman,UC Berkeley and Georgia Tech,Prof. Darrell,University of California at Berkeley,CyCADA: Cycle-Consistent Adversarial Domain Adaptation
528,Han-Jia Ye,Nanjing University,Zhi-Hua Zhou,Nanjing University,Rectify Heterogeneous Models with Semantic Mapping
529,Arash Vahdat,"Quadrant.ai, D-Wave",Evgeny Andriyash,D-Wave,DVAE++: Discrete Variational Autoencoders with Overlapping Transformations
530,Joe Marino,Caltech,Stephan Mandt,UC Irvine,Iterative Amortized Inference
531,Niki Kilbertus,MPI Tübingen & Cambridge,Adrian Weller,"University of Cambridge, Alan Turing Institute",Blind Justice: Fairness with Encrypted Sensitive Attributes
532,Songbai Yan,University of California San Diego,Tara Javidi,University of California San Diego,Active Learning with Logged Data
533,Alekh Agarwal,Microsoft Research,Hanna Wallach,Microsoft Research,A Reductions Approach to Fair Classification
534,Michael Kearns,University of Pennsylvania,Steven Wu,Microsoft Research,Preventing Fairness Gerrymandering: Auditing and Learning for Subgroup Fairness
535,othmane mazhar,KTH Royal Institute of Technology,Mohammad Reza Hesamzadeh,KTH Royal Institute of Technology,Bayesian Model Selection for Change Point Detection and Clustering
536,Pratik Kumar Jawanpuria,Microsoft,Bamdev Mishra,Microsoft,A Unified Framework for Structured Low-rank Matrix Learning
537,Lalit Jain,University of Washington,Kevin Jamieson,University of Washington,Firing Bandits: Optimizing Crowdfunding
538,Rajat Sen,University of Texas at Austin,Sanjay Shakkottai,University of Texas at Austin,Multi-Fidelity Black-Box Optimization with Hierarchical Partitions
