,first-author,first-author-affiliation,last-author,last-author-affiliation,title
539,Frederic Koriche,"CRIL UMR CNRS 8188, Univ. Artois",Frederic Koriche,"CRIL UMR CNRS 8188, Univ. Artois",Compiling Combinatorial Prediction Games
540,Jiaming Xu,Duke University,Jiaming Xu,Duke University,Rates of Convergence of Spectral Methods for Graphon Estimation
541,Karren Yang,Massachusetts Institute of Technology,Caroline Uhler,Massachusetts Institute of Technology,Characterizing and Learning Equivalence Classes of Causal DAGs under Interventions
542,Raj Agrawal,MIT,Tamara Broderick,MIT,Minimal I-MAP MCMC for Scalable Structure Discovery in Causal DAG Models
543,Michael Tschannen,ETH Zurich,Animashree Anandkumar,Caltech,StrassenNets: Deep Learning with a Multiplication Budget
544,Yoonho Lee,Pohang University of Science and Techonology,Seungjin Choi,POSTECH,Gradient-Based Meta-Learning with Learned Layerwise Metric and Subspace
545,Lei Han,Tencent AI Lab,Tong Zhang,Tecent AI Lab,Candidates vs. Noises Estimation for Large Multi-Class Classification Problem
546,Wissam Siblini,Orange Labs,Pascale Kuntz,LS2N,"CRAFTML, an Efficient Clustering-based Random Forest for Extreme Multi-label Learning"
547,Joan Serrà,"Telefónica Research, Barcelona",Alexandros Karatzoglou,Telefonica,Overcoming Catastrophic Forgetting with Hard Attention to the Task
548,Junru Wu,Texas A&M University,Yingyan Lin,Rice University,Deep k-Means: Re-Training and Parameter Sharing with Harder Cluster Assignments for Compressing Deep Convolutions
549,Nal Kalchbrenner,Google Brain Amsterdam,koray kavukcuoglu,DeepMind,Efficient Neural Audio Synthesis
550,Tommaso Furlanello,University of Southern California,Anima Anandkumar,Amazon,Born Again Neural Networks
551,Guy Blanc,Stanford University,Steffen Rendle,Google,Adaptive Sampled Softmax with Kernel Based Sampling
552,Yunchen Pu,Duke,Lawrence Carin,Duke,JointGAN: Multi-Domain Joint Distribution Learning with Generative Adversarial Nets
553,Georg Ostrovski,DeepMind,Remi Munos,DeepMind,Autoregressive Quantile Networks for Generative Modeling
554,Simon Du,Carnegie Mellon University,Jason Lee,University of Southern California,On the Power of Over-parametrization in Neural Networks with Quadratic Activation
555,Jerry Li,MIT,Ludwig Schmidt,UC Berkeley,On the Limitations of First-Order Approximation in GAN Dynamics
556,Tianbing Xu,"Baidu Research, USA",Jian Peng,UIUC,Learning to Explore via Meta-Policy Gradient
557,Yaodong Yang,University College London,Jun Wang,UCL,Mean Field Multi-Agent Reinforcement Learning
558,Alon Cohen,Google Inc.,Kunal Talwar,Google,Online Linear Quadratic Control
