,first-author,first-author-affiliation,last-author,last-author-affiliation,title
559,Corinna Cortes,Google Research,Scott Yang,D. E. Shaw & Co.,Online Learning with Abstention
560,Mathurin MASSIAS,INRIA,Alexandre Gramfort,Inria,Celer: a Fast Solver for the Lasso with Dual Extrapolation
561,Hugo Raguet,LIVE (CNRS),loic landrieu,IGN,Cut-Pursuit Algorithm for Regularizing Nonsmooth Functionals with Graph Total Variation
562,Amjad Almahairi,Element AI,Aaron Courville,University of Montreal,Augmented CycleGAN: Learning Many-to-Many Mappings from Unpaired Data
563,Thomas LUCAS,Inria,Jakob Verbeek,INRIA,Mixed batches and symmetric discriminators for GAN training
564,Li Shen,Tencent AI Lab,Tong Zhang,Tecent AI Lab,An Algorithmic Framework of Variable Metric Over-Relaxed Hybrid Proximal Extra-Gradient Method
565,Kejun Huang,University of Minnesota,Nicholas Sidiropoulos,University of Virginia,Learning Hidden Markov Models from Pairwise Co-occurrences with Application to Topic Modeling
566,Lingjiao Chen,University of Wisconsin-Madison,Dimitris Papailiopoulos,ECE at University of Wisconsin-Madison,DRACO: Byzantine-resilient Distributed Training via Redundant Gradients
567,Min Ye,Princeton University,Emmanuel Abbe,,Communication-Computation Efficient Gradient Coding
568,Pan Li,University of Illinois Urbana-Champaign,Olgica Milenkovic,University of Illinois UC,"Submodular Hypergraphs: p-Laplacians, Cheeger Inequalities and Spectral Clustering"
569,cbajaj bajaj,University of Texas at Austin,Zhenxiao Liang,Tsinghua University,SMAC: Simultaneous Mapping and Clustering Using Spectral Decompositions
570,Tom Rainforth,University of Oxford,Frank Wood,University of Oxford,On Nesting Monte Carlo Estimators
571,Jun Han,Dartmouth College,Qiang Liu,UT Austin,Stein Variational Gradient Descent Without Gradient
572,Dominik Janzing,Amazon Research Tübingen,Bernhard Schölkopf,"MPI for Intelligent Systems Tübingen, Germany",Detecting non-causal artifacts in multivariate linear regression models
573,Vincent Moens,Université catholique de Louvain,Vincent Moens,Université catholique de Louvain,The Hierarchical Adaptive Forgetting Variational Filter
574,Wengong Jin,MIT Computer Science and Artificial Intelligence Laboratory,Tommi Jaakkola,MIT,Junction Tree Variational Autoencoder for Molecular Graph Generation
575,Yoon Kim,Harvard University,Alexander Rush,Harvard University,Semi-Amortized Variational Autoencoders
576,Huasen Wu,Twitter,Xin Liu,"University of California, Davis",Adaptive Exploration-Exploitation Tradeoff for Opportunistic Bandits
577,Akshay Krishnamurthy,Microsoft Research,Vasilis Syrgkanis,Microsoft Research,Semiparametric Contextual Bandits
578,Been Kim,Google,Rory sayres,Google,Interpretability Beyond Feature Attribution: Quantitative Testing with Concept Activation Vectors (TCAV)
