,first-author,first-author-affiliation,last-author,last-author-affiliation,title
579,Brandon Reagen,Harvard University,David Brooks,Harvard University,Weightless: Lossy weight encoding for deep neural network compression
580,Tian Gao,IBM Research,Dennis Wei,IBM Research,Parallel Bayesian Network Structure Learning
581,Sinong Geng,UW-Madison; Princeton University,University of Wisconsin David Page,"University of Wisconsin, Madison",Temporal Poisson Square Root Graphical Models
582,xue wang,THE PENNSYLVANIA STATE UNIVERSITY,Tao Yao,penn state university,Minimax Concave Penalized Multi-Armed Bandit Model with High-Dimensional Covariates
583,Lijun Zhang,Nanjing University,Zhi-Hua Zhou,Nanjing University,Dynamic Regret of Strongly Adaptive Methods
584,Aditya Bhaskara,University of Utah,Maheshakya Wijewardena,University of Utah,Distributed Clustering via LSH Based Data Partitioning
585,Nina Balcan,Carnegie Mellon University,Ellen Vitercik,Carnegie Mellon University,Learning to Branch
586,Christopher De Sa,Cornell, Wong,Stanford university,Minibatch Gibbs Sampling on Large Graphical Models
587,Niladri S Chatterji,UC Berkeley,Michael Jordan,UC Berkeley,On the Theory of Variance Reduction for Stochastic Gradient Monte Carlo
588,Rodrigo A Toro Icarte,University of Toronto,Sheila McIlraith,University of Toronto,Using Reward Machines for High-Level Task Specification and Decomposition in Reinforcement Learning
589,Brenden Lake,New York University,Marco Baroni,Facebook Artificial Intelligence Research,Generalization without Systematicity: On the Compositional Skills of Sequence-to-Sequence Recurrent Networks
590,Martin Jankowiak,Uber AI Labs,Fritz Obermeyer,Uber AI Labs,Pathwise Derivatives Beyond the Reparameterization Trick
591,Jingwei Zhuo,Tsinghua University,Bo Zhang,Tsinghua University,Message Passing Stein Variational Gradient Descent
592,Hannes Nickisch,Philips Research,Alexander Grigorevskiy,Aalto University,State Space Gaussian Processes with Non-Gaussian Likelihood
593,Geoff Pleiss,Cornell University,Andrew Wilson,Cornell University,Constant-Time Predictive Distributions for Gaussian Processes
594,Peter Bartlett,UC Berkeley,Phil Long,Google,Gradient descent with identity initialization efficiently learns positive definite linear transformations by deep residual networks
595,Risi Kondor,The University of Chicago,Shubhendu Trivedi,Toyota Technological Institute,On the Generalization of Equivariance and Convolution in Neural Networks to the Action of Compact Groups
596,Yichi Zhou,Tsinghua University,Jingwei Zhuo,Tsinghua University,Racing Thompson: an Efficient Algorithm for Thompson Sampling with Non-conjugate Priors
597,Gal Yona,Weizmann Institute of Science,Guy Rothblum,Weizmann Institute of Science,Probably Approximately Metric-Fair Learning
598,Shao-Hua Sun,University of Southern California,Joseph Lim,Univ. of Southern California,Neural Program Synthesis from Diverse Demonstration Videos
