,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Randall Balestriero,Rice University,Richard Baraniuk,OpenStax / Rice University,Spline Filters For End-to-End Deep Learning
1,Aditya Gilra,University of Bonn,Wulfram Gerstner,EPFL,Non-linear motor control by local learning in spiking neural networks
2,Will Dabney,DeepMind,Remi Munos,DeepMind,Implicit Quantile Networks for Distributional Reinforcement Learning
3,Matthew Smith,McGill University,Joelle Pineau,McGill University / Facebook,An Inference-Based Policy Gradient Method for Learning Options
4,Nataly Brukhim,Tel Aviv University,Amir Globerson,"Tel Aviv University, Google",Predict and Constrain: Modeling Cardinality in Deep Structured Prediction
5,Prateek Jain,Microsoft Research,Abhradeep Thakurta,UCSC,Differentially Private Matrix Completion Revisited
6,Thomas Miconi,Uber AI Labs,Jeff Clune,Uber AI Labs,Differentiable plasticity: training plastic neural networks with backpropagation
7,Yingce Xia,University of Science and Technology of China,Tie-Yan Liu,Microsoft,Model-Level Dual Learning
8,Kevin Tian,Stanford University,James Zou,Stanford University,CoVeR: Learning Covariate-Specific Vector Representations with Tensor Decompositions
9,Benjamin Paaßen,Bielefeld University,CITEC Barbara Hammer,"CITEC, Bielefeld University",Tree Edit Distance Learning via Adaptive Symbol Embeddings
10,Siyuan Qiao,Johns Hopkins University,Alan Yuille,Johns Hopkins University,Gradually Updated Neural Networks for Large-Scale Image Recognition
11,Claudio Michaelis,Universty of Tübingen,Alexander Ecker,University of Tübingen,One-Shot Segmentation in Clutter
12,Phuc Nguyen,UC Irvine,Charless Fowlkes,UC Irvine,Active Testing: An Efficient and Robust Framework for Estimating Accuracy
13,Furong Huang,University of Maryland College Park,Robert Schapire,Microsoft Research,Learning Deep ResNet Blocks Sequentially using Boosting Theory
14,JD Co-Reyes,UC Berkeley,Sergey Levine,Berkeley,Self-Consistent Trajectory Autoencoder: Hierarchical Reinforcement Learning with Trajectory Embeddings
15,Andrea Zanette,Stanford University,Emma Brunskill,Stanford University,Problem Dependent Reinforcement Learning Bounds Which Can Identify Bandit Structure in MDPs
16,Poorya Mianjy,Johns Hopkins University,Raman Arora,Johns Hopkins University,Stochastic PCA with $\ell_2$ and $\ell_1$ Regularization
17,Alexandr Andoni,,Ruiqi Zhong,Columbia University in the City of New York,Subspace Embedding and Linear Regression with Orlicz Norm
18,Sreejith Kallummil,Qualcomm India Private Limited,Sheetal Kalyani,IIT Madras,Signal and  Noise Statistics Oblivious Orthogonal Matching Pursuit
