239,Mikolaj Binkowski,Imperial College London,Philippe Donnat,Hellebore Capital Limited,Autoregressive Convolutional Neural Networks for Asynchronous Time Series
240,Dane Corneil,EPFL,Johanni Brea,EPFL,Efficient Model-Based Deep Reinforcement Learning with Variational State Tabulation
241,Peter Jin,UC Berkeley,Sergey Levine,Berkeley,Regret Minimization for Partially Observable Deep Reinforcement Learning
242,Jiasen Yang,Purdue University,Jennifer Neville,Purdue University,Goodness-of-fit Testing for Discrete Distributions via Stein Discrepancy
243,Shinji Ito,NEC Corporation,Ryohei Fujimaki,-,Unbiased Objective Estimation in Predictive Optimization
244,Amirali Aghazadeh,Stanford University,Richard Baraniuk,OpenStax / Rice University,Ultra Large-Scale Feature Selection using Count-Sketches
245,Vladimir Braverman,Johns Hopkins University,Lin Yang,Princeton,"Matrix Norms in Data Streams: Faster, Multi-Pass and Row-Order"
246,Maithra Raghu,Google Brain / Cornell University,Jon Kleinberg,Cornell University,Can Deep Reinforcement Learning Solve Erdos-Selfridge-Spencer Games?
247,George Tucker,Google Brain,Sergey Levine,Berkeley,The Mirage of Action-Dependent Baselines in Reinforcement Learning
248,Zhibing Zhao,Rensselaer Polytechnic Institute,Lirong Xia,RPI,Composite Marginal Likelihood Methods for Random Utility Models
249,Adil El Mesaoudi-Paul,University of Paderborn,Robert Busa-Fekete,Yahoo Research,Ranking Distributions based on Noisy Sorting
250,Thomas Moreau,"CMLA, ENS Paris-Saclay",Nicolas Vayatis,"CMLA, ENS Paris Saclay",DICOD: Distributed Convolutional Coordinate Descent for Convolutional Sparse Coding
251,Zhihao Jia,Stanford University,Alex Aiken,Stanford University,Exploring Hidden Dimensions in Accelerating Convolutional Neural Networks
252,Jason Hartford,University of British Columbia,Siamak Ravanbakhsh,University of British Columbia,Deep Models of Interactions Across Sets
253,Noble Kennamer,"University of California, Irvine",University of California Francisco Javier Sanchez-Lopez,"University of California, Irvine",ContextNet: Deep learning for Star Galaxy Classification
254,Calvin Seward,Zalando Research,Sepp Hochreiter,Johannes Kepler University Linz,First Order Generative Adversarial Networks
255,Tianyu Pang,Tsinghua University,Jun Zhu,Tsinghua University,Max-Mahalanobis Linear Discriminant Analysis Networks
256,Asish Ghoshal,Purdue University,Jean Honorio,Purdue University,Learning Maximum-A-Posteriori Perturbation Models for Structured Prediction in Polynomial Time
257,Alexandre Garcia,Telecom Paristech,Florence d'Alche-Buc,"Télécom ParisTech, Université Paris-Saclay,Paris, France",Structured Output Learning with Abstention: Application to Accurate Opinion Prediction
258,Bo Dai,Georgia Institute of Technology,Le Song,Georgia Institute of Technology,SBEED: Convergent Reinforcement Learning with Nonlinear Function Approximation
