279,Yi Wu,UC Berkeley,Stuart Russell,UC Berkeley,Discrete-Continuous Mixtures in Probabilistic Programming: Generalized Semantics and Inference Algorithms
280,Zhuohan Li,Peking University,Tie-Yan Liu,Microsoft Research Asia,Towards Binary-Valued Gates for Robust LSTM Training
281,Eliya Nachmani,Facebook AI Research and Tel Aviv University,Lior Wolf,Facebook AI Research and Tel Aviv University,Fitting New Speakers Based on a Short Untranscribed Sample
282,Matteo Papini,Politecnico di Milano,Marcello Restelli,Politecnico di Milano,Stochastic Variance-Reduced Policy Gradient
283,Ahmed Touati,MILA / FAIR,Pascal Vincent,U Montreal,Convergent Tree Backup and Retrace with Function Approximation
284,Jelena Diakonikolas,Boston University,Orecchia Lorenzo,Boston,Alternating Randomized Block Coordinate Descent
285,Vineet Gupta,Google,Yoram Singer,Google,Shampoo: Preconditioned Stochastic Tensor Optimization
286,Sebastian Claici,MIT,Justin Solomon,MIT,Stochastic Wasserstein Barycenters
287,Yang Song,Stanford University,Stefano Ermon,Stanford University,Accelerating Natural Gradient with Higher-Order Invariance
288,Markus Heinonen,Aalto University,Harri Lähdesmäki,Aalto University,Learning unknown ODE models with Gaussian processes
289,Marco Lorenzi,Inria Sophia Antipolis,Maurizio Filippone,Eurecom,Constraining the Dynamics of Deep Probabilistic Models
290,Lukasz Kaiser,Google,Noam Shazeer,Google,Fast Decoding in Sequence Models Using Discrete Latent Variables
291,Jiyuan Zhang,Cargenie Mellon University,Tze Meng Low,Carnegie Mellon University,High Performance Zero-Memory Overhead Direct Convolutions
292,Shuaiwen Wang,Columbia University,Vahab Mirrokni,Google Research,Approximate Leave-One-Out for Fast Parameter Tuning in High Dimensions
293,Daniele Calandriello,INRIA Lille,Michal Valko,DeepMind,Improved large-scale graph learning through ridge spectral sparsification
294,Jackson Wang,Univeristy of Toronto,Richard Zemel,Vector Institute,Distilling the Posterior in Bayesian Neural Networks
295,Ruoxi Sun,Columbia University,Department of Statistics Liam Paninski,"Department of Statistics, Columbia University",Scalable approximate Bayesian inference for particle tracking data
296,Alexey Drutsa,Yandex,Alexey Drutsa,Yandex,Weakly Consistent Optimal Pricing Algorithms in Repeated Posted-Price Auctions with Strategic Buyer
297,Dylan Foster,Cornell University,Robert Schapire,Microsoft Research,Practical Contextual Bandits with Regression Oracles
298,Difan Zou,University of Virginia,Quanquan Gu,UCLA,Stochastic Variance-Reduced Hamilton Monte Carlo Methods
