299,Umut Simsekli,Telecom ParisTech,Gaël RICHARD,Télécom ParisTech,Asynchronous Stochastic Quasi-Newton MCMC for Non-Convex Optimization
300,Jinsung Yoon,"University of California, Los Angeles",Mihaela van der Schaar,University of Oxford,GAIN: Missing Data Imputation using Generative Adversarial Nets
301,Yaroslav Ganin,Montreal Institute for Learning Algorithms,Oriol Vinyals,DeepMind,Synthesizing Programs for Images using Reinforced Adversarial Learning
302,Valentin Khrulkov,Skolkovo Institute Of Science And Technology,Ivan Oseledets,Skoltech,Geometry Score: A Method For Comparing Generative Adversarial Networks
303,Scott Fujimoto,McGill University,David Meger,McGill University,Addressing Function Approximation Error in Actor-Critic Methods
304,Clint Ho,Imperial College London,Wolfram Wiesemann,Imperial College,Fast Bellman Updates for Robust MDPs
305,Alberto Maria Metelli,Politecnico di Milano,Marcello Restelli,Politecnico di Milano,Configurable Markov Decision Processes
306,Matt Bonakdarpour,University of Chicago,John Lafferty,Yale University,Prediction Rule Reshaping
307,Daniel Ma,The University of Melbourne,James Bailey,The University of Melbourne,Dimensionality-Driven Learning with Noisy Labels
308,Milad Hashemi,Google,Partha Ranganathan,"Google, USA",Learning Memory Access Patterns
309,Pierre Baque,EPFL,EPFL Pascal Fua,"EPFL, Switzerland",Geodesic Convolutional Shape Optimization
310,Samuel Greydanus,Oregon State University,Alan Fern,Oregon State University,Visualizing and Understanding Atari Agents
311,Dhruv Malik,UC Berkeley,Anca Dragan,"EECS Department, University of California, Berkeley","An Efficient, Generalized Bellman Update For Cooperative Inverse Reinforcement Learning"
312,Augustus Odena,Google Brain,Ian Goodfellow,Google Brain,Is Generator Conditioning Causally Related to GAN Performance?
313,Jihun Hamm,The Ohio State University,Yung-Kyun Noh,Seoul National University,K-Beam Minimax: Efficient Optimization for Deep Adversarial Learning
314,Vignesh Ganapathiraman,University of Illinois at Chicago,Yaoliang Yu,University of Waterloo,Inductive Two-Layer Modeling with Parametric Bregman Transfer
315,Weihua Hu,The University of Tokyo,Masashi Sugiyama,RIKEN / The University of Tokyo,Does Distributionally Robust Supervised Learning Give Robust Classifiers?
316,Pan Zhou,National University of Singapore,Jiashi Feng,National University of Singapore,Understanding Generalization and Optimization Performance of Deep CNNs
317,Thomas Laurent,Loyola Marymount University,James von Brecht,CSULB,The Multilinear Structure of ReLU Networks
318,Hossein Esfandiari,Harvard University,Vahab Mirrokni,Google Research,Parallel and Streaming Algorithms for K-Core Decomposition
