359,Aaditya Ramdas,UC Berkeley,Michael Jordan,UC Berkeley,SAFFRON: an Adaptive Algorithm for Online Control of the False Discovery Rate
360,Muhammad Osama,Uppsala University,Thomas Schön,Uppsala University,Learning Localized Spatio-Temporal Models From Streaming Data
361,Julian Katz-Samuels,University of Michigan,Clay Scott,University of Michigan,Feasible Arm Identification
362,Alan Kuhnle,University of Florida,My T. Thai,University of Florida,"Fast Maximization of Non-Submodular, Monotonic Functions on the Integer Lattice"
363,Aryan Mokhtari,MIT,Amin Karbasi,Yale,Decentralized Submodular Maximization: Bridging Discrete and Continuous Settings
364,Lily Weng,MIT,Inderjit Dhillon,UT Austin & Amazon,Towards Fast Computation of Certified Robustness for ReLU Networks
365,Huidong Liu,Stony Brook University,Samaras Dimitris,Stony Brook University,A Two-Step Computation of the Exact GAN Wasserstein Distance
366,Jeremias Knoblauch,Warwick University,Theo Damoulas,University of Warwick,Spatio-temporal Bayesian On-line Changepoint Detection with Model Selection
367,Mingrui Liu,The University of Iowa,Tianbao Yang,The University of Iowa,Fast Stochastic AUC Maximization with $O(1/n)$-Convergence Rate
368,Volodymyr Kuleshov,Stanford University,Stefano Ermon,Stanford University,Accurate Uncertainties for Deep Learning Using Calibrated Regression
369,Chin-Wei Huang,MILA,Aaron Courville,University of Montreal,Neural Autoregressive Flows
370,Tammo Rukat,University of Oxford,Christopher Yau,University of Birmingham,Probabilistic Boolean Tensor Decomposition
371,Xiao Zhang,University of Virginia,Quanquan Gu,UCLA,A Primal-Dual Analysis of Global Optimality in Nonconvex Low-Rank Matrix Recovery
372,Konstantin Mishchenko,King Abdullah University of Science & Technology (KAUST),Massih-Reza Amini,Univ. Grenoble Alpes,A Delay-tolerant Proximal-Gradient Algorithm for Distributed Learning
373,Nikita Doikov,National Research University Higher School of Economics,Peter Richtarik,"King Abdullah University of Science and Technology (KAUST) - University of Edinburgh, Scotland",Randomized Block Cubic Newton Method
374,Grigory Yaroslavtsev,Indiana University,Adithya Vadapalli,INDIANA UNIVERSITY,Massively Parallel Algorithms and Hardness for Single-Linkage Clustering under $\ell_p$ Distances
375,Xian Wu,Stanford University,Vishnu Natchu,,Local Density Estimation in High Dimensions
376,Mikhail Belkin,Ohio State University,Soumik Mandal,,To Understand Deep Learning We Need to Understand Kernel Learning
377,Dino Oglic,King's College London,Thomas Gaertner,The University of Nottingham,Learning in Reproducing Kernel Kreı̆n Spaces
378,Atsushi Nitanda,The University of Tokyo / RIKEN,Taiji Suzuki,The University of Tokyo / RIKEN,Functional Gradient Boosting based on Residual Network Perception
