459,Hoang Le,Caltech,Hal Daume,Microsoft Research,Hierarchical Imitation and Reinforcement Learning
460,Bingyi Kang,National University of Singapore,Jiashi Feng,National University of Singapore,Policy Optimization with Demonstrations
461,Arman Sharifi Kolarijani,Delft University of Technology,Tamas Keviczky,Delft University of Technology,Fast Gradient-Based Methods with Exponential Rate: A Hybrid Control Framework
462,Qihang Lin,Univ Iowa,Tianbao Yang,The University of Iowa,Level-Set Methods for Finite-Sum Constrained Convex Optimization
463,Weili Nie,Rice University,Ankit Patel,"Rice University, Baylor College of Medicine",A Theoretical Explanation for Perplexing Behaviors of Backpropagation-based Visualizations
464,Ondrej Bajgar,IBM Watson,Jan Kleindienst,IBM Watson,A Boo(n) for Evaluating Architecture Performance
465,Eric Liang,"University of California, Berkeley",Ion Stoica,UC Berkeley,RLlib: Abstractions for Distributed Reinforcement Learning
466,Maryam Fazel,University of Washington,Mehran Mesbahi,,Global Convergence of Policy Gradient Methods for the Linear Quadratic Regulator
467,Hao Lu,Princeton University,Zhaoran Wang,Northwestern U,The Edge Density Barrier: Computational-Statistical Tradeoffs in Combinatorial Inference
468,Steven Holtzen,"University of California, Los Angeles",Todd Millstein,"University of California, Los Angeles",Sound Abstraction and Decomposition of Probabilistic Programs
469,Aäron van den Oord,Google Deepmind,Demis Hassabis,Deepmind,Parallel WaveNet: Fast High-Fidelity Speech Synthesis
470,Manik Dhar,Stanford University,Stefano Ermon,Stanford University,Modeling Sparse Deviations for Compressed Sensing using Generative Models
471,Andrey Zhitnikov,Technion,Tomer Michaeli,Technion,Revealing Common Statistical Behaviors in Heterogeneous Populations
472,Omid Keivani,Wichita State University,Kaushik Sinha,Wichita State University,Improved nearest neighbor search using auxiliary information and priority functions
473,Aviral Kumar,IIT Bombay,Ujjwal Jain,IIT Bombay,Trainable Calibration Measures for Neural Networks from Kernel Mean Embeddings
474,Giacomo Boracchi,Politecnico di Milano,Danilo Macciò,,QuantTree: Histograms for Change Detection in Multivariate Data Streams
475,Agniva Chowdhury,Purdue University,Petros Drineas,Purdue University,"An Iterative, Sketching-based Framework for Ridge Regression"
476,Bing Su,"Institute of Software, Chinese Academy of Sciences",Ying Wu,Northwestern University,Learning Low-Dimensional Temporal Representations
477,Tsendsuren Munkhdalai,Microsoft Research,Adam Trischler,Microsoft Research,Rapid Adaptation with Conditionally Shifted Neurons
478,Zichao Long,Peking University,Bin Dong,Peking University,PDE-Net: Learning PDEs from Data
