119,Amirata Ghorbani,Stanford,James Zou,Stanford University,Data Shapley:  Equitable Valuation of Data for Machine Learning
120,Sergul Aydore,Stevens Institute of Technology,Gael Varoquaux,Inria,Feature Grouping as a Stochastic Regularizer for High-Dimensional Structured Data
121,Sen Zhao,Google Research,Maya Gupta,Google,Metric-Optimized Example Weights
122,Max Westphal,University of Bremen,Werner Brannath,University of Bremen,Improving Model Selection by Employing the Test Data
123,Karthikeyan Ramamurthy,IBM Research,Krishnan Mody,New York University,Topological Data Analysis of Decision Boundaries with Application to Model Selection
124,Wen Sun,Carnegie Mellon University,Paul Mineiro,Microsoft,Contextual Memory Trees
125,Weiwei Liu,Wuhan University,Xiaobo Shen,Nanjing University of Science and Technology,Sparse Extreme Multi-label Learning with Oracle Property
126,Andrew Cotter,Google AI,Tao Zhu,Google,Shape Constraints for Set Functions
127,Guy Hacohen,Hebrew University of Jerusalem,Daphna Weinshall,"Hebrew University of Jerusalem, Israel",On The Power of Curriculum Learning in Training Deep Networks
128,Vladislav Polianskii,KTH Royal Institute of Technology,Florian T. Pokorny,KTH Royal Institute of Technology,Voronoi Boundary Classification: A High-Dimensional Geometric Approach via Weighted Monte Carlo Integration
129,Hongge Chen,MIT,Cho-Jui Hsieh,UCLA,Robust Decision Trees Against Adversarial Examples
130,Jacob Whitehill,Worcester Polytechnic Institute,Anand Ramakrishnan,Worcester Polytechnic Institute,Automatic Classifiers as Scientific Instruments: One Step Further Away from Ground-Truth
131,Tahrima Rahman,University of Texas at Dallas,Vibhav Gogate,The University of Texas at Dallas,"Look Ma, No Latent Variables: Accurate Cutset Networks via Compilation"
132,Titouan Vayer,IRISA,Remi Flamary,Université côte d'Azur,Optimal Transport for structured data with application on graphs
133,Matthew Streeter,Google,Matthew Streeter,Google,Learning Optimal Linear Regularizers
134,Nontawat Charoenphakdee,The University of Tokyo / RIKEN,Masashi Sugiyama,RIKEN / The University of Tokyo,On Symmetric Losses for Learning from Corrupted Labels
135,Ross Kleiman,University of Wisconsin-Madison,University of Wisconsin David Page,"University of Wisconsin, Madison",AUCµ: A Performance Metric for Multi-Class Machine Learning Models
136,Jan Malte Lichtenberg,University of Bath,Ozgur Simsek,University of Bath,Regularization in directable environments with application to Tetris
137,Chunjiang Zhu,University of Connecticut,Jinbo Bi,University of Connecticut,Improved Dynamic Graph Learning through Fault-Tolerant Sparsification
138,Xi-Zhu Wu,Nanjing University,Zhi-Hua Zhou,Nanjing University,Heterogeneous Model Reuse via Optimizing Multiparty Multiclass Margin
