199,Tijana Zrnic,"University of California, Berkeley",University of California Moritz Hardt,"University of California, Berkeley",Natural Analysts in Adaptive Data Analysis
200,Gellért Weisz,DeepMind,Csaba Szepesvari,DeepMind/University of Alberta,CapsAndRuns: An Improved Method for Approximately Optimal Algorithm Configuration
201,Giulia Luise,University College London,Carlo Ciliberto,Imperial College London,Leveraging Low-Rank Relations Between Surrogate Tasks in Structured Prediction
202,Andrew Cotter,Google AI,Seungil You,Kakao Mobility,Training Well-Generalizing Classifiers for Fairness Metrics and Other Data-Dependent Constraints
203,Raphael Meyer,Purdue University,Jean Honorio,Purdue University,Optimality Implies Kernel Sum Classifiers are Statistically Efficient
204,Lydia T. Liu,University of California Berkeley,University of California Moritz Hardt,"University of California, Berkeley",The Implicit Fairness Criterion of Unconstrained Learning
205,Hye Won Chung,KAIST,Ji Oon Lee,KAIST,Weak Detection of Signal in the Spiked Wigner Model
206,Dong Yin,UC Berkeley,Peter Bartlett,UC Berkeley,Rademacher Complexity for Adversarially Robust Generalization
207,Simon Du,Carnegie Mellon University,John Langford,Microsoft Research,Provably efficient RL with Rich Observations via Latent State Decoding
208,Jinglin Chen,University of Illinois at Urbana-Champaign,Nan Jiang,University of Illinois at Urbana-Champaign,Information-Theoretic Considerations in Batch Reinforcement Learning
209,Francisco Ruiz,University of Cambridge / Columbia University,Michalis Titsias,DeepMind,A Contrastive Divergence for Combining Variational Inference and MCMC
210,Hanwen Xing,University of Oxford,Jeong Lee,University of Auckland,Calibrated Approximate Bayesian Inference
211,Christian Wildner,TU Darmstadt,Heinz Koeppl,TU Darmstadt,Moment-Based Variational Inference for Markov Jump Processes
212,Chang Liu,Tsinghua University,Jun Zhu,Tsinghua University,Understanding MCMC Dynamics as Flows on the Wasserstein Space
213,Brian Trippe,MIT,Tamara Broderick,MIT,LR-GLM: High-Dimensional Bayesian Inference Using Low-Rank Data Approximations
214,Adam Golinski,University of Oxford,Tom Rainforth,University of Oxford,Amortized Monte Carlo Integration
215,Wilson Ye Chen,The Institute of Statistical Mathematics,Chris Oates,Newcastle University,Stein Point Markov Chain Monte Carlo
216,Wu Lin,University of British Columbia,Mark Schmidt,University of British Columbia,Fast and Simple Natural-Gradient Variational Inference with Mixture of Exponential-family Approximations
217,Xinshi Chen,Georgia Institution of Technology,Le Song,Georgia Institute of Technology,Particle Flow Bayes' Rule
218,Da Tang,Columbia University,Nicholas Ruozzi,UT Dallas,Correlated Variational Auto-Encoders
