219,Zhu Li,University of Oxford,Dino Sejdinovic,University of Oxford,Towards a Unified Analysis of Random Fourier Features
220,Kevin Wenliang,"Gatsby Unit, University College London",Arthur Gretton,Gatsby Computational Neuroscience Unit,Learning deep kernels for exponential family densities
221,Kelvin Hsu,"University of Sydney, CSIRO",Fabio Ramos,"NVIDIA, University of Sydney",Bayesian Deconditional Kernel Mean Embeddings
222,Alberto Bietti,Inria,Julien Mairal,Inria,A Kernel Perspective for Regularizing Deep Neural Networks
223,Bastian Rieck,ETH Zurich,Karsten Borgwardt,ETH Zurich,A Persistent Weisfeiler--Lehman Procedure for Graph Classification
224,Paris Siminelakis,Stanford University,Philip Levis,Stanford University,Rehashing Kernel Evaluation in High Dimensions
225,Viivi Uurtio,Aalto University,Juho Rousu,Aalto University,Large-Scale Sparse Kernel Canonical Correlation Analysis
226,Tri Dao,Stanford,Christopher Re,Stanford,A Kernel Theory of Modern Data Augmentation
227,Lotfi Slim,Mines ParisTech (ARMINES),JP Vert,Google,kernelPSI: a Post-Selection Inference Framework for Nonlinear Variable Selection
228,Dino Oglic,King's College London,Thomas Gaertner,The University of Nottingham,Scalable Learning in Reproducing Kernel Krein Spaces
229,Mikhail Yurochkin,"IBM Research, MIT-IBM Watson AI Lab",XuanLong Nguyen,University of Michigan,Dirichlet Simplex Nest and Geometric Inference
230,Måns Magnusson,Aalto University,Aki Vehtari,Aalto University,Bayesian leave-one-out cross-validation for large data
231,Runjing Liu,UC Berkeley,Jon McAuliffe,Voleon Group and University of California at Berkeley,Rao-Blackwellized Stochastic Gradients for Discrete Distributions
232,Sidi Lu,Shanghai Jiao Tong University,Jiajun Wu,MIT,Neurally-Guided Structure Inference
233,Richard Li,Yale School of Public Health,Samuel Clark,The Ohio State University,Bayesian Joint Spike-and-Slab Graphical Lasso
234,Raj Nirwan,Frankfurt Institute for Advanced Studies,Nils Bertschinger,Frankfurt Institute for Advanced Studies ,Rotation Invariant Householder Parameterization for Bayesian PCA
235,Amin Nayebi,University of Arizona,Matthias Poloczek,Uber AI Labs & The University of Arizona,A Framework for Bayesian Optimization in Embedded Subspaces
236,CHAOJIE WANG,XIDIAN UNIVERSITY,Mingyuan Zhou,University of Texas at Austin,Convolutional Poisson Gamma Belief Network
237,David Greenberg,Technical University of Munich,Jakob Macke,Technical University of Munich,Automatic Posterior Transformation for Likelihood-Free Inference
238,Iiris Sundin,Aalto University,Samuel Kaski,Aalto University,Active Learning for Decision-Making from Imbalanced Observational Data
