239,Ahmed Alaa,UCLA,Mihaela van der Schaar,UCLA,Validating Causal Inference Models via Influence Functions
240,Charith Mendis,MIT,Michael Carbin,MIT,"Ithemal: Accurate, Portable and Fast Basic Block Throughput Estimation using Deep Neural Networks"
241,Jon Gillick,UC Berkeley,David Bamman,UC Berkeley,Learning to Groove with Inverse Sequence Transformations
242,Lei Han,Tencent AI Lab,Tong Zhang,Tecent AI Lab,Grid-Wise Control for Multi-Agent Reinforcement Learning in Video Game AI
243,Kshitij Bansal,Google Research,Stewart Wilcox,Googl,HOList: An Environment for Machine Learning of Higher Order Logic Theorem Proving
244,Hiroshi Kajino,MIT-IBM Watson AI Lab / IBM Research,Hiroshi Kajino,MIT-IBM Watson AI Lab / IBM Research,Molecular Hypergraph Grammar with Its Application to Molecular Optimization
245,Dasaem Jeong,KAIST,Juhan Nam,KAIST,Graph Neural Network for Music Score Data and Modeling Expressive Piano Performance
246,Kaiyu Yang,Princeton University,Jia Deng,Princeton University,Learning to Prove Theorems via Interacting with Proof Assistants
247,GUO ZHANG,MIT,Dina Katabi,MIT,Circuit-GNN: Graph Neural Networks for Distributed Circuit Design
248,Daniel Greenfeld,Weizmann Institute of Science,Ron Kimmel,Technion,Learning to Optimize Multigrid PDE Solvers
249,Ramin Raziperchikolaei,UC MErced,Harish Bhat,"University of California, Merced",A Block Coordinate Descent Proximal Method for Simultaneous Filtering and Parameter Estimation
250,William Trouleau,EPFL,Patrick Thiran,EPFL,Learning Hawkes Processes Under Synchronization Noise
251,Xinshi Chen,Georgia Institution of Technology,Le Song,Georgia Institute of Technology,Generative Adversarial User Model for Reinforcement Learning Based Recommendation System
252,Alexander Greaves-Tunnell,University of Washington,Zaid Harchaoui,University of Washington,A Statistical Investigation of Long Memory in Language and Music
253,Bernie Wang,AWS AI Labs,Tim Januschowski,Amazon Research,Deep Factors for Forecasting
254,Julien Schroeter,Cardiff University,David Marshall,Cardiff University,Weakly-Supervised Temporal Localization via Occurrence Count Learning
255,Philip Becker-Ehmck,Volkswagen Group,Patrick van der Smagt,Volkswagen Group,Switching Linear Dynamics for Variational Bayes Filtering
256,Hongyuan Mei,Johns Hopkins University,Jason Eisner,Johns Hopkins University + Microsoft Semantic Machines,Imputing Missing Events in Continuous-Time Event Streams
257,Doron Haviv,Technion,Omri Barak,Technion - Israeli Institute of Technology,Understanding and Controlling Memory in Recurrent Neural Networks
258,Philipp Becker,"Bosch Center for Artificial Intelligence, University of Tübingen",Gerhard Neumann,Lincoln University,Recurrent Kalman Networks: Factorized Inference in High-Dimensional Deep Feature Spaces
