279,Karol Kurach,Google Brain,Sylvain Gelly,Google Brain,A Large-Scale Study on Regularization and Normalization in GANs
280,Chenyang Tao,Duke University,Lawrence Carin,Duke,Variational Annealing of GANs: A Langevin Perspective
281,Jens Behrmann,University of Bremen,Jörn Jacobsen,Vector Institute and University of Toronto,Invertible Residual Networks
282,Chris Ying,Ambient.ai,Frank Hutter,University of Freiburg and Bosch Center for Artificial Intelligence,NAS-Bench-101: Towards Reproducible Neural Architecture Search
283,XIAOHAN DING,Tsinghua University,Chenggang Yan,Hangzhou Dianzi University,Approximated Oracle Filter Pruning for Destructive CNN Width Optimization
284,Zhaohui Yang,Peking University,Chang Xu,University of Sydney,LegoNet: Efficient Convolutional Neural Networks with Lego Filters
285,Cem Anil,University of Toronto,Roger Grosse,University of Toronto and Vector Institute,Sorting Out Lipschitz Function Approximation
286,Ferran Alet,MIT,Leslie Kaelbling,(organization),"Graph Element Networks: adaptive, structured computation and memory"
287,Jongheon Jeong,KAIST,Jinwoo Shin,"KAIST, AITRICS",Training CNNs with Selective Allocation of Channels
288,Kai Sheng Tai,Stanford University,Gregory Valiant,Stanford University,Equivariant Transformer Networks
289,Yassine Benyahia,IPROVA,Claudiu Musat,Swisscom,Overcoming Multi-model Forgetting
290,Mikhail Yurochkin,IBM Research AI,Yasaman Khazaeni,IBM Research,Bayesian Nonparametric Federated Learning of Neural Networks
291,Xingrui Yu,University of Technology Sydney,Masashi Sugiyama,RIKEN / The University of Tokyo,How does Disagreement Help Generalization against Label Corruption?
292,Chaoqi Wang,University of Toronto,Guodong Zhang,University of Toronto,EigenDamage: Structured Pruning in the Kronecker-Factored Eigenbasis
293,Chen Huang,Apple Inc.,Josh Susskind,"Apple, Inc.",Addressing the Loss-Metric Mismatch with Adaptive Loss Alignment
294,Yan Wu,DeepMind,Tim Lillicrap,Google DeepMind,Deep Compressed Sensing
295,Ping Luo,The University of Hong Kong,Wu lingyun,sensetime,Differentiable Dynamic Normalization for Learning Deep Representation
296,Mo Zhou,Peking University,Tuo Zhao,Georgia Institute of Technology,Toward Understanding the Importance of Noise in Training Neural Networks
297,Mario Lezcano Casado,Univeristy of Oxford,David Martínez-Rubio,University of Oxford,Cheap Orthogonal Constraints in Neural Networks: A Simple Parametrization of the Orthogonal and Unitary Group
298,Ikuro Sato,"Denso IT Laboratory, Inc.",Masayuki Tanaka,"National Institute of Advanced Industrial Science and Technology, Japan",Breaking Inter-Layer Co-Adaptation by Classifier Anonymization
