339,Yandong li,University of Central Florida,Boqing Gong,Google,NATTACK: Learning the Distributions of Adversarial Examples for an Improved  Black-Box  Attack on Deep Neural Networks
340,Chuan Guo,Cornell University,Kilian Weinberger,Cornell University,Simple Black-box Adversarial Attacks
341,Amin Jaber,Purdue University,Elias Bareinboim,Purdue,Causal Identification under Markov Equivalence: Completeness Results
342,Mike Oberst,MIT,David Sontag,Massachusetts Institute of Technology,Counterfactual Off-Policy Evaluation with Gumbel-Max Structural Causal Models
343,Biwei Huang,Carnegie Mellon University,Clark Glymour,Carnegie Mellon University,Causal Discovery and Forecasting in Nonstationary Environments with State-Space Models
344,Nathan Kallus,Cornell University,Nathan Kallus,Cornell University,Classifying Treatment Responders Under Causal Effect Monotonicity
345,Roy Adams,Johns Hopkins University,Suchi Saria,Johns Hopkins University,Learning Models from Data with Measurement Error: Tackling Underreporting
346,Juan Correa,Purdue University,Elias Bareinboim,Purdue,Adjustment Criteria for Generalizing Experimental Findings
347,Yujia Shen,UCLA,Adnan Darwiche,UCLA,Conditional Independence in Testing Bayesian Networks
348,Carlos Cinelli,UCLA,Elias Bareinboim,Purdue,Sensitivity Analysis of Linear Structural Causal Models
349,Aurelien Bibaut,UC Berkeley,Mark van der Laan,UC Berkeley,More Efficient Off-Policy Evaluation through Regularized Targeted Learning
350,Muhammad Osama,Uppsala University,Thomas Schön,Uppsala University,Inferring Heterogeneous Causal Effects in Presence of Spatial Confounding
351,Martin A Bertran,Duke University,Guillermo Sapiro,Duke University,Adversarially Learned Representations for Information Obfuscation and Inference
352,Ryu Tanno,University College London,Aditya Nori,Microsoft Research Cambridge,Adaptive Neural Trees
353,Christoph Hofer,University of Salzburg,Mandar Dixit,Microsoft,Connectivity-Optimized Representation Learning via Persistent Homology
354,Milan Cvitkovic,California Institute of Technology,Günther Koliander,Austrian Academy of Sciences,Minimal Achievable Sufficient Statistic Learning
355,Dmitry Baranchuk,Yandex,Artem Babenko,Yandex,Learning to Route in Similarity Graphs
356,Ilya Feige,Faculty,Ilya Feige,Faculty,Invariant-Equivariant Representation Learning for Multi-Class Data
357,Kelsey Allen,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Infinite Mixture Prototypes for Few-shot Learning
358,Sami Abu-El-Haija,USC Information Sciences Institute,Aram Galstyan,USC ISI,MixHop: Higher-Order Graph Convolutional Architectures via Sparsified Neighborhood Mixing
