439,Ehsan Kazemi,Yale,Amin Karbasi,Yale,"Submodular Streaming in All Its Glory: Tight Approximation, Minimum Memory and Low Adaptive Complexity"
440,Manish Purohit,Google Research,Manish Raghavan,Cornell,Hiring Under Uncertainty
441,Jiaxuan You,Stanford University,Jure Leskovec,Stanford University,Position-aware Graph Neural Networks
442,Kejun Huang,University of Florida,Xiao Fu,Oregon State University,Detecting Overlapping and Correlated Communities without Pure Nodes: Identifiability and Algorithm
443,Charlotte Bunne,ETH Zürich,Stefanie Jegelka,MIT,Learning Generative Models across Incomparable Spaces
444,Ryan Murphy,Purdue University,Bruno Ribeiro,Purdue University,Relational Pooling for Graph Representations
445,Jianxin Ma,Tsinghua University,wenwu zhu,Tsinghua University,Disentangled Graph Convolutional Networks
446,Milan Cvitkovic,California Institute of Technology,Anima Anandkumar,Caltech,Open Vocabulary Learning on Source Code with a Graph-Structured Cache
447,Luca Franceschi,Istituto Italiano di Tecnologia - University College London,Xiao He,NEC Laboratories Europe,Learning Discrete Structures for Graph Neural Networks
448,Avishek Bose,McGill/Mila,William Hamilton,McGill University,Compositional Fairness Constraints for Graph Embeddings
449,Sylvain Lamprier,LIP6 - Sorbonne Universités,Sylvain Lamprier,LIP6 - Sorbonne Universités,A Recurrent Neural Cascade-based Model for Continuous-Time Diffusion
450,Nikhil Mehta,Duke University,Piyush Rai,IIT Kanpur,Stochastic Blockmodels meet Graph Neural Networks
451,Jayadev Acharya,Cornell University,Karthik Sridharan,Cornell University,Distributed Learning with Sublinear Communication
452,Hao Yu,Alibaba Group (US) Inc,Sen Yang,,On the Linear Speedup Analysis of Communication Efficient Momentum SGD for Distributed Non-Convex Optimization
453,Mahmoud Assran,McGill University/Facebook AI Research,Mike Rabbat,Facebook,Stochastic Gradient Push for Distributed Deep Learning
454,Minh Hoang,Carnegie Mellon University,Carleton Kingsford,Carnegie Mellon University,Collective Model Fusion for Multiple Black-Box Experts
455,Farzin Haddadpour,Pennsylvania State University,Viveck Cadambe,Pennsylvania State University,Trading Redundancy for Communication: Speeding up Distributed SGD for Non-convex Optimization
456,Jihun Yun,KAIST,Aleksandr Aravkin,UW,"Trimming the $\ell_1$ Regularizer: Statistical Analysis, Optimization, and Applications to Deep Learning"
457,Vatsal Sharan,Stanford University,Gregory Valiant,Stanford University,Compressed Factorization: Fast and Accurate Low-Rank Factorization of Compressively-Sensed Data
458,Tianyu Ding,Johns Hopkins University,Rene Vidal,"Johns Hopkins University, USA",Noisy Dual Principal Component Pursuit
