459,Shanshan Wu,University of Texas at Austin,Sanjiv Kumar,"Google Research, NY",Learning a Compressed Sensing Measurement Matrix via Gradient Unrolling
460,alain rakotomamonjy,Universite de Rouen Normandie / Criteo AI Lab,Joseph Salmon,Université de Montpellier,Screening rules for Lasso with  non-convex Sparse Regularizers
461,Zac Cranko,ANU,Christian Walder,"Data61, the Australian National University",Monge blunts Bayes: Hardness Results for Adversarial Training
462,Matthew Holland,Osaka University,Kazushi Ikeda,Nara Institute of Science and Technology,Better generalization with less data using robust gradient descent
463,Tuhin Sarkar,MIT,Alexander Rakhlin,MIT,Near optimal finite time identification of arbitrary linear dynamical systems
464,Richard Nock,"Data61, The Australian National University and the University of Sydney",Bob C Williamson,ANU,Lossless or Quantized Boosting with Integer Arithmetic
465,Miruna Oprescu,Microsoft Research,Steven Wu,University of Minnesota,Orthogonal Random Forest for Causal Inference
466,Matthieu Lerasle,"Laboratoire de Mathématiques d'Orsay, Univ. Paris-Sud; CNRS, Université Paris Saclay, France",Guillaume Lecue,CREST,MONK --  Outlier-Robust Mean Embedding Estimation by Median-of-Means
467,Vitaly Feldman,Google Brain,Moritz Hardt,Google Brain,The advantages of multiple classes for reducing overfitting from test set reuse
468,Xiaohan Wei,University of Southern California,Zhaoran Wang,Northwestern U,On the statistical rate of nonlinear recovery in generative models with heavy-tailed data
469,Niels Ipsen,Technical University of Denmark,Lars Kai Hansen,Technical University of Denmark,"Phase transition in PCA with missing data: Reduced signal-to-noise ratio, not sample size!"
470,Stephan Clemencon,Telecom ParisTech,Patrice Bertail,Université Paris Nanterre,On Medians of (Randomized) Pairwise Means
471,Bugra Can,Rutgers University,Lingjiong  Zhu,Florida State University,Accelerated Linear Convergence of Stochastic Momentum Methods in Wasserstein Distances
472,Dheeraj Nagaraj,Massachusetts Institute of Technology,Praneeth Netrapalli,Microsoft Research,SGD without Replacement: Sharper Rates for General Smooth Convex Functions
473,Alexey Kroshnin,Institute for Information Transmission Problems,Cesar A Uribe,MIT,On the Complexity of Approximating Wasserstein Barycenters
474,Andrei Kulunchakov,Inria,Julien Mairal,Inria,Estimate Sequences for Variance-Reduced Stochastic Composite Optimization
475,Michael Muehlebach,UC Berkeley,Michael Jordan,UC Berkeley,A Dynamical Systems Perspective on Nesterov Acceleration
476,Jeff HaoChen,Tsinghua University,Suvrit Sra,MIT,Random Shuffling Beats SGD after Finite Epochs
477,Ching-pei Lee,University of Wisconsin-Madison,Stephen Wright,University of Wisconsin-Madison,First-Order Algorithms Converge Faster than $O(1/k)$ on Convex Problems
478,Alina Ene,Boston University,Adrian Vladu,Boston University,Improved Convergence for $\ell_1$ and $\ell_\infty$ Regression via Iteratively Reweighted Least Squares
