639,Neil Houlsby,Google,Sylvain Gelly,Google Brain,Parameter-Efficient Transfer Learning for NLP
640,Sujith Ravi,Google Research,Sujith Ravi,Google Research,Efficient On-Device Models using Neural Projections
641,Nikolaos Pappas,Idiap Research Institute,James Henderson,IDIAP,Deep Residual Output Layers for Neural Language Generation
642,Dilin Wang,UT Austin,Qiang Liu,UT Austin,Improving Neural Language Modeling via Adversarial Training
643,Tianxiao Shen,MIT,Marc'Aurelio Ranzato,Facebook,Mixture Models for Diverse Machine Translation: Tricks of the Trade
644,Kaitao Song,Nanjing University of Science and Technology,Tie-Yan Liu,Microsoft,MASS: Masked Sequence to Sequence Pre-training for Language Generation
645,Limor Gultchin,University of Oxford,Adam Kalai,Microsoft Research,Humor in Word Embeddings: Cockamamie Gobbledegook for Nincompoops
646,Eric Chu,Massachusetts Institute of Technology,Peter J. Liu,Google Brain,MeanSum: A Neural Model for Unsupervised Multi-Document Abstractive Summarization
647,Tom Kenter,Google UK,Jakub Vit,University of West Bohemia,CHiVE: Varying Prosody in Speech Synthesis with a Linguistically Driven Dynamic Hierarchical Conditional Variational Network
648,Xi Peng,Sichuan University,Joey Tianyi Zhou,A*STAR,COMIC: Multi-view Clustering Without Parameter Selection
649,Facundo Memoli,Ohio State University,Zhengchao Wan,The Ohio State University,The Wasserstein Transform
650,Ehsan Elhamifar,Northeastern University,Ehsan Elhamifar,Northeastern University,Sequential Facility Location: Approximate Submodularity and Greedy Algorithm
651,Tong Zhang,The Australian National University,HONGDONG LI,"Australian National University, Australia",Neural Collaborative Subspace Clustering
652,Jiabo Huang,Queen Mary University of London,Xiatian Zhu,Vision Semantics Limited,Unsupervised Deep Learning by Neighbourhood Discovery
653,Conor Durkan,University of Edinburgh,Charlie Nash,The University of Edinburgh,Autoregressive Energy Machines
654,Kai Zhang,East China Normal University,Jie Zhang,Fudan University,Greedy Orthogonal Pivoting Algorithm for Non-Negative Matrix Factorization
655,Joshua Batson,Chan Zuckerberg Biohub,Loic Royer,Chan Zuckerberg Biohub,Noise2Self: Blind Denoising by Self-Supervision
656,Paroma Varma,Stanford University,Christopher Re,Stanford,Learning Dependency Structures for Weak Supervision Models
657,Henry Kuo,Columbia University,John Wright,"Columbia University, USA",Geometry and Symmetry in Short-and-Sparse Deconvolution
658,Di Wang,State University of New York at Buffalo,Jinhui Xu,SUNY Buffalo,On Sparse Linear Regression in the Local Differential Privacy Model
