679,Hossein Bateni,Google Research,Afshin Rostamizadeh,Google,Categorical Feature Compression via Submodular Optimization
680,Tingran Gao,University of Chicago,Jane Zhao,University of Illinois at Urbana Champaign,Multi-Frequency Phase Synchronization
681,Ravi Kumar,Google,David Woodruff,Carnegie Mellon University,Faster Algorithms for Binary Matrix Factorization
682,Niru Maheswaranathan,Google Brain,Jascha Sohl-Dickstein,Google Brain,Guided evolutionary strategies: augmenting random search with surrogate gradients
683,Johannes Kirschner,ETH Zurich,Andreas Krause,ETH Zurich,Adaptive and Safe Bayesian Optimization in High Dimensions via One-Dimensional Subspaces
684,Hubert Eichner,Google,Kunal Talwar,Google,Semi-Cyclic Stochastic Gradient Descent
685,Ashok Cutkosky,Google,Tamas Sarlos,Google,Matrix-Free Preconditioning in Online Learning
686,Aviv Rosenberg,Tel Aviv University,Yishay Mansour,Google and Tel Aviv University,Online Convex Optimization in Adversarial Markov Decision Processes
687,Adrian Rivera Cardoso,Georgia Institute of Technology,Huan Xu,Georgia Tech,Competing Against Nash Equilibria in Adversarially Changing Zero-Sum Games
688,Corinna Cortes,Google Research,Scott Yang,D. E. Shaw & Co.,Online Learning with Sleeping Experts and Feedback Graphs
689,Xiao Zhang,Tianjin University,Shizhong Liao,Tianjin University,Incremental Randomized Sketching for Online Kernel Learning
690,Michal Kempka,Poznan University of Technology,Manfred K. Warmuth,UC Santa Cruz & Google Inc.,Adaptive Scale-Invariant Online Algorithms for Learning Linear Models
691,Naman Agarwal,Google AI Princeton,Karan Singh,Princeton University,Online Control with Adversarial Disturbances
692,Alon Resler,Tel Aviv University,Yishay Mansour,Google and Tel Aviv University,Adversarial Online Learning with noise
693,Zalán Borsos,ETH Zurich,Andreas Krause,ETH Zurich,Online Variance Reduction with Mixtures
694,Alina Beygelzimer,Yahoo Research,Chicheng Zhang,Microsoft Research,Bandit Multiclass Linear Classification: Efficient Algorithms for the Separable Case
695,Alon Cohen,Technion and Google,Yishay Mansour,Google and Tel Aviv University,Learning Linear-Quadratic Regulators Efficiently with only $\sqrt{T}$ Regret
696,King Tim Mann,DeepMind,Prav Srinivasan,DeepMind,Learning from Delayed Outcomes via Proxies with Applications to Recommender Systems
697,Lijun Zhang,Nanjing University,Zhi-Hua Zhou,Nanjing University,Adaptive Regret of Convex and Smooth Functions
698,Jianjun Yuan,University of Minnesota,Andrew Lamperski,University of Minnesota,Online Adaptive Principal Component Analysis and Its extensions
