159,Carlo Lucibello,Bocconi University,Yue Lu,"Harvard University, USA",Generalized Approximate Survey Propagation for High-Dimensional Estimation
160,Zac Cranko,ANU,Richard Nock,"Data61, The Australian National University and the University of Sydney",Boosted Density Estimation Remastered
161,Valerii Likhosherstov,Skolkovo Institute of Science and Technology,Misha Chertkov,University of Arizona ,Inference and Sampling of $K_{33}$-free Ising Models
162,Malik TIOMOKO A,Université Paris Sud,Guillaume GINOLHAC,Université Savoie Mont-Blanc,Random Matrix Improved Covariance Estimation for a Large Class of Metrics
163,Pedro Soto,Florida International University,Xiaodi Fan,Florida International University,Dual Entangled Polynomial Code: Three-Dimensional Coding for Distributed Matrix Multiplication
164,Kristy Choi,Stanford University,Stefano Ermon,Stanford University,Neural Joint Source-Channel Coding
165,Yi Hao,"University of California, San Diego",Alon Orlitsky,UCSD,Doubly-Competitive Distribution Estimation
166,Manolis Tsakiris,Johns Hopkins University,Liangzu Peng,ShanghaiTech University,Homomorphic Sensing
167,Seyedehsara Nayer,Iowa State University,Namrata Vaswani,Iowa State University,Phaseless PCA: Low-Rank Matrix Recovery from Column-wise Phaseless Measurements
168,Weihao Gao,University of Illinois at Urbana-Champaign,Sewoong Oh,University of Washington,Rate Distortion For Model Compression:From Theory To Practice
169,Ardalan Mirshani,The Pennsylvania State University,Aleksandra Slavković,Pennsylvania State University,Formal Privacy for Functional Data with Gaussian Perturbations
170,Ryan McKenna,UMass Amherst,Gerome Miklau,"University of Massachusetts, Amherst",Graphical-model based estimation and inference for differential privacy
171,Alexandre Sablayrolles,Facebook AI Research,Herve Jegou,Facebook AI Research,White-box vs Black-box: Bayes Optimal Strategies for Membership Inference
172,Touqir Sajed,University of Alberta,Or Sheffet,University of Alberta,An Optimal Private Stochastic-MAB Algorithm based on Optimal Private Stopping Rule
173,Jalaj Upadhyay,Johns Hopkins University,Jalaj Upadhyay,Johns Hopkins University,Sublinear Space Private Algorithms Under the Sliding Window Model
174,Aaron Schein,UMass Amherst,Hanna Wallach,Microsoft Research,Locally Private Bayesian Inference for Count Models
175,Alon Brutzkus,Tel Aviv University,Oren Elisha,Microsoft,Low Latency Privacy Preserving Inference
176,Jayadev Acharya,Cornell University,Ziteng Sun,Cornell/Google,Communication Complexity in Locally Private Distribution Estimation and Heavy Hitters
177,Yuqing Zhu,UC Santa Barbara,Yu-Xiang Wang,UC Santa Barbara,Poission Subsampled R\'enyi Differential Privacy
178,Jordan Awan,Pennsylvania State University,Aleksandra Slavković,Pennsylvania State University,Benefits and Pitfalls of the Exponential Mechanism with Applications to Hilbert Spaces and Functional PCA
