499,Lea Duncker,"Gatsby Unit, UCL",Maneesh Sahani,"Gatsby Unit, UCL",Learning interpretable continuous-time models of latent stochastic dynamical systems
500,Jennifer Gillenwater,Google Research NYC,Sergei Vassilvitskii,Google,A Tree-Based Method for Fast Repeated Sampling of Determinantal Point Processes
501,Dilin Wang,UT Austin,Qiang Liu,UT Austin,Nonlinear Stein Variational Gradient Descent for Learning Diversified Mixture Models
502,Chang Liu,Tsinghua University,Jun Zhu,Tsinghua University,Understanding and Accelerating Particle-Based Variational Inference
503,Paul Rolland,Ecole Polytechnique Fédérale de Lausanne,Volkan Cevher,EPFL,Efficient learning of smooth probability functions from Bernoulli tests with guarantees
504,Da Tang,Columbia University,Rajesh Ranganath,New York University,The Variational Predictive Natural Gradient
505,Edwin Fong,University of Oxford,Christopher Holmes,University of Oxford,Scalable Nonparametric Sampling from Multimodal Posteriors with the Posterior Bootstrap
506,Behrooz Ghorbani,Stanford University,Andrea Montanari,Stanford University,An Instability in Variational Inference for Topic Models
507,Raul Astudillo,Cornell University,Peter I Frazier,Cornell University / Uber,Bayesian Optimization of Composite Functions
508,Raj Agrawal,MIT,Tamara Broderick,MIT,The Kernel Interaction Trick: Fast Bayesian Discovery of Pairwise Interactions in High Dimensions
509,Chengyue Gong,university of texas at austin,Qiang Liu,UT Austin,Quantile Stein Variational Gradient Descent for Batch  Bayesian Optimization
510,Yuan Li,University of Melbourne,Trevor Cohn,University of Melbourne,Exploiting Worker Correlation for Label Aggregation in Crowdsourcing
511,Ted Meeds,Microsoft Research,Neil Dalchau,Microsoft Research,Efficient Amortised Bayesian Inference for Hierarchical and Nonlinear Dynamical Systems
512,Onur Dereli,Koç University,Mehmet Gönen,Koç University,A Multitask Multiple Kernel Learning Algorithm for Survival Analysis with Application to Cancer Biology
513,Charlie Frogner,MIT,Tomaso Poggio,Massachusetts Institute of Technology,Fast and Flexible Inference of Joint Distributions from their Marginals
514,Joshua C Peterson,Princeton University,Stuart Russell,UC Berkeley,Cognitive model priors for predicting human decisions
515,David Brookes,"University of California, Berkeley",Jennifer Listgarten,"University of California, Berkeley",Conditioning by adaptive sampling for robust design
516,Maithra Raghu,Cornell University / Google Brain,Jon Kleinberg,Cornell University,Direct Uncertainty Prediction for Medical Second Opinions
517,Chun-Hao (Kingsley) Chang,University of Toronto,Anna Goldenberg,University of Toronto,Dynamic Measurement Scheduling for Event Forecasting using Deep RL
518,Hesham Mostafa,Intel Corporation,Xin Wang,Cerebras Systems,Parameter efficient training of deep convolutional neural networks by dynamic sparse reparameterization
