699,Yasin Abbasi-Yadkori,Adobe Research,Gellért Weisz,DeepMind,POLITEX: Regret Bounds for Policy Iteration using Expert Prediction
700,Ashok Cutkosky,Google,Ashok Cutkosky,Google,"Anytime Online-to-Batch, Optimism and Acceleration"
701,Nikolaos Liakopoulos,Huawei Paris Research Center,Panayotis Mertikopoulos,CNRS,Cautious Regret Minimization: Online Optimization with Long-Term Budget Constraints
702,Frederik Benzing,ETH Zurich,Angelika Steger,ETH Zurich,Optimal Kronecker-Sum Approximation of Real Time Recurrent Learning
703,James A. Grant,Lancaster University,Enrique Munoz De Cote,PROWLER.io,Adaptive Sensor Placement for Continuous Spaces
704,Peter Bartlett,UC Berkeley,Michal Valko,DeepMind,Scale-free adaptive planning for deterministic dynamics & discounted rewards
705,Jayadev Acharya,Cornell University,Himanshu Tyagi,IISC,Communication-Constrained Inference and the Role of Shared Randomness
706,Hossein Shokri Ghadikolaei,KTH Royal Institute of Technology,Mikael Skoglund,KTH Royal Institute of Technology,Learning and Data Selection in Big Datasets
707,Tongyang Li,University of Maryland,Xiaodi Wu,University of Maryland,Sublinear quantum algorithms for training linear and kernel-based classifiers
708,Mehryar Mohri,Courant Institute and Google Research,Ananda Suresh,Google,Agnostic Federated Learning
709,Jaime Roquero Gimenez,Stanford University,James Zou,Stanford University,Discovering Conditionally Salient Features with Statistical Guarantees
710,Nikunj Saunshi,Princeton University,Hrishi Khandeparkar,Princeton University,A Theoretical Analysis of Contrastive Unsupervised Representation Learning
711,Alexander Golovnev,Harvard,Balazs Szorenyi,Yahoo Research,The information-theoretic value of unlabeled data in semi-supervised learning
712,Eric Arazo,Insight Centre for Data Analytics (DCU),Kevin McGuinness,Insight Centre for Data Analytics,Unsupervised Label Noise Modeling and Loss Correction
713,Yifan Wu,Carnegie Mellon University,Zachary Lipton,Carnegie Mellon University,Domain Adaptation with Asymmetrically-Relaxed Distribution Alignment
714,Soumya Basu,University of Texas at Austin,Sanjay Shakkottai,University of Texas at Austin,Pareto Optimal Streaming Unsupervised Classification
715,Arthur Mensch,ENS,Gabriel Peyré,CNRS and ENS,Geometric Losses for Distributional Learning
716,Yu-Guan Hsieh,École normale supérieure,Masashi Sugiyama,RIKEN / The University of Tokyo,"Classification from Positive, Unlabeled and Biased Negative Data"
717,Takashi Ishida,The University of Tokyo / RIKEN,Masashi Sugiyama,RIKEN / The University of Tokyo,Complementary-Label Learning for Arbitrary Losses and Models
718,Maxwell Nye,MIT,Armando Solar-Lezama,MIT,Learning to Infer Program Sketches
