19,Ming Chen,Renmin University of China,Yaliang Li,Alibaba Group,Simple and Deep Graph Convolutional Networks
20,Zhun Deng,Harvard,Weijie Su,University of Pennsylvania,Towards Understanding the Dynamics of the First-Order Adversaries
21,Chris DeCarolis,University of Maryland,Furong Huang,University of Maryland College Park,An end-to-end Differentially Private Latent Dirichlet Allocation Using a Spectral Algorithm
22,Pranjal Awasthi,Rutgers University,Mehryar Mohri,Google Research and Courant Institute of Mathematical Sciences,Adversarial Learning Guarantees for Linear Hypotheses and Neural Networks
23,Wei Chen,Microsoft,Haoyu Zhao,Tsinghua University,Combinatorial Pure Exploration for Dueling Bandit
24,Daniel Rothchild,UC Berkeley,Raman Arora,Johns Hopkins University,FetchSGD: Communication-Efficient Federated Learning with Sketching
25,Sicong Huang,University of Toronto,Roger Grosse,University of Toronto and Vector Institute,Evaluating Lossy Compression Rates of Deep Generative Models
26,Keerti Anand,Duke University,Debmalya Panigrahi,Duke University,Customizing ML Predictions for Online Algorithms
27,Chi Jin,Princeton University,Michael Jordan,UC Berkeley,What is Local Optimality in Nonconvex-Nonconcave Minimax Optimization?
28,Lan N. Nguyen,University of Florida,My T. Thai,University of Florida,Streaming k-Submodular Maximization under Noise subject to Size Constraint
29,Prashanth L.A.,IIT Madras,Ravi Kolla,ABInBev,Concentration bounds for CVaR estimation: The cases of light-tailed and heavy-tailed distributions
30,Zonghan Yang,Tsinghua University,Zuoqiang Shi,Tsinghua University,Interpolation between Residual and Non-Residual Networks
31,XICHUAN ZHOU,Chongqing University,Cong Shi,Chongqing University,MoNet3D: Towards Accurate Monocular 3D Object Localization in Real Time
32,Shiyu Li,Duke University,Yiran Chen,Duke University,PENNI: Pruned Kernel Sharing for Efficient CNN Inference
33,Vihari Piratla,IIT Bombay,Sunita Sarawagi,IIT Bombay,Efficient Domain Generalization via Common-Specific Low-Rank Decomposition
34,LEI FENG,Nanyang Technological University,Masashi Sugiyama,RIKEN / The University of Tokyo,Learning with Multiple Complementary Labels
35,Sepideh Mahabadi,Toyota Technological Institute at Chicago,Ali Vakilian,University of Wisconsin-Madison,Individual Fairness for k-Clustering
36,Steve Li,University of Massachusetts Amherst,Benjamin M Marlin,University of Massachusetts Amherst,Learning from Irregularly-Sampled Time Series: A Missing Data Perspective
37,Abhishek Kumar,Google Brain,Ben Poole,Google Brain,On Implicit Regularization in $\beta$-VAEs
38,AmirEmad Ghassami,UIUC,Kun Zhang,Carnegie Mellon University,Characterizing Distribution Equivalence and Structure Learning for Cyclic and Acyclic Directed Graphs
