59,Julien Hendrickx,University of Catholique de Louvain,Venkatesh Saligrama,Boston University,Minimax Rate for Learning From Pairwise Comparisons in the BTL Model
60,Andrey Kolobov,Microsoft Research,Julian Zimmert,Google Research,Online Learning for Active Cache Synchronization
61,Yinjun Wu,university of pennsylvania,Susan B Davidson,University of Pennsylvania,DeltaGrad: Rapid retraining of machine learning models
62,Di Chen,Cornell University,Carla Gomes,Cornell University,Deep Reasoning Networks for Unsupervised Pattern De-mixing with Constraint Reasoning
63,Xingyu Xie,Peking University,Zhouchen Lin,Peking University,Maximum-and-Concatenation Networks
64,Yonadav Shavit,Harvard University,Brian Axelrod,Stanford,Causal Strategic Linear Regression
65,Feihu Huang,Nanjing University of Aeronautics and Astronautics,Songcan Chen,Nanjing University of Aeronautics and Astronautics,Accelerated Stochastic Gradient-free and Projection-free Methods
66,shuai zhang,Rensselaer Polytechnic Institute,Jinjun Xiong,IBM Thomas J. Watson Research Center,Fast Learning of Graph Neural Networks with Guaranteed Generalizability: One-hidden-layer Case
67,Greg Yang,Microsoft Research,Jerry Li,Microsoft,Randomized Smoothing of All Shapes and Sizes
68,Martin Mladenov,Google,Craig Boutilier,Google,Optimizing Long-term Social Welfare in Recommender Systems: A Constrained Matching Approach
69,Kai Han,"Noah’s Ark Lab, Huawei Technologies",Chang Xu,University of Sydney,Training Binary Neural Networks through Learning with Noisy Supervision
70,David Rolnick,University of Pennsylvania,Konrad Kording,Upenn,Reverse-engineering deep ReLU networks
71,Nic Dalmasso,Carnegie Mellon University,Ann Lee,Carnegie Mellon University,Confidence Sets and Hypothesis Testing in a Likelihood-Free Inference Setting
72,Boyan Duan,Carnegie Mellon University,Larry Wasserman,Carnegie Mellon University,Familywise Error Rate Control by Interactive Unmasking
73,Rob Brekelmans,University of Southern California,Aram Galstyan,USC Information Sciences Institute,All in the Exponential Family: Bregman Duality in Thermodynamic Variational Inference
74,Tanner Fiez,University of Washington,Lillian Ratliff,University of Washington,"Implicit Learning Dynamics in Stackelberg Games: Equilibria Characterization, Convergence Analysis, and Empirical Study"
75,Xiaotian Hao,"College of Intelligence and Computing, Tianjin University",Kun Gai,Alibaba group,Dynamic Knapsack Optimization Towards Efficient Multi-Channel Sequential Advertising
76,Arturs Backurs,TTIC,Tal Wagner,MIT,Scalable Nearest Neighbor Search for Optimal Transport
77,Ching-Wei Cheng,Purdue University,Guang Cheng,Purdue University,Mutual Transfer Learning for Massive Data
78,Robin Ru,University of Oxford,Stephen Roberts,University of Oxford,Bayesian Optimisation over Multiple Continuous and Categorical Inputs
