79,Wenpin Tang,UC Berkeley,Fengmin Tang,UCLA,The Buckley-Osthus model and the block preferential attachment model: statistical analysis and application
80,Jiawei Huang,University of Illinois at Urbana-Champaign,Nan Jiang,University of Illinois at Urbana-Champaign,From Importance Sampling to Doubly Robust Policy Gradient
81,Aaron Lou,Cornell University,Christopher De Sa,Cornell,Differentiating through the Fréchet Mean
82,Rachael Hwee Ling Sim,National University of Singapore,Bryan Kian Hsiang Low,National University of Singapore,Collaborative Machine Learning with Incentive-Aware Model Rewards
83,Yash Chandak,University of Massachusetts Amherst,Philip Thomas,University of Massachusetts Amherst,Optimizing for the Future in Non-Stationary MDPs
84,Zhixuan Lin,Zhejiang University,Sungjin Ahn,Rutgers University,Improving Generative Imagination in Object-Centric World Models
85,Kristy Choi,Stanford University,Stefano Ermon,Stanford University,Fair Generative Modeling via Weak Supervision
86,Xu Chu,Peking University,Qi Tong,Peking University,Distance Metric Learning with Joint Representation Diversification
87,Nian Si,Stanford University,Jose Blanchet,Stanford University,Distributionally Robust Policy Evaluation and Learning in Offline Contextual Bandits
88,Yunhao Tang,Columbia University,Remi Munos,DeepMind,Taylor Expansion Policy Optimization
89,Hu Ding,University of Science and Technology of China,Zixiu Wang,University of Science and Technology of China,Layered Sampling for Robust Optimization Problems
90,Yan Yan,the University of Iowa,Tianbao Yang,The University of Iowa,Stochastic Optimization for Non-convex Inf-Projection Problems
91,Chanwoo Lee,University of Wisconsin - Madison,Miaoyan Wang,University of Wisconsin - Madison,Tensor denoising and completion based on ordinal observations
92,Yu-Sheng Li,National Taiwan University,Ching-pei Lee,National University of Singapore,Manifold Identification for Ultimately Communication-Efficient Distributed Optimization
93,Pavel Dvurechenskii,Weierstrass Institute,Mathias Staudigl,Maastricht University,Self-Concordant Analysis of Frank-Wolfe Algorithms
94,Ran Haba,Open University of Israel,Amin Karbasi,Yale,Streaming Submodular Maximization under a k-Set System Constraint
95,Yonggan Fu,Rice University,Zhangyang Wang,University of Texas at Austin,AutoGAN-Distiller: Searching to Compress Generative Adversarial Networks
96,Cuong Nguyen,Amazon Web Services,Cedric Archambeau,Amazon Web Services,LEEP: A New Measure to Evaluate Transferability of Learned Representations
97,Gabriele Farina,Carnegie Mellon University,Tuomas Sandholm,Carnegie Mellon University,Stochastic Regret Minimization in Extensive-Form Games
98,Gregory Plumb,Carnegie Mellon University,Ameet Talwalkar,Carnegie Mellon University,Explaining Groups of Points in Low-Dimensional Representations
