99,Kubra Cilingir,Boston University,Brian Kulis,Boston University,Deep Divergence Learning
100,Nozomi Hata,Kyushu University,Katsuki Fujisawa,Kyushu University,Nested Subspace Arrangement for Representation of Relational Data
101,Jiani Huang,University of Pennsylvania,Mayur Naik,University of Pennsylvania,Generating Programmatic Referring Expressions via Program Synthesis
102,Kaveh Hassani,Autodesk,Amir Hosein Khasahmadi,University of Toronto,Contrastive Multi-View Representation Learning on Graphs
103,Brian Williamson,Fred Hutchinson Cancer Research Center,Jean Feng,University of Washington,Efficient nonparametric statistical inference on population feature importance using Shapley values
104,Tri Huynh,The University of Chicago,Matthew Walter,Toyota Technological Institute at Chicago,Multigrid Neural Memory
105,Peng Xu,Borealis AI,Yanshuai Cao,Borealis AI,On Variational Learning of Controllable Representations for Text without Supervision
106,Lan-Zhe Guo,Nanjing University,Zhi-Hua Zhou,Nanjing University,Safe Deep Semi-Supervised Learning for Unseen-Class Unlabeled Data
107,Scott M Jordan,University of Massachusetts,Philip Thomas,University of Massachusetts Amherst,Evaluating the Performance of Reinforcement Learning Algorithms
108,Akbar Rafiey,Simon Fraser University,Yuichi Yoshida,National Institute of Informatics,Fast and Private Submodular and $k$-Submodular Functions Maximization with Matroid Constraints
109,Albert Gu,Stanford University,Razvan Pascanu,DeepMind,Improving the Gating Mechanism of Recurrent Neural Networks
110,John Miller,"University of California, Berkeley",Ludwig Schmidt,"University of California, Berkeley",The Effect of Natural Distribution Shift on Question Answering Models
111,Sijia Liu,MIT-IBM Watson AI Lab,Una-May O'Reilly,MIT,Min-Max Optimization without Gradients: Convergence and Applications to Black-Box Evasion and Poisoning Attacks
112,Samyadeep Basu,UMD,Soheil Feizi,University of Maryland,On Second-Order Group Influence Functions for Black-Box Predictions
113,Seth Neel,University of Pennsylvania,Steven Wu,University of Minnesota,Oracle Efficient Private Non-Convex Optimization
114,Leslie Rice,Carnegie Mellon University,Zico Kolter,Carnegie Mellon University / Bosch Center for AI,Overfitting in adversarially robust deep learning
115,Ari Pakman,Columbia University,Department of Statistics Liam Paninski,"Department of Statistics, Columbia University",Neural Clustering Processes
116,Hussein Hazimeh,Massachusetts Institute of Technology,Rahul Mazumder,Massachusetts Institute of Technology,The Tree Ensemble Layer: Differentiability meets Conditional Computation
117,Jinzhi Bu,MIT,Yunzong Xu,MIT,Online Pricing with Offline Data: Phase Transition and Inverse Square Law
118,Shashank Rajput,University of Wisconsin - Madison,Dimitris Papailiopoulos,University of Wisconsin-Madison,Closing the convergence gap of SGD without replacement
