139,Chi Jin,Princeton University,Tiancheng Yu,MIT,Learning Adversarial Markov Decision Processes with Bandit Feedback and Unknown Transition
140,Randy Ardywibowo,Texas A&M University,Xiaoning Qian,Texas A&M University,NADS: Neural Architecture Distribution Search for Uncertainty Awareness
141,Dibya Ghosh,Google,Marc Bellemare,Google Brain,Representations for Stable Off-Policy Reinforcement Learning
142,Kunal Menda,Stanford University,Zachary Manchester,Stanford,Scalable Identification of Partially Observed Systems with Certainty-Equivalent EM
143,Naman Agarwal,Google Research,Zhou Lu,Princeton University,Boosting for Control of Dynamical Systems
144,Yufeng Zhang,Northwestern University,Zhaoran Wang,Northwestern U,Generative Adversarial Imitation Learning with Neural Network Parameterization: Global Optimality and Convergence Rate
145,Byung-Jun Lee,KAIST,Kee-Eung Kim,KAIST,Batch Reinforcement Learning with Hyperparameter  Gradients
146,Rie Johnson,RJ Research Consulting,Tong Zhang,HKUST,Guided Learning of Nonconvex Models through Successive Functional Gradient Optimization
147,Ron Amit,Technion – Israel Institute of Technology,Kamil Ciosek,Microsoft,Discount Factor as a Regularizer in Reinforcement Learning 
148,Martin Jankowiak,Uber AI Labs,Jacob Gardner,Uber AI Labs,Parametric Gaussian Process Regressors
149,Yun Yun Tsai,National Tsing Hua University,Tsung-Yi Ho,National Tsing Hua University,Transfer Learning without Knowing: Reprogramming Black-box Machine Learning Models with Scarce Data and Limited Resources
150,Nima Eshraghi,University of Toronto,Ben Liang,University of Toronto,Distributed Online Optimization over a Heterogeneous Network
151,Blake Woodworth,Toyota Technological Institute at Chicago,Nati Srebro,Toyota Technological Institute at Chicago,Is Local SGD Better than Minibatch SGD?
152,Sivakanth Gopi,Microsoft,Sergey Yekhanin,Microsoft,Differentially Private Set Union
153,Sebastian Pokutta,ZIB,Alfredo Torrico,"CERC Data Science, Polytechnique Montreal",On the Unreasonable Effectiveness of the Greedy Algorithm: Greedy Adapts to Sharpness
154,Baifeng Shi,Peking University,Jingdong Wang,Microsoft,Informative Dropout for Robust Representation Learning: A Shape-bias Perspective
155,Kaiwen Wu,University of Waterloo,Yaoliang Yu,University of Waterloo,Stronger and Faster Wasserstein Adversarial Attacks
156,Weihao Kong,University of Washington,Sewoong Oh,University of Washington,Meta-learning for Mixed Linear Regression
157,Beidi Chen,Rice University,Anima Anandkumar,Amazon AI & Caltech,Angular Visual Hardness
158,Aman Sinha,Stanford University,Russ Tedrake,MIT,FormulaZero: Distributionally Robust Online Adaptation via Offline Population Synthesis
