159,Shangtong Zhang,University of Oxford,Shimon Whiteson,University of Oxford,GradientDICE: Rethinking Generalized Offline Estimation of Stationary Values
160,Saurabh Goyal,IBM Research - India,Ashish Verma,IBM Research,PoWER-BERT: Accelerating BERT Inference via Progressive Word-vector Elimination
161,Soumyabrata Pal,Umass Amherst,Arya Mazumdar,University of Massachusetts Amherst,Recovery of Sparse Signals from a Mixture of Linear Samples
162,Daniel Brown,University of Texas at Austin,Scott Niekum,University of Texas at Austin,Safe Imitation Learning via Fast Bayesian Reward Inference from Preferences
163,Hanjun Dai,Google Brain,Dale Schuurmans,Google / University of Alberta,Scalable Deep Generative Modeling for Sparse Graphs
164,Lechao Xiao,Google Research,Samuel Schoenholz,Google Brain,Disentangling Trainability and Generalization in Deep Neural Networks
165,Veronika Rockova,University of Chicago,Veronika Rockova,University of Chicago,On Semi-parametric Inference for BART
166,Gal Bahar,Technion – Israel Institute of Technology,Moshe Tennenholtz,Technion – Israel Institute of Technology,Fiduciary Bandits
167,Ivan Anokhin,Skolkovo Institute of Science and Technology,Dmitry Yarotsky,Skolkovo Institute of Science and Technology,Low-loss connection of weight vectors: distribution-based approaches
168,John Park,Northeastern University,Rose Yu,"University of California, San Diego",Multiresolution Tensor Learning for Efficient and Interpretable Spatial Analysis
169,Voot Tangkaratt,RIKEN AIP,Masashi Sugiyama,RIKEN / The University of Tokyo,Variational Imitation Learning with Diverse-quality Demonstrations
170,Jayadev Acharya,Cornell University,Ziteng Sun,Cornell University,Context Aware Local Differential Privacy
171,Guy Blanc,Stanford University,Li-Yang Tan,Stanford University,Provable guarantees for decision tree induction: the agnostic setting 
172,Debarghya Mukherjee,University of Michigan,Yuekai Sun,University of Michigan,Two Simple Ways to Learn Individual Fairness Metrics from Data
173,Daniel Jarrett,University of Cambridge,Mihaela van der Schaar,University of Cambridge and UCLA,Inverse Active Sensing: Modeling and Understanding Timely Decision-Making
174,Xiangning Chen,UCLA,Cho-Jui Hsieh,UCLA,Stabilizing Differentiable Architecture Search via Perturbation-based Regularization
175,Junzhe Zhang,Columbia University,Junzhe Zhang,Columbia University,Designing Optimal Dynamic Treatment Regimes: A Causal Reinforcement Learning Approach
176,Xianggen Liu,Tsinghua University,Jian Peng,UIUC,A Chance-Constrained Generative Framework for Sequence Optimization
177,Kainan Peng,Baidu Research,Kexin Zhao,Baidu,Non-Autoregressive Neural Text-to-Speech
178,Dara Bahri,Google Research,Maya Gupta,Google,Deep k-NN for Noisy Labels
