259,Daniele Calandriello,IIT/DeepMind,Lorenzo Rosasco,"unige, mit, iit",Near-linear time Gaussian process optimization with adaptive batching and resparsification
260,Pavol Bielik,ETH Zurich,Martin Vechev,ETH Zurich,Adversarial Robustness for Code
261,Antonios Antoniadis,MPII,Bertrand Simon,University of Bremen,Online metric algorithms with untrusted predictions
262,Sofien Dhouib,CREATIS Laboratory INSA Lyon,Marc Sebban,Jean Monnet University,A Swiss Army Knife for Minimax Optimal Transport
263,Kuno Kim,Stanford University,Stefano Ermon,Stanford University,Domain Adaptive Imitation Learning
264,Aditi Raghunathan,Stanford,Percy Liang,Stanford University,Understanding and Mitigating the Tradeoff between Robustness and Accuracy
265,John Martin,Stevens Institute of Technology,Brendan Englot,Stevens Institute of Technology,Stochastically Dominant Distributional Reinforcement Learning
266,Steven Kleinegesse,University of Edinburgh,Michael Gutmann,University of Edinburgh,Bayesian Experimental Design for Implicit Models by Mutual Information Neural Estimation
267,Feng Liu,UTS/UCL,D.J. Sutherland,TTI-Chicago,Learning Deep Kernels for Non-Parametric Two-Sample Tests
268,Gaurush Hiranandani,UIUC,Prateek Jain,Microsoft Research,Optimization and Analysis of the pAp@k Metric for Recommender Systems
269,Zitong Yang,"University of California, Berkeley",Yi Ma,UC Berkeley,Rethinking Bias-Variance Trade-off for Generalization of Neural Networks
270,Leon Sixt,Freie Universität Berlin,Tim Landgraf,Freie Universität Berlin,When Explanations Lie: Why Many Modified BP Attributions Fail
271,Alessandro Luongo,Université Paris,Anupam Prakash,Université Paris Diderot,Quantum Expectation-Maximization for Gaussian mixture models
272,Trevor Standley,Stanford University,Silvio Savarese,Stanford University,Which Tasks Should Be Learned Together in Multi-task Learning?
273,Alexey Drutsa,Yandex,Alexey Drutsa,Yandex,Optimal Non-parametric Learning in Repeated Contextual Auctions with  Strategic Buyer
274,Victor Campos,Barcelona Supercomputing Center,Jordi  Torres,Barcelona Supercomputing Center,"Explore, Discover and Learn: Unsupervised Discovery of State-Covering Skills"
275,Zhiwei Jia,"University of California, San Diego",Hao Su,UCSD,Information-Theoretic Local Minima Characterization and Regularization
276,Arman Zharmagambetov,"University of California, Merced",Miguel Carreira-Perpinan,"University of California, Merced","Smaller, more accurate regression forests using tree alternating optimization"
277,Basil Saeed,MIT,Caroline Uhler,Massachusetts Institute of Technology,Causal Structure Discovery from Distributions Arising from Mixtures of DAGs
278,Yatin Chaudhary,Siemens AG,Pankaj Gupta,Siemens AG,Explainable and Discourse Topic-aware Neural Language Understanding
