299,Arsenii Kuznetsov,Samsung,Dmitry Vetrov,"Higher School of Economics, Samsung AI Center Moscow",Controlling Overestimation Bias with Truncated Mixture of Continuous Distributional Quantile Critics
300,GEOFFREY Negiar,UC Berkeley,Fabian Pedregosa,Google,Stochastic Frank-Wolfe for Constrained Finite-Sum Minimization
301,Hachem Kadri,Aix-Marseille University,Ralaivola Liva,Criteo AI Lab,Partial Trace Regression and Low-Rank Kraus Decomposition
302,Philip Ball,University of Oxford,Stephen Roberts,University of Oxford,Ready Policy One: World Building Through Active Learning
303,Eugene Kharitonov,Facebook AI,Marco Baroni,Facebook Artificial Intelligence Research,Entropy Minimization In Emergent Languages
304,Ugo Tanielian,Criteo,Jeremie Mary,Criteo AI Lab,Learning disconnected manifolds: a no GAN's land
305,Steve James,University of the Witwatersrand,George Konidaris,Brown,Learning Portable Representations for High-Level Planning
306,Marc Brockschmidt,Microsoft Research,Marc Brockschmidt,Microsoft Research,GNN-FiLM: Graph Neural Networks with Feature-wise Linear Modulation
307,Aleksei Triastcyn,EPFL,Boi Faltings,EPFL,Bayesian Differential Privacy for Machine Learning
308,Gregory Farquhar,Deepmind,Gabriel Synnaeve,Facebook AI Research,Growing Action Spaces
309,Jonathan Lacotte,Stanford University,Mert Pilanci,Stanford,Optimal Randomized First-Order Methods for Least-Squares Problems
310,David Stutz,Max Planck Institute for Informatics,Bernt Schiele,MPI Informatics,Confidence-Calibrated Adversarial Training: Generalizing to Unseen Attacks
311,Ayush Jain,University of Southern California,Joseph Lim,Univ. of Southern California,Generalization to New Actions in Reinforcement Learning
312,Dan Garber,Technion,Kfir Levy,Technion,Online Convex Optimization in the Random Order Model
313,Claire Vernade,DeepMind,King Tim Mann,DeepMind,Non-Stationary Delayed Bandits with Intermediate Observations
314,Joost van Amersfoort,University of Oxford,Yarin Gal,University of Oxford,Uncertainty Estimation Using a Single Deep Deterministic Neural Network
315,Hien Le,"University of Mons, Belgium.",Panagiotis Patrinos,KU Leuven,Inertial Block Proximal Methods for Non-Convex Non-Smooth Optimization
316,Gregor Bachmann,ETH Zurich,Octavian Ganea,MIT,Constant Curvature Graph Convolutional Networks
317,Daniele Zambon,Università della Svizzera Italiana,Lorenzo Livi,University of Manitoba,Graph Random Neural Features for Distance-Preserving Graph Representations
318,Quentin Bertrand,INRIA,Joseph Salmon,Université de Montpellier,Implicit differentiation of Lasso-type models for hyperparameter optimization
