399,Hussein Mozannar,Massachusetts Institute of Technology,David Sontag,Massachusetts Institute of Technology,Consistent Estimators for Learning to Defer to an Expert
400,Han Zhao,Carnegie Mellon University,Andrej Risteski,CMU,On Learning Language-Invariant Representations for Universal Machine Translation
401,Yangsibo Huang,Princeton University,Sanjeev Arora,Princeton University and Institute for Advanced Study,InstaHide: Instance-hiding Schemes for Private Distributed Learning
402,Abhiram Gnanasambandam,Purdue University,Stanley Chan,"Purdue University, USA",One Size Fits All: Can We Train One Denoiser for All Noise Levels?
403,Vladimir Braverman,Johns Hopkins University,Roi Sinoff,"Weizmann Institute of Science, Israel","Schatten Norms in Matrix Streams: Hello Sparsity, Goodbye Dimension"
404,Elliot Creager,University of Toronto,Richard Zemel,Vector Institute,Causal Modeling for Fairness In Dynamical Systems
405,Jianfei Chen,"University of California, Berkeley",Tian Tian,RealAI,VFlow: More Expressive Generative Flows with Variational Data Augmentation
406,Wenqi Shao,The Chinese University of HongKong,Ping Luo,The University of Hong Kong,Channel Equilibrium Networks for Learning Deep Representation
407,L. Elisa Celis,Yale University,Nisheeth Vishnoi,Yale University,Data preprocessing to mitigate bias: A maximum entropy based approach
408,Alexander Tong,Yale University,Smita Krishnaswamy,Yale University,TrajectoryNet: A Dynamic Optimal Transport Network for Modeling Cellular Dynamics
409,Siqiang Luo,Harvard,Siqiang Luo,Harvard,Improved Communication Cost in Distributed PageRank Computation – A Theoretical Study
410,Ruixiang ZHANG,Mila/UdeM,Katsuhiko Ishiguro,"Preferred Networks, Inc.",Learning Structured Latent Factors from Dependent Data:A Generative Model Framework from Information-Theoretic Perspective
411,Yunhao Tang,Columbia University,Yuri Faenza,Columbia University,Reinforcement Learning for Integer Programming: Learning to Cut
412,Neale Ratzlaff,Oregon State University,Wei Xu,Horizon Robotics,Implicit Generative Modeling for Efficient Exploration
413,Yuwen Chen,ETH Zurich,Aurelien Lucchi,ETH Zurich,An Accelerated DFO Algorithm for Finite-sum Convex Functions
414,Sahil Singla,University of Maryland,Soheil Feizi,University of Maryland,Second-Order Provable Defenses against Adversarial Attacks
415,Himabindu Lakkaraju,Harvard,Osbert Bastani,University of Pennsylvania,Robust and Stable Black Box Explanations
416,Romain Cosentino,Rice University,Behnaam Aazhang,Rice University,Learnable Group Transform For Time-Series
417,Ben Adlam,Google Brain,Jeffrey Pennington,Google Brain,The Neural Tangent Kernel in High Dimensions: Triple Descent and a Multi-Scale Theory of Generalization
418,Logan Engstrom,MIT,Aleksander Madry,MIT,Identifying Statistical Bias in Dataset Replication
