419,Viet Anh Nguyen,Stanford University,Jose Blanchet,Stanford University,Robust Bayesian Classification Using An Optimistic Score Ratio
420,Yan Leng,The University of Texas at Austin,Alex `Sandy' Pentland,MIT,Learning Quadratic Games on Networks
421,Matthew Jones,Khoury College of Computer Sciences,Thy Nguyen,Northeastern University,Fair k-Centers via Maximum Matching
422,Marwa El Halabi,MIT,Stefanie Jegelka,Massachusetts Institute of Technology,Optimal approximation for unconstrained non-submodular minimization
423,Jingzhao Zhang,MIT,Ali Jadbabaie,Massachusetts Institute of Technology,Complexity of Finding Stationary Points of Nonconvex Nonsmooth Functions
424,Benjamin Coleman,Rice University,Anshumali Shrivastava,Rice University,Sub-linear Memory Sketches for Near Neighbor Search on Streaming Data
425,Rishabh Agarwal,"Google Research, Brain Team",Mohammad Norouzi,"Google Research, Brain Team",An Optimistic Perspective on Offline Deep Reinforcement Learning
426,Ruiqi Guo,Google Research,Sanjiv Kumar,"Google Research, NY",Accelerating Large-Scale Inference with Anisotropic Vector Quantization
427,Haonan Duan,University of Waterloo,Vijay Ganesh,"University of Waterloo, Electrical and Computer Engineering",Online Bayesian Moment Matching based SAT Solver Heuristics
428,Sungsoo Ahn,KAIST,Jinwoo Shin,KAIST,Learning What to Defer for Maximum Independent Sets
429,Zixin Zhong,National University of Singapore,Vincent Tan,National University of Singapore,Best Arm Identification for Cascading Bandits in the Fixed Confidence Setting
430,Yanxi Li,University of Sydney,Chang Xu,University of Sydney,Neural Architecture Search in A Proxy Validation Loss Landscape
431,Mido Assran,McGill University; Mila; Facebook AI Research,Mike Rabbat,Facebook,On the Convergence of Nesterov's Accelerated Gradient Method in Stochastic Settings
432,Yi Su,Cornell University,Akshay Krishnamurthy,Microsoft Research,Adaptive Estimator Selection for Off-Policy Evaluation
433,Emilio Parisotto,Carnegie Mellon University,Raia Hadsell,DeepMind,Stabilizing Transformers for Reinforcement Learning
434,Xiyu Yu,Baidu Inc.,Dacheng Tao,The University of Sydney,Label-Noise Robust Domain Adaptation
435,Minsoo Kang,Seoul National University,Bohyung Han,Seoul National University,Operation-Aware Soft Channel Pruning using Differentiable Masks
436,Khimya Khetarpal,"McGill University,  Mila Montreal",Doina Precup,DeepMind,What can I do here? A Theory of Affordances in Reinforcement Learning
437,Fangcheng Fu,Peking University,Bin Cui,Peking University,Don't Waste Your Bits! Squeeze Activations and Gradients for Deep Neural Networks via TinyScript
438,Darren Lin,UC Berkeley,Michael Jordan,UC Berkeley,Finite-Time Last-Iterate Convergence for Multi-Agent Learning in Games
