459,Ning Xu,Southeast University,Xin Geng,Southeast University,Variational Label Enhancement
460,Junqi Wang,Rutgers University-Newark,Patrick Shafto,Rutgers University-Newark,Sequential Cooperative Bayesian Inference
461,Vincent Conitzer,Duke,Hanrui Zhang,Duke University,Learning Opinions in Social Networks
462,Yucheng Lu,Cornell University,Christopher De Sa,Cornell,Moniqua: Modulo Quantized Communication in Decentralized SGD
463,Raef Bassily,The Ohio State University,Steven Wu,University of Minnesota,Private Query Release Assisted by Public Data
464,guodong liu,university of Pittsburgh,Heng Huang,University of Pittsburgh & JD Finance America Corporation,Sparse Shrunk Additive Models
465,Joshua Robinson,MIT,Suvrit Sra,MIT,Strength from Weakness: Fast Learning Using Weak Supervision
466,Vikas K Garg,Massachusetts Institute of Technology,Tommi Jaakkola,MIT, Predicting deliberative outcomes
467,Yinglun Zhu,University of Wisconsin-Madison,Robert Nowak,University of Wisconsion-Madison,Robust Outlier Arm Identification
468,Han Zhang,Virginia Commonwealth University,Tom Arodz,Virginia Commonwealth University,Approximation Capabilities of Neural ODEs and Invertible Residual Networks
469,Qijia Jiang,Stanford University,Maya Gupta,Google,Optimizing Black-box Metrics with Adaptive Surrogates
470,Yong Guo,South China University of Technology,Mingkui Tan,South China University of Technology,Breaking the Curse of Space Explosion: Towards Efficient NAS with Curriculum Search
471,Eugene Belilovsky,Mila,Edouard Oyallon,CNRS/LIP6,Decoupled Greedy Learning of CNNs
472,Kevin Hsieh,Microsoft Research,Phil Gibbons,CMU,The Non-IID Data Quagmire of Decentralized Machine Learning
473,Xiaoyu Chen,Peking University,Liwei Wang,Peking University,(Locally) Differentially Private Combinatorial Semi-Bandits
474,Satrajit Chatterjee,Google,Alan Mishchenko,UC Berkeley,Circuit-Based Intrinsic Methods to Detect Overfitting
475,Arash Vahdat,NVIDIA Research,William Macready,Sanctuary AI,Undirected Graphical Models as Approximate Posteriors
476,Rémy Degenne,Inria Paris,Wouter Koolen,"Centrum Wiskunde & Informatica, Amsterdam",Structure Adaptive Algorithms for Stochastic Bandits
477,Shruti Tople,Microsoft Research,Aditya Nori,Microsoft Research Cambridge,Alleviating Privacy Attacks via Causal Learning
478,Javier Turek,Intel Labs,Theodore Willke,Intel Corporation,Approximating Stacked and Bidirectional Recurrent Architectures with the Delayed Recurrent Neural Network
