499,Long-Kai Huang,"NTU, Singapore",Sinno Jialin Pan,"NTU, Singapore",Communication-Efficient Distributed PCA by Riemannian Optimization
500,Ian Delbridge,Cornell University,Andrew Wilson,New York University,Randomly Projected Additive Gaussian Processes for Regression
501,Yunwen Lei,University of Kaiserslautern,Yiming Ying,SUNY Albany,Fine-Grained Analysis of Stability and Generalization for Stochastic Gradient Descent
502,Hui Ye,Lehigh University,Brian D Davison,Lehigh University,Pretrained Generalized Autoregressive Model with Adaptive Probabilistic Label Clusters for Extreme Multi-label Text Classification
503,Surbhi Goel,University of Texas at Austin,Adam Klivans,University of Texas at Austin,Superpolynomial Lower Bounds for Learning One-Layer Neural Networks using Gradient Descent
504,John Chen,Rice University,Tasos Kyrillidis,Rice University,Negative Sampling in Semi-Supervised learning
505,Brian Axelrod,Stanford,Gregory Valiant,Stanford University,Sample Amplification: Increasing Dataset Size even when Learning is Impossible
506,Komal Teru,"Mila, McGill University",Will Hamilton,McGill University and Mila,Inductive Relation Prediction by Subgraph Reasoning
507,Xin Wang,UC Berkeley,Fisher Yu,UC Berkeley,Frustratingly Simple Few-Shot Object Detection
508,Ibrahim Jubran,The University of Haifa,Dan Feldman,The University of Haifa,Sets Clustering
509,Huang Fang,University of British Columbia,Michael Friedlander,University of British Columbia,Online mirror descent and dual averaging: keeping pace in the dynamic case
510,Kimin Lee,UC Berkeley,Jinwoo Shin,KAIST,Context-aware Dynamics Model for Generalization in Model-Based Reinforcement Learning
511,Jesse Zhang,UC Berkeley,Dinesh Jayaraman,University of Pennsylvania,Cautious Adaptation For Reinforcement Learning in Safety-Critical Settings
512,Wang Chi Cheung,National University of Singapore,Ruihao Zhu,MIT,Reinforcement Learning for Non-Stationary Markov Decision Processes: The Blessing of (More) Optimism
513,Pierre Perrault,"ENS Paris-Saclay, Inria",Michal Valko,DeepMind,Budgeted Online Influence Maximization
514,Ananya Kumar,Stanford University,Percy Liang,Stanford University,Understanding Self-Training for Gradual Domain Adaptation
515,Zinan Lin,Carnegie Mellon University,Sewoong Oh,University of Washington,InfoGAN-CR and ModelCentrality: Self-supervised Model Training and Selection for Disentangling GANs
516,Zhe Zeng,"University of California, Los Angeles",Guy Van den Broeck,"University of California, Los Angeles",Scaling up Hybrid Probabilistic Inference with Logical and Arithmetic Constraints via Message Passing
517,Jaehyeok Shin,Carnegie Mellon University,Alessandro Rinaldo,Carnegie Mellon University,On conditional versus marginal bias in multi-armed bandits
518,Alper Atamturk,UC Berkeley,Andres Gomez,USC,Safe screening rules for L0-regression from Perspective Relaxations
