519,Zheng Wang,University of Utah,Shandian Zhe,University of Utah,Self-Modulating Nonparametric Event-Tensor Factorization
520,Neil Xu,Carnegie Mellon University,Pradeep Ravikumar,Carnegie Mellon University,Class-Weighted Classification: Trade-offs and Robust Approaches
521,William Chan,Google Brain,Navdeep Jaitly,D. E. Shaw,Imputer: Sequence Modelling via Imputation and Dynamic Programming
522,Kiran Tomlinson,Cornell University,Austin Benson,Cornell University,Choice Set Optimization Under Discrete Choice Models of Group Decisions
523,Ronan Le Bras,Allen Institute for AI,Yejin Choi,University of Washington,Adversarial Filters of Dataset Biases
524,Akhilan Boopathy,MIT,Luca Daniel,Massachusetts Institute of Technology,Proper Network Interpretability Helps Adversarial Robustness in Classification
525,Liu Liu,"University of California, Santa Barbara",Yuan Xie,"University of California, Santa Barbara",Boosting Deep Neural Network Efficiency with Dual-Module Inference
526,Xiang Cheng,UC Berkeley,Michael Jordan,UC Berkeley,Stochastic Gradient and Langevin Processes
527,Xi Liu,Texas A&M University,P. Kumar,Texas A&M University,Exploration Through Reward Biasing: Reward-Biased Maximum Likelihood Estimation for Stochastic Multi-Armed Bandits
528,Florian Tramer,Stanford University,Jörn Jacobsen,Apple Inc.,Fundamental Tradeoffs between Invariance and Sensitivity to Adversarial Perturbations
529,Andrew Bennett,Cornell University,Nathan Kallus,Cornell University,Efficient Policy Learning from Surrogate-Loss Classification Reductions
530,Binghong Chen,Georgia Tech,Le Song,Georgia Institute of Technology,Retro*: Learning Retrosynthetic Planning with Neural Guided A* Search
531,Mingjie Li,Peking University,Zhouchen Lin,Peking University,Implicit Euler Skip Connections: Enhancing Adversarial Robustness via Numerical Stability
532,Yihao Feng,The University of Texas at Austin,Qiang Liu,UT Austin,Accountable Off-Policy Evaluation With Kernel Bellman Statistics
533,Cong Shen,University of Virginia,Mihaela van der Schaar,University of Cambridge and UCLA,Learning for Dose Allocation in Adaptive Clinical Trials with Safety Constraints
534,Moein Falahatgar,UCSD,Venkatadheeraj Pichapati,Apple Inc,Optimal Sequential Maximization: One Interview is Enough!
535,Uri Alon,Technion - Israel Institute of Technology,Eran Yahav,Technion,Structural Language Models of Code
536,Jize Zhang,Lawrence Livermore National Laboratory,T. Yong-Jin Han,LLNL,Mix-n-Match : Ensemble and Compositional Methods for Uncertainty Calibration in Deep Learning
537,Yiping Lu,Stanford University,Lexing Ying,Stanford University,A Mean Field Analysis Of Deep ResNet And Beyond: Towards  Provably Optimization Via Overparameterization From Depth
538,Max Horn,ETH Zurich,Karsten Borgwardt,ETH Zurich,Set Functions for Time Series 
